적용일,사이즈,자재,수량(이상),단가,비고
,SIZ_000324,MAT_000375,1,9000,권위 포스터사인 r342~r344
,SIZ_000324,MAT_000376,1,9000,권위 포스터사인 r342~r344
,SIZ_000325,MAT_000375,1,14000,권위 포스터사인 r342~r344
,SIZ_000325,MAT_000376,1,14000,권위 포스터사인 r342~r344
,SIZ_000326,MAT_000375,1,32000,권위 포스터사인 r342~r344
,SIZ_000326,MAT_000376,1,32000,권위 포스터사인 r342~r344
,SIZ_000327,MAT_000375,1,37000,권위 포스터사인 r342~r344
,SIZ_000327,MAT_000376,1,37000,권위 포스터사인 r342~r344
,SIZ_000324,MAT_000377,1,11000,권위 포스터사인 r342~r344
,SIZ_000324,MAT_000378,1,11000,권위 포스터사인 r342~r344
,SIZ_000325,MAT_000377,1,18000,권위 포스터사인 r342~r344
,SIZ_000325,MAT_000378,1,18000,권위 포스터사인 r342~r344
,SIZ_000326,MAT_000377,1,29000,권위 포스터사인 r342~r344
,SIZ_000326,MAT_000378,1,29000,권위 포스터사인 r342~r344
,SIZ_000327,MAT_000377,1,50000,권위 포스터사인 r342~r344
,SIZ_000327,MAT_000378,1,50000,권위 포스터사인 r342~r344
