적용일,사이즈,자재,수량(이상),단가,비고
,SIZ_000258,,1,7000,권위 스티커 r63~r69
,SIZ_000515,,1,10500,권위 스티커 r63~r69
,SIZ_000315,,1,14000,권위 스티커 r63~r69
,SIZ_000514,,1,21000,권위 스티커 r63~r69
,SIZ_000198,,1,28000,권위 스티커 r63~r69
,SIZ_000258,,20,6790,권위 스티커 r63~r69
,SIZ_000515,,20,10185,권위 스티커 r63~r69
,SIZ_000315,,20,13580,권위 스티커 r63~r69
,SIZ_000514,,20,20370,권위 스티커 r63~r69
,SIZ_000198,,20,27160,권위 스티커 r63~r69
,SIZ_000258,,50,6650,권위 스티커 r63~r69
,SIZ_000515,,50,9975,권위 스티커 r63~r69
,SIZ_000315,,50,13300,권위 스티커 r63~r69
,SIZ_000514,,50,19950,권위 스티커 r63~r69
,SIZ_000198,,50,26600,권위 스티커 r63~r69
,SIZ_000258,,100,6300,권위 스티커 r63~r69
,SIZ_000515,,100,9450,권위 스티커 r63~r69
,SIZ_000315,,100,12600,권위 스티커 r63~r69
,SIZ_000514,,100,18900,권위 스티커 r63~r69
,SIZ_000198,,100,25200,권위 스티커 r63~r69
,SIZ_000258,,200,5950,권위 스티커 r63~r69
,SIZ_000515,,200,8925,권위 스티커 r63~r69
,SIZ_000315,,200,11900,권위 스티커 r63~r69
,SIZ_000514,,200,17850,권위 스티커 r63~r69
,SIZ_000198,,200,23800,권위 스티커 r63~r69
,SIZ_000258,,300,5600,권위 스티커 r63~r69
,SIZ_000515,,300,8400,권위 스티커 r63~r69
,SIZ_000315,,300,11200,권위 스티커 r63~r69
,SIZ_000514,,300,16800,권위 스티커 r63~r69
,SIZ_000198,,300,22400,권위 스티커 r63~r69
