적용일,사이즈,수량(이상),단가,비고
,SIZ_000426,1,3500,권위 포스터사인 r351~r356
,SIZ_000258,1,4500,권위 포스터사인 r351~r356
,SIZ_000315,1,6500,권위 포스터사인 r351~r356
,SIZ_000426,5,3400,권위 포스터사인 r351~r356
,SIZ_000258,5,4300,권위 포스터사인 r351~r356
,SIZ_000315,5,6200,권위 포스터사인 r351~r356
,SIZ_000426,20,3300,권위 포스터사인 r351~r356
,SIZ_000258,20,4200,권위 포스터사인 r351~r356
,SIZ_000315,20,6100,권위 포스터사인 r351~r356
,SIZ_000426,50,3100,권위 포스터사인 r351~r356
,SIZ_000258,50,4000,권위 포스터사인 r351~r356
,SIZ_000315,50,5900,권위 포스터사인 r351~r356
,SIZ_000426,100,2900,권위 포스터사인 r351~r356
,SIZ_000258,100,3800,권위 포스터사인 r351~r356
,SIZ_000315,100,5500,권위 포스터사인 r351~r356
