prd_cd,prd_nm,frm_cd,apply_bgn_ymd,live_exists,provenance
PRD_000146,아크릴키링,PRF_CLR_ACRYL,2026-06-15,Y,acrylic-chain-design.md §5(라이브 실재·재현)
PRD_000147,아크릴마그넷,PRF_CLR_ACRYL,2026-06-15,N,acrylic-chain-design.md §5(투명3T)
PRD_000148,아크릴뱃지,PRF_CLR_ACRYL,2026-06-15,N,acrylic-chain-design.md §5(투명3T)
PRD_000149,아크릴집게,PRF_CLR_ACRYL,2026-06-15,N,acrylic-chain-design.md §5(투명3T)
PRD_000150,아크릴스마트톡,PRF_CLR_ACRYL,2026-06-15,N,acrylic-chain-design.md §5(투명3T)
PRD_000152,아크릴명찰,PRF_CLR_ACRYL,2026-06-15,N,acrylic-chain-design.md §5(투명3T)
PRD_000154,아크릴 머리끈,PRF_CLR_ACRYL,2026-06-15,N,acrylic-chain-design.md §5(투명3T)
PRD_000155,아크릴볼펜,PRF_CLR_ACRYL,2026-06-15,N,acrylic-chain-design.md §5(투명3T)
PRD_000157,아크릴네임택,PRF_CLR_ACRYL,2026-06-15,N,acrylic-chain-design.md §5(투명3T)
PRD_000158,아크릴 포카키링,PRF_CLR_ACRYL,2026-06-15,N,acrylic-chain-design.md §5(투명3T)
PRD_000160,아크릴자유형스탠드,PRF_CLR_ACRYL,2026-06-15,N,acrylic-chain-design.md §5(투명3T)
PRD_000161,판아크릴,PRF_CLR_ACRYL,2026-06-15,N,acrylic-chain-design.md §5(투명3T/1.5T)
PRD_000162,아크릴포카스탠드,PRF_CLR_ACRYL,2026-06-15,N,acrylic-chain-design.md §5(투명3T)
PRD_000163,아크릴미니파츠,PRF_CLR_ACRYL,2026-06-15,N,acrylic-chain-design.md §5(투명1.5T·mat_cd 분기)
PRD_000170,아크릴쉐이커★,PRF_CLR_ACRYL,2026-06-15,N,acrylic-chain-design.md §5(투명3T)
PRD_000168,아크릴입체코롯토,PRF_COROTTO_ACRYL,2026-06-15,N,acrylic-chain-design.md §5(코롯토)
PRD_000164,아크릴코롯토,PRF_COROTTO_ACRYL,2026-06-15,N,acrylic-chain-design.md §5(코롯토·use_yn=N)
PRD_000226,아크릴쉐이커코롯토,PRF_COROTTO_ACRYL,2026-06-15,N,acrylic-chain-design.md §5(코롯토·use_yn=N)
PRD_000166,아크릴카라비너,PRF_CARABINER_ACRYL,2026-06-15,N,acrylic-chain-design.md §5(카라비너·use_yn=N)
