prd_cd,prd_nm,prd_typ_cd,use_yn
PRD_000205,양말,PRD_TYPE.03,Y
PRD_000193,머그컵,PRD_TYPE.03,Y
PRD_000219,밴드톡,PRD_TYPE.03,Y
PRD_000006,볼체인,PRD_TYPE.03,Y
PRD_000208,슬로건,PRD_TYPE.03,N
PRD_000013,우드봉,PRD_TYPE.03,Y
PRD_000211,장패드,PRD_TYPE.03,Y
PRD_000183,틴거울,PRD_TYPE.03,Y
PRD_000034,펄명함,PRD_TYPE.04,Y
PRD_000200,핀버튼,PRD_TYPE.03,Y
PRD_000010,행택끈,PRD_TYPE.03,Y
PRD_000221,말랑키링,PRD_TYPE.03,Y
PRD_000179,메모패드,PRD_TYPE.03,Y
PRD_000035,모양명함,PRD_TYPE.04,Y
PRD_000197,미니매트,PRD_TYPE.03,Y
PRD_000195,벨벳쿠션,PRD_TYPE.03,Y
PRD_000065,스티커팩,PRD_TYPE.04,Y
PRD_000007,와이어링,PRD_TYPE.03,Y
PRD_000014,우드행거,PRD_TYPE.03,Y
PRD_000181,중철노트,PRD_TYPE.03,Y
PRD_000008,천정고리,PRD_TYPE.03,N
PRD_000185,카드거울,PRD_TYPE.03,Y
PRD_000004,카드봉투,PRD_TYPE.03,Y
PRD_000215,클립보드,PRD_TYPE.03,Y
PRD_000202,키캡키링,PRD_TYPE.03,N
PRD_000039,투명명함,PRD_TYPE.04,Y
PRD_000199,투명부채,PRD_TYPE.03,N
PRD_000019,투명엽서,PRD_TYPE.04,Y
PRD_000213,틴케이스,PRD_TYPE.03,Y
PRD_000161,판아크릴,PRD_TYPE.04,Y
PRD_000220,폰스트랩,PRD_TYPE.03,Y
PRD_000038,형압명함,PRD_TYPE.04,N
PRD_000207,극세사타월,PRD_TYPE.03,N
PRD_000264,레더숄더백,PRD_TYPE.03,Y
PRD_000188,레더코스터,PRD_TYPE.03,Y
PRD_000263,레더토트백,PRD_TYPE.03,Y
PRD_000217,만년스탬프,PRD_TYPE.03,Y
PRD_000224,말랑네임택,PRD_TYPE.03,Y
PRD_000206,반팔티셔츠,PRD_TYPE.03,Y
PRD_000186,사각손거울,PRD_TYPE.03,Y
PRD_000177,스프링노트,PRD_TYPE.03,Y
PRD_000178,스프링수첩,PRD_TYPE.03,Y
PRD_000152,아크릴명찰,PRD_TYPE.04,Y
PRD_000148,아크릴뱃지,PRD_TYPE.04,Y
PRD_000155,아크릴볼펜,PRD_TYPE.04,Y
PRD_000149,아크릴집게,PRD_TYPE.04,Y
PRD_000146,아크릴키링,PRD_TYPE.04,Y
PRD_000110,엽서캘린더,PRD_TYPE.04,Y
PRD_000012,우드거치대,PRD_TYPE.03,Y
PRD_000190,우드코스터,PRD_TYPE.03,Y
PRD_000194,워터북보틀,PRD_TYPE.03,Y
PRD_000229,이미지피켓,PRD_TYPE.03,N
PRD_000214,자석북마크,PRD_TYPE.03,Y
PRD_000005,캘린더봉투,PRD_TYPE.03,Y
PRD_000184,컴팩트거울,PRD_TYPE.03,Y
PRD_000067,타투스티커,PRD_TYPE.04,Y
PRD_000009,투명케이스,PRD_TYPE.03,Y
PRD_000165,포카코롯토,PRD_TYPE.04,N
PRD_000198,피크닉매트,PRD_TYPE.03,Y
PRD_000209,후드티셔츠,PRD_TYPE.03,Y
PRD_000192,규조토코스터,PRD_TYPE.03,Y
PRD_000212,극세사클리너,PRD_TYPE.03,Y
PRD_000280,레더라벨제작,PRD_TYPE.03,Y
PRD_000222,말랑증사홀더,PRD_TYPE.03,N
PRD_000223,말랑포카홀더,PRD_TYPE.03,Y
PRD_000176,먼슬리플래너,PRD_TYPE.03,Y
PRD_000036,미니모양명함,PRD_TYPE.04,Y
PRD_000111,벽걸이캘린더,PRD_TYPE.04,Y
PRD_000157,아크릴네임택,PRD_TYPE.04,Y
PRD_000147,아크릴마그넷,PRD_TYPE.04,Y
