frm_cd,comp_cd,disp_seq,addtn_yn
PRF_BIND_JUNGCHEOL,COMP_BIND_JUNGCHEOL,1,Y
PRF_BIND_MUSEON,COMP_BIND_MUSEON,1,Y
PRF_BIND_PUR,COMP_BIND_PUR,1,Y
PRF_BIND_TWINRING,COMP_BIND_TWINRING,1,Y
PRF_NAMECARD_STD,COMP_NAMECARD_STD_S1,1,N
PRF_NAMECARD_STD,COMP_NAMECARD_STD_S2,2,N
PRF_NAMECARD_PREMIUM,COMP_NAMECARD_PREMIUM_S1_MGA,1,N
PRF_NAMECARD_PREMIUM,COMP_NAMECARD_PREMIUM_S1_MGB,2,N
PRF_NAMECARD_PREMIUM,COMP_NAMECARD_PREMIUM_S2_MGA,3,N
PRF_NAMECARD_PREMIUM,COMP_NAMECARD_PREMIUM_S2_MGB,4,N
PRF_NAMECARD_COAT,COMP_NAMECARD_COAT_S1,1,N
PRF_NAMECARD_COAT,COMP_NAMECARD_COAT_S2,2,N
PRF_PHOTOCARD_STD,COMP_PHOTOCARD_SET,1,Y
PRF_PHOTOCARD_CLEAR,COMP_PHOTOCARD_CLEAR_SET,1,Y
