comp_cd,comp_nm,sheet,block_id,block_title,geometry,dim,axis,channel,status,rate,axis_label,dim_codes,n_codes
COMP_ACRYL_COROTTO,아크릴코롯토 인쇄가공비,아크릴,B05,아크릴코롯토,recovered,siz_width,row,수치파싱,ok,1.000,30mm,30,1
COMP_ACRYL_COROTTO,아크릴코롯토 인쇄가공비,아크릴,B05,아크릴코롯토,recovered,siz_width,row,수치파싱,ok,1.000,40mm,40,1
COMP_ACRYL_COROTTO,아크릴코롯토 인쇄가공비,아크릴,B05,아크릴코롯토,recovered,siz_width,row,수치파싱,ok,1.000,50mm,50,1
COMP_ACRYL_COROTTO,아크릴코롯토 인쇄가공비,아크릴,B05,아크릴코롯토,recovered,siz_width,row,수치파싱,ok,1.000,60mm,60,1
COMP_ACRYL_COROTTO,아크릴코롯토 인쇄가공비,아크릴,B05,아크릴코롯토,recovered,siz_width,row,수치파싱,ok,1.000,70mm,70,1
COMP_ACRYL_COROTTO,아크릴코롯토 인쇄가공비,아크릴,B05,아크릴코롯토,recovered,siz_width,row,수치파싱,ok,1.000,80mm,80,1
COMP_ACRYL_COROTTO,아크릴코롯토 인쇄가공비,아크릴,B05,아크릴코롯토,recovered,siz_height,band0,수치파싱,ok,1.000,30mm,30,1
COMP_ACRYL_COROTTO,아크릴코롯토 인쇄가공비,아크릴,B05,아크릴코롯토,recovered,siz_height,band0,수치파싱,ok,1.000,40mm,40,1
COMP_ACRYL_COROTTO,아크릴코롯토 인쇄가공비,아크릴,B05,아크릴코롯토,recovered,siz_height,band0,수치파싱,ok,1.000,50mm,50,1
COMP_ACRYL_COROTTO,아크릴코롯토 인쇄가공비,아크릴,B05,아크릴코롯토,recovered,siz_height,band0,수치파싱,ok,1.000,60mm,60,1
COMP_ACRYL_COROTTO,아크릴코롯토 인쇄가공비,아크릴,B05,아크릴코롯토,recovered,siz_height,band0,수치파싱,ok,1.000,70mm,70,1
COMP_ACRYL_COROTTO,아크릴코롯토 인쇄가공비,아크릴,B05,아크릴코롯토,recovered,siz_height,band0,수치파싱,ok,1.000,80mm,80,1
COMP_ACRYL_COROTTO,아크릴코롯토 인쇄가공비,아크릴,B05,아크릴코롯토,recovered,min_qty,(상수),라이브 단일값,constant,1.000,(블록 상수),1,1
COMP_ACRYL_CARABINER,아크릴카라비너 본체(3T+3T접합),아크릴,B06,아크릴카라비너 (투명아크릴 3T+3T 접합),recovered,siz_cd,row,"닫힌집합(0.62),닫힌집합(0.75),닫힌집합(0.78),닫힌집합(0.83)",ok,1.000,사각자물쇠 (자물쇠변형) 40x69,SIZ_000366,1
COMP_ACRYL_CARABINER,아크릴카라비너 본체(3T+3T접합),아크릴,B06,아크릴카라비너 (투명아크릴 3T+3T 접합),recovered,siz_cd,row,"닫힌집합(0.62),닫힌집합(0.75),닫힌집합(0.78),닫힌집합(0.83)",ok,1.000,하트자물쇠 (하트A) 43x71,SIZ_000367,1
COMP_ACRYL_CARABINER,아크릴카라비너 본체(3T+3T접합),아크릴,B06,아크릴카라비너 (투명아크릴 3T+3T 접합),recovered,siz_cd,row,"닫힌집합(0.62),닫힌집합(0.75),닫힌집합(0.78),닫힌집합(0.83)",ok,1.000,하트 (하트B) 59x54,SIZ_000368,1
COMP_ACRYL_CARABINER,아크릴카라비너 본체(3T+3T접합),아크릴,B06,아크릴카라비너 (투명아크릴 3T+3T 접합),recovered,siz_cd,row,"닫힌집합(0.62),닫힌집합(0.75),닫힌집합(0.78),닫힌집합(0.83)",ok,1.000,원형 (원형B) 68x70,SIZ_000369,1
COMP_ACRYL_CARABINER,아크릴카라비너 본체(3T+3T접합),아크릴,B06,아크릴카라비너 (투명아크릴 3T+3T 접합),recovered,min_qty,(상수),라이브 단일값,constant,1.000,(블록 상수),1,1
COMP_BIND_TWINRING,제본비,제본,B01,제본비,declared,proc_cd,band0,닫힌집합(1.00),ok,1.000,중철제본,PROC_000018,1
COMP_BIND_TWINRING,제본비,제본,B01,제본비,declared,proc_cd,band0,닫힌집합(1.00),ok,1.000,무선제본,PROC_000019,1
COMP_BIND_TWINRING,제본비,제본,B01,제본비,declared,proc_cd,band0,닫힌집합(1.00),ok,1.000,트윈링제본,PROC_000021,1
COMP_BIND_TWINRING,제본비,제본,B01,제본비,declared,proc_cd,band0,닫힌집합(1.00),ok,1.000,PUR제본,PROC_000020,1
COMP_BIND_TWINRING,제본비,제본,B01,제본비,declared,min_qty,row,수치파싱,ok,1.000,1,1,1
COMP_BIND_TWINRING,제본비,제본,B01,제본비,declared,min_qty,row,수치파싱,ok,1.000,4,4,1
