comp_cd,comp_nm,use_dims,live_rows,sheet,block_id,block_title,geometry,cells,n_cols,overlap,score
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,"[""mat_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",277,아크릴,B01,투명아크릴3T (직접입력형) 양면9도 / 단면7도 통용 단가,recovered,196,14,1.000,0.612
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,"[""mat_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",277,아크릴,B02,투명아크릴1.5T (직접입력형) 양면9도 / 단면7도 통용 단가,recovered,81,9,1.000,0.539
COMP_ACRYL_MIRROR3T,미러아크릴3T 인쇄가공비,"[""siz_width"", ""siz_height""]",81,아크릴,B03,미러아크릴3T (직접입력형) 전면5도 통용 단가,recovered,81,9,1.000,0.683
COMP_ACRYL_COROTTO,아크릴코롯토 인쇄가공비,"[""siz_width"", ""siz_height""]",36,아크릴,B05,아크릴코롯토,recovered,36,6,1.000,0.705
COMP_ACRYL_CARABINER,아크릴카라비너 본체(3T+3T접합),"[""siz_cd"", ""min_qty""]",4,아크릴,B06,아크릴카라비너 (투명아크릴 3T+3T 접합),recovered,4,1,1.000,0.725
COMP_BIND_TWINRING,제본비,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000017""]",32,제본,B01,제본비,declared,32,4,1.000,1.000
COMP_BIND_SSABARI,제본비 싸바리바인더,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000017""]",18,제본,B02,하드커버 제본비,declared,18,3,1.000,0.800
COMP_BIND_CAL_WALL,제본비 벽걸이캘린더,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000017""]",24,제본,B03,캘린더 제본비,declared,24,4,1.000,0.967
COMP_COAT_MATTE,무광코팅비,"[""proc_cd"", ""plt_siz_cd"", ""coat_side_cnt"", ""min_qty"", ""proc_grp:PROC_000013""]",138,코팅,B01,코팅(국4절),declared,46,2,1.000,0.597
COMP_COAT_MATTE,무광코팅비,"[""proc_cd"", ""plt_siz_cd"", ""coat_side_cnt"", ""min_qty"", ""proc_grp:PROC_000013""]",138,코팅,B02,코팅(3절),declared,46,2,1.000,0.609
COMP_COAT_GLOSSY,유광코팅비,"[""proc_cd"", ""plt_siz_cd"", ""coat_side_cnt"", ""min_qty"", ""proc_grp:PROC_000013""]",138,코팅,B01,코팅(국4절),declared,46,2,1.000,0.597
COMP_COAT_GLOSSY,유광코팅비,"[""proc_cd"", ""plt_siz_cd"", ""coat_side_cnt"", ""min_qty"", ""proc_grp:PROC_000013""]",138,코팅,B02,코팅(3절),declared,46,2,1.000,0.609
COMP_CUT_FULL_DIECUT,커팅 완제품가 완칼(모양엽서·라벨택),"[""plt_siz_cd"", ""min_qty""]",72,커팅타공,B01,커팅(완칼) 가공비 (국4절),declared,36,1,1.000,0.676
COMP_CUT_PERF_1H6,타공비 (6mm),"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000079""]",18,커팅타공,B03,타공 (단가),declared,41,2,1.000,0.666
COMP_PRINT_DIGITAL_S1,디지털인쇄비,"[""proc_cd"", ""plt_siz_cd"", ""print_opt_cd"", ""min_qty"", ""proc_grp:PROC_000001""]",625,디지털인쇄비,B01,디지털인쇄 출력비(국4절),declared,212,4,1.000,0.641
COMP_PRINT_DIGITAL_S1,디지털인쇄비,"[""proc_cd"", ""plt_siz_cd"", ""print_opt_cd"", ""min_qty"", ""proc_grp:PROC_000001""]",625,디지털인쇄비,B02,디지털인쇄 출력비(3절),declared,106,2,1.000,0.642
COMP_PRINT_SPOT_WHITE_S1,별색인쇄비,"[""plt_siz_cd"", ""proc_cd"", ""spot_side_cnt"", ""min_qty"", ""proc_grp:PROC_000007""]",530,디지털인쇄비,B01,디지털인쇄 출력비(국4절),declared,530,10,1.000,0.608
COMP_ENV_MAKING,봉투제작 완제품가,"[""siz_cd"", ""mat_cd"", ""min_qty""]",60,봉투제작,B01,봉투제작,declared,40,8,1.000,0.957
COMP_FOIL_PROC_LARGE_SPECIAL,박 가공비(대형·특수박),"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000033""]",3328,후가공_박(대형),B05,"대형박 가공비 특수박 수량별 가격 (먹유광, 백박, 홀로그램, 트윙클, 적박, 녹박)",declared,65,5,1.000,0.683
