comp_cd,계열,축,분모종수,상한종수,밖건수,밖목록,판정
COMP_NAMECARD_STD,C-3 상품축이탈,mat_cd,2,5,0,,이탈 0건 — 격자에 남긴다(제거 0)
COMP_NAMECARD_STD,C-4 권위귀속,(전 원소),4,4,0,,귀속 없는 원소 0건
COMP_PCB,C-2 스코프,opt_cd(OPT_000082),2,0,2,OPV_000491|OPV_000492,⊆ 위반 — 보고
COMP_PCB,C-4 권위귀속,(전 원소),480,480,0,,귀속 없는 원소 0건
COMP_PHOTOCARD_BULK,C-2 스코프,opt_cd(OPT_000084),1,0,1,OPV_000496,⊆ 위반 — 보고
COMP_PHOTOCARD_BULK,C-4 권위귀속,(전 원소),50,50,0,,귀속 없는 원소 0건
COMP_POSTEROPT_LINEN_FINISH,C-4 권위귀속,(전 원소),1,1,0,,귀속 없는 원소 0건
COMP_POSTER_ADH_CLEAR_PVC,C-4 권위귀속,(전 원소),52,52,0,,귀속 없는 원소 0건
COMP_POSTER_ARTPAPER_MATTE,C-4 권위귀속,(전 원소),39,39,0,,귀속 없는 원소 0건
COMP_POSTER_BANNER_MESH,C-4 권위귀속,(전 원소),48,48,0,,귀속 없는 원소 0건
COMP_POSTER_BANNER_NORMAL,C-4 권위귀속,(전 원소),80,80,0,,귀속 없는 원소 0건
COMP_POSTER_CANVAS_FABRIC,C-4 권위귀속,(전 원소),52,52,0,,귀속 없는 원소 0건
COMP_POSTER_LEATHER_ARTPRINT,C-4 권위귀속,(전 원소),52,52,0,,귀속 없는 원소 0건
COMP_POSTER_LINEN_FABRIC,C-4 권위귀속,(전 원소),91,91,0,,귀속 없는 원소 0건
COMP_POSTER_MESH_PRINT,C-4 권위귀속,(전 원소),60,60,0,,귀속 없는 원소 0건
COMP_PP_CORNER_RIGHT,C-2 스코프,proc_cd(PROC_000026),2,3,0,,⊆ 성립
COMP_PP_CORNER_RIGHT,C-4 권위귀속,(전 원소),18,18,0,,귀속 없는 원소 0건
COMP_PP_CREASE_1L,C-2 스코프,proc_cd(PROC_000029),1,1,0,,⊆ 성립
COMP_PP_CREASE_1L,C-4 권위귀속,(전 원소),11,11,0,,귀속 없는 원소 0건
COMP_PP_VARIMG_1EA,C-2 스코프,proc_cd(PROC_000085),1,2,0,,⊆ 성립
COMP_PP_VARIMG_1EA,C-4 권위귀속,(전 원소),24,24,0,,귀속 없는 원소 0건
COMP_PP_VARTEXT_1EA,C-2 스코프,proc_cd(PROC_000085),1,2,0,,⊆ 성립
COMP_PP_VARTEXT_1EA,C-4 권위귀속,(전 원소),24,24,0,,귀속 없는 원소 0건
COMP_PRINT_DIGITAL_S1,C-1 FK필터,plt_siz_cd,3,21,0,,⊆ 성립
COMP_PRINT_DIGITAL_S1,C-2 스코프,proc_cd(PROC_000001),1,10,0,,⊆ 성립
COMP_PRINT_DIGITAL_S1,C-4 권위귀속,(전 원소),318,318,0,,귀속 없는 원소 0건
COMP_PRINT_SPOT_WHITE_S1,C-1 FK필터,plt_siz_cd,1,21,0,,⊆ 성립
COMP_PRINT_SPOT_WHITE_S1,C-2 스코프,proc_cd(PROC_000007),5,5,0,,⊆ 성립
COMP_PRINT_SPOT_WHITE_S1,C-4 권위귀속,(전 원소),10,10,0,,귀속 없는 원소 0건
COMP_STK_PACK,C-4 권위귀속,(전 원소),1,1,0,,귀속 없는 원소 0건
COMP_STK_PRINT,C-3 상품축이탈,mat_cd,50,11,45,MAT_000022|MAT_000023|MAT_000084|MAT_000143|MAT_000152|MAT_000158|MAT_000162|MAT_000175|MAT_000242|MAT_000296|MAT_000391|MAT_000392|MAT_000398|MAT_000399|MAT_000550|MAT_000551|MAT_000552|MAT_000553|MAT_000554|MAT_000555|MAT_000559|MAT_000560|MAT_000563|MAT_000564|MAT_000565|MAT_000587|MAT_000612|MAT_000613|MAT_000624|MAT_000626|MAT_000640|MAT_000641|MAT_000642|MAT_000646|MAT_000650|MAT_000687|MAT_000688|MAT_000689|MAT_000690|MAT_000691|MAT_000692|MAT_000693|MAT_000694|MAT_000695|MAT_000696,이탈 45건 — 격자에 남긴다(제거 0)
COMP_STK_PRINT,C-4 권위귀속,(전 원소),3913,3913,0,,귀속 없는 원소 0건
