comp_cd,apply_ymd,siz_cd,clr_cd,mat_cd,coat_side_cnt,bdl_qty,min_qty,unit_price,note,_provenance
COMP_POSTER_ARTPRINT_PHOTO,2026-06-01,SIZ_000321,,,,,,21600.00,"아트프린트포스터 가로600mm×세로1800mm 완제품가[코팅포함가] (포스터사인 B01 B9, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B01:B9
COMP_POSTER_ARTPAPER_MATTE,2026-06-01,SIZ_000320,,,,,,21600.00,"아트페이퍼포스터 가로900mm×세로1200mm 완제품가[코팅포함가] (포스터사인 B02 D23, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B02:D23
COMP_POSTER_ARTPAPER_MATTE,2026-06-01,SIZ_000321,,,,,,21600.00,"아트페이퍼포스터 가로600mm×세로1800mm 완제품가[코팅포함가] (포스터사인 B02 B26, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B02:B26
COMP_POSTER_WATERPROOF_PET,2026-06-01,SIZ_000321,,,,,,21600.00,"방수포스터 가로600mm×세로1800mm 완제품가[코팅포함가] (포스터사인 B03 B43, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B03:B43
COMP_POSTER_ADH_WATERPROOF_PVC,2026-06-01,SIZ_000321,,,,,,21600.00,"접착방수포스터 가로600mm×세로1800mm 완제품가[코팅포함가] (포스터사인 B04 B60, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B04:B60
COMP_POSTER_ADH_CLEAR_PVC,2026-06-01,SIZ_000321,,,,,,59400.00,"접착투명포스터 가로600mm×세로1800mm 완제품가[코팅포함가] (포스터사인 B05 B77, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B05:B77
COMP_POSTER_ARTFABRIC_GRAPHIC,2026-06-01,SIZ_000321,,,,,,21600.00,"아트패브릭포스터 가로600mm×세로1800mm 완제품가[코팅포함가] (포스터사인 B06 B94, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B06:B94
COMP_POSTER_LINEN_FABRIC,2026-06-01,SIZ_000321,,,,,,32400.00,"린넨패브릭포스터 가로600mm×세로1800mm 완제품가[코팅포함가] (포스터사인 B07 B111, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B07:B111
COMP_POSTER_CANVAS_FABRIC,2026-06-01,SIZ_000321,,,,,,37800.00,"캔버스패브릭포스터 가로600mm×세로1800mm 완제품가[코팅포함가] (포스터사인 B08 B128, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B08:B128
COMP_POSTER_LEATHER_ARTPRINT,2026-06-01,SIZ_000321,,,,,,37800.00,"레더아트프린트 가로600mm×세로1800mm 완제품가[코팅포함가] (포스터사인 B09 B145, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B09:B145
COMP_POSTER_TYVEK_PRINT,2026-06-01,SIZ_000321,,,,,,37800.00,"타이벡프린트 가로600mm×세로1800mm 완제품가[코팅포함가] (포스터사인 B10 B162, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B10:B162
COMP_POSTER_MESH_PRINT,2026-06-01,SIZ_000321,,,,,,37800.00,"메쉬프린트 가로600mm×세로1800mm 완제품가[코팅포함가] (포스터사인 B11 B179, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B11:B179
COMP_POSTER_BANNER_NORMAL,2026-06-01,SIZ_000323,,,,,,8000.00,"일반현수막 가로900mm×세로900mm 완제품가[코팅포함가] (포스터사인 B26 B246, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B26:B246
COMP_POSTER_BANNER_NORMAL,2026-06-01,SIZ_000403,,,,,,12000.00,"일반현수막 가로1500mm×세로1000mm 완제품가[코팅포함가] (포스터사인 B26 E247, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B26:E247
COMP_POSTER_BANNER_NORMAL,2026-06-01,SIZ_000320,,,,,,8640.00,"일반현수막 가로900mm×세로1200mm 완제품가[코팅포함가] (포스터사인 B26 B248, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B26:B248
COMP_POSTER_BANNER_MESH,2026-06-01,SIZ_000323,,,,,,20000.00,"메쉬현수막 가로900mm×세로900mm 완제품가[코팅포함가] (포스터사인 B27 B267, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B27:B267
COMP_POSTER_BANNER_MESH,2026-06-01,SIZ_000320,,,,,,21600.00,"메쉬현수막 가로900mm×세로1200mm 완제품가[코팅포함가] (포스터사인 B27 B269, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B27:B269
