comp_cd,apply_ymd,siz_cd,clr_cd,mat_cd,coat_side_cnt,bdl_qty,min_qty,unit_price,note,_provenance
COMP_POSTER_ARTPRINT_PHOTO,2026-06-01,SIZ_000511,,,,,,12000.00,"아트프린트포스터 가로600mm×세로600mm 완제품가[코팅포함가] (포스터사인 B01 B3, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B01:B3
COMP_POSTER_ARTPRINT_PHOTO,2026-06-01,SIZ_000523,,,,,,12000.00,"아트프린트포스터 가로800mm×세로600mm 완제품가[코팅포함가] (포스터사인 B01 C3, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B01:C3
COMP_POSTER_ARTPRINT_PHOTO,2026-06-01,SIZ_000552,,,,,,20000.00,"아트프린트포스터 가로1000mm×세로600mm 완제품가[코팅포함가] (포스터사인 B01 D3, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B01:D3
COMP_POSTER_ARTPRINT_PHOTO,2026-06-01,SIZ_000570,,,,,,20000.00,"아트프린트포스터 가로1200mm×세로600mm 완제품가[코팅포함가] (포스터사인 B01 E3, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B01:E3
COMP_POSTER_ARTPRINT_PHOTO,2026-06-01,SIZ_000512,,,,,,12000.00,"아트프린트포스터 가로600mm×세로800mm 완제품가[코팅포함가] (포스터사인 B01 B4, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B01:B4
COMP_POSTER_ARTPRINT_PHOTO,2026-06-01,SIZ_000524,,,,,,20000.00,"아트프린트포스터 가로800mm×세로800mm 완제품가[코팅포함가] (포스터사인 B01 C4, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B01:C4
COMP_POSTER_ARTPRINT_PHOTO,2026-06-01,SIZ_000553,,,,,,20000.00,"아트프린트포스터 가로1000mm×세로800mm 완제품가[코팅포함가] (포스터사인 B01 D4, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B01:D4
COMP_POSTER_ARTPRINT_PHOTO,2026-06-01,SIZ_000571,,,,,,20000.00,"아트프린트포스터 가로1200mm×세로800mm 완제품가[코팅포함가] (포스터사인 B01 E4, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B01:E4
COMP_POSTER_ARTPRINT_PHOTO,2026-06-01,SIZ_000513,,,,,,20000.00,"아트프린트포스터 가로600mm×세로1000mm 완제품가[코팅포함가] (포스터사인 B01 B5, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B01:B5
COMP_POSTER_ARTPRINT_PHOTO,2026-06-01,SIZ_000525,,,,,,20000.00,"아트프린트포스터 가로800mm×세로1000mm 완제품가[코팅포함가] (포스터사인 B01 C5, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B01:C5
COMP_POSTER_ARTPRINT_PHOTO,2026-06-01,SIZ_000555,,,,,,20000.00,"아트프린트포스터 가로1000mm×세로1000mm 완제품가[코팅포함가] (포스터사인 B01 D5, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B01:D5
COMP_POSTER_ARTPRINT_PHOTO,2026-06-01,SIZ_000573,,,,,,24000.00,"아트프린트포스터 가로1200mm×세로1000mm 완제품가[코팅포함가] (포스터사인 B01 E5, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B01:E5
COMP_POSTER_ARTPRINT_PHOTO,2026-06-01,SIZ_000514,,,,,,20000.00,"아트프린트포스터 가로600mm×세로1200mm 완제품가[코팅포함가] (포스터사인 B01 B6, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B01:B6
COMP_POSTER_ARTPRINT_PHOTO,2026-06-01,SIZ_000526,,,,,,20000.00,"아트프린트포스터 가로800mm×세로1200mm 완제품가[코팅포함가] (포스터사인 B01 C6, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B01:C6
COMP_POSTER_ARTPRINT_PHOTO,2026-06-01,SIZ_000556,,,,,,24000.00,"아트프린트포스터 가로1000mm×세로1200mm 완제품가[코팅포함가] (포스터사인 B01 D6, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B01:D6
COMP_POSTER_ARTPRINT_PHOTO,2026-06-01,SIZ_000574,,,,,,28800.00,"아트프린트포스터 가로1200mm×세로1200mm 완제품가[코팅포함가] (포스터사인 B01 E6, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B01:E6
COMP_POSTER_ARTPRINT_PHOTO,2026-06-01,SIZ_000515,,,,,,20000.00,"아트프린트포스터 가로600mm×세로1400mm 완제품가[코팅포함가] (포스터사인 B01 B7, 면적매트릭스, 완제품비.06)",price-poster-sign-l1.csv:B01:B7
