comp_cd,mat_cd,paper_name,종이사이즈,unit_price,excel_source,mat_match,siz_check
COMP_PAPER,MAT_000129,스타드림(골드) 240g,316x467,435,import-paper-l1 가격(국4절)열,스타드림(골드) 240g → live mat_cd MAT_000129 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000130,스타드림(로즈쿼츠) 240g,316x467,524,import-paper-l1 가격(국4절)열,스타드림(로즈쿼츠) 240g → live mat_cd MAT_000130 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000136,뉴에코블랙 400g,316x467,314,import-paper-l1 가격(국4절)열,뉴에코블랙 400g → live mat_cd MAT_000136 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000137,큐리어스스킨 화이트 270g,316x467,880,import-paper-l1 가격(국4절)열,큐리어스스킨 화이트 270g → live mat_cd MAT_000137 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000138,큐리어스스킨 레드 270g,316x467,1242.5,import-paper-l1 가격(국4절)열,큐리어스스킨 레드 270g → live mat_cd MAT_000138 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000139,큐리어스스킨 다크블루 270g,316x467,1242.5,import-paper-l1 가격(국4절)열,큐리어스스킨 다크블루 270g → live mat_cd MAT_000139 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000140,큐리어스스킨 바이올렛 270g,316x467,1242.5,import-paper-l1 가격(국4절)열,큐리어스스킨 바이올렛 270g → live mat_cd MAT_000140 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000141,큐리어스스킨 블랙 270g,316x467,1242.5,import-paper-l1 가격(국4절)열,큐리어스스킨 블랙 270g → live mat_cd MAT_000141 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000142,유니크라프트 260g,316x467,100,import-paper-l1 가격(국4절)열,유니크라프트 260g → live mat_cd MAT_000142 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000150,뉴크라프트,316x467,105,import-paper-l1 가격(국4절)열,"뉴크라프트 → live mat_cd MAT_000150 (뉴크라프트 250g, prefix 매치·동명다평량 부재로 정당)",SIZ_000499 live OK
COMP_PAPER,MAT_000151,팬시크라프트,316x467,72,import-paper-l1 가격(국4절)열,"팬시크라프트 → live mat_cd MAT_000151 (팬시크라프트 120g, prefix 매치·동명다평량 부재로 정당)",SIZ_000499 live OK
