comp_cd,apply_ymd,siz_cd,clr_cd,mat_cd,coat_side_cnt,bdl_qty,min_qty,unit_price,note
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000072,,,,30.73,용지비 백색모조지 100g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000073,,,,36.875,용지비 백색모조지 120g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000074,,,,70.64,용지비 백색모조지 220g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000076,,,,30.565,용지비 아트지 100g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000077,,,,36.675,용지비 아트지 120g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000078,,,,46.65,용지비 아트지 150g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000079,,,,55.98,용지비 아트지 180g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000080,,,,62.195,용지비 아트지 200g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000081,,,,77.745,용지비 아트지 250g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000082,,,,93.3,용지비 아트지 300g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000086,,,,30.565,용지비 스노우지 100g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000087,,,,36.675,용지비 스노우지 120g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000088,,,,46.65,용지비 스노우지 150g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000089,,,,55.98,용지비 스노우지 180g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000090,,,,62.195,용지비 스노우지 200g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000091,,,,77.745,용지비 스노우지 250g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000092,,,,93.3,용지비 스노우지 300g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000095,,,,54.865,용지비 앙상블 100g 국4절(316x467) 절가
