prd_cd,mat_cd,usage_cd,dep_proc_cd,dflt_yn,disp_seq,reg_dt,upd_dt,_provenance
PRD_000016,MAT_000074,USAGE.07,,Y,1,2026-06-05 00:00:00,,"[digital-print] IMPORT:프리미엄엽서● 백색모조지 220g→MAT_000074 (R3, seoljeong-import-map)"
PRD_000016,MAT_000082,USAGE.07,,N,2,2026-06-05 00:00:00,,"[digital-print] IMPORT:프리미엄엽서● 아트지 300g→MAT_000082 (R3, seoljeong-import-map)"
PRD_000016,MAT_000092,USAGE.07,,N,3,2026-06-05 00:00:00,,"[digital-print] IMPORT:프리미엄엽서● 스노우지 300g→MAT_000092 (R3, seoljeong-import-map)"
PRD_000016,MAT_000101,USAGE.07,,N,4,2026-06-05 00:00:00,,"[digital-print] IMPORT:프리미엄엽서● 랑데뷰 WH 240g→MAT_000101 (R3, seoljeong-import-map)"
PRD_000016,MAT_000109,USAGE.07,,N,5,2026-06-05 00:00:00,,"[digital-print] IMPORT:프리미엄엽서● 몽블랑 240g→MAT_000109 (R3, seoljeong-import-map)"
PRD_000016,MAT_000113,USAGE.07,,N,6,2026-06-05 00:00:00,,"[digital-print] IMPORT:프리미엄엽서● 아코팩(웜화이트) 250g→MAT_000113 (R3, seoljeong-import-map)"
PRD_000016,MAT_000114,USAGE.07,,N,7,2026-06-05 00:00:00,,"[digital-print] IMPORT:프리미엄엽서● 리사이클러스 240g→MAT_000114 (R3, seoljeong-import-map)"
PRD_000016,MAT_000115,USAGE.07,,N,8,2026-06-05 00:00:00,,"[digital-print] IMPORT:프리미엄엽서● 매쉬멜로우 233g→MAT_000115 (R3, seoljeong-import-map)"
PRD_000016,MAT_000116,USAGE.07,,N,9,2026-06-05 00:00:00,,"[digital-print] IMPORT:프리미엄엽서● 린넨커버 216g→MAT_000116 (R3, seoljeong-import-map)"
PRD_000016,MAT_000117,USAGE.07,,N,10,2026-06-05 00:00:00,,"[digital-print] IMPORT:프리미엄엽서● 스타화이트(하이테크) 238g→MAT_000117 (R3, seoljeong-import-map)"
PRD_000016,MAT_000118,USAGE.07,,N,11,2026-06-05 00:00:00,,"[digital-print] IMPORT:프리미엄엽서● 클래식 크래스트 스티플 270g→MAT_000118 (R3, seoljeong-import-map)"
PRD_000016,MAT_000120,USAGE.07,,N,12,2026-06-05 00:00:00,,"[digital-print] IMPORT:프리미엄엽서● 매직터치(백색) 250g→MAT_000120 (R3, seoljeong-import-map)"
PRD_000016,MAT_000121,USAGE.07,,N,13,2026-06-05 00:00:00,,"[digital-print] IMPORT:프리미엄엽서● 켄도 250g→MAT_000121 (R3, seoljeong-import-map)"
PRD_000016,MAT_000123,USAGE.07,,N,14,2026-06-05 00:00:00,,"[digital-print] IMPORT:프리미엄엽서● 띤또레또 200g→MAT_000123 (R3, seoljeong-import-map)"
PRD_000016,MAT_000124,USAGE.07,,N,15,2026-06-05 00:00:00,,"[digital-print] IMPORT:프리미엄엽서● 띤또레또 250g→MAT_000124 (R3, seoljeong-import-map)"
PRD_000016,MAT_000125,USAGE.07,,N,16,2026-06-05 00:00:00,,"[digital-print] IMPORT:프리미엄엽서● 한지 170g→MAT_000125 (R3, seoljeong-import-map)"
PRD_000016,MAT_000126,USAGE.07,,N,17,2026-06-05 00:00:00,,"[digital-print] IMPORT:프리미엄엽서● 스코트랜드 220g→MAT_000126 (R3, seoljeong-import-map)"
PRD_000016,MAT_000127,USAGE.07,,N,18,2026-06-05 00:00:00,,"[digital-print] IMPORT:프리미엄엽서● 스타드림(다이아몬드) 240g→MAT_000127 (R3, seoljeong-import-map)"
PRD_000016,MAT_000128,USAGE.07,,N,19,2026-06-05 00:00:00,,"[digital-print] IMPORT:프리미엄엽서● 스타드림(실버) 240g→MAT_000128 (R3, seoljeong-import-map)"
PRD_000016,MAT_000129,USAGE.07,,N,20,2026-06-05 00:00:00,,"[digital-print] IMPORT:프리미엄엽서● 스타드림(골드) 240g→MAT_000129 (R3, seoljeong-import-map)"
PRD_000016,MAT_000130,USAGE.07,,N,21,2026-06-05 00:00:00,,"[digital-print] IMPORT:프리미엄엽서● 스타드림(로즈쿼츠) 240g→MAT_000130 (R3, seoljeong-import-map)"
PRD_000018,MAT_000074,USAGE.07,,Y,1,2026-06-05 00:00:00,,"[digital-print] IMPORT:스탠다드엽서● 백색모조지 220g→MAT_000074 (R3, seoljeong-import-map)"
PRD_000018,MAT_000080,USAGE.07,,N,2,2026-06-05 00:00:00,,"[digital-print] IMPORT:스탠다드엽서● 아트지 200g→MAT_000080 (R3, seoljeong-import-map)"
PRD_000018,MAT_000081,USAGE.07,,N,3,2026-06-05 00:00:00,,"[digital-print] IMPORT:스탠다드엽서● 아트지 250g→MAT_000081 (R3, seoljeong-import-map)"
PRD_000018,MAT_000082,USAGE.07,,N,4,2026-06-05 00:00:00,,"[digital-print] IMPORT:스탠다드엽서● 아트지 300g→MAT_000082 (R3, seoljeong-import-map)"
PRD_000018,MAT_000090,USAGE.07,,N,5,2026-06-05 00:00:00,,"[digital-print] IMPORT:스탠다드엽서● 스노우지 200g→MAT_000090 (R3, seoljeong-import-map)"
PRD_000018,MAT_000091,USAGE.07,,N,6,2026-06-05 00:00:00,,"[digital-print] IMPORT:스탠다드엽서● 스노우지 250g→MAT_000091 (R3, seoljeong-import-map)"
PRD_000018,MAT_000092,USAGE.07,,N,7,2026-06-05 00:00:00,,"[digital-print] IMPORT:스탠다드엽서● 스노우지 300g→MAT_000092 (R3, seoljeong-import-map)"
PRD_000027,MAT_000074,USAGE.07,,Y,1,2026-06-05 00:00:00,,"[digital-print] IMPORT:2단접지카드 / 3단접지카드 / 미니● 백색모조지 220g→MAT_000074 (R3, seoljeong-import-map)"
PRD_000027,MAT_000081,USAGE.07,,N,2,2026-06-05 00:00:00,,"[digital-print] IMPORT:2단접지카드 / 3단접지카드 / 미니● 아트지 250g→MAT_000081 (R3, seoljeong-import-map)"
PRD_000027,MAT_000082,USAGE.07,,N,3,2026-06-05 00:00:00,,"[digital-print] IMPORT:2단접지카드 / 3단접지카드 / 미니● 아트지 300g→MAT_000082 (R3, seoljeong-import-map)"
PRD_000027,MAT_000091,USAGE.07,,N,4,2026-06-05 00:00:00,,"[digital-print] IMPORT:2단접지카드 / 3단접지카드 / 미니● 스노우지 250g→MAT_000091 (R3, seoljeong-import-map)"
PRD_000027,MAT_000092,USAGE.07,,N,5,2026-06-05 00:00:00,,"[digital-print] IMPORT:2단접지카드 / 3단접지카드 / 미니● 스노우지 300g→MAT_000092 (R3, seoljeong-import-map)"
PRD_000027,MAT_000101,USAGE.07,,N,6,2026-06-05 00:00:00,,"[digital-print] IMPORT:2단접지카드 / 3단접지카드 / 미니● 랑데뷰 WH 240g→MAT_000101 (R3, seoljeong-import-map)"
PRD_000027,MAT_000108,USAGE.07,,N,7,2026-06-05 00:00:00,,"[digital-print] IMPORT:2단접지카드 / 3단접지카드 / 미니● 몽블랑 210g→MAT_000108 (R3, seoljeong-import-map)"
PRD_000027,MAT_000109,USAGE.07,,N,8,2026-06-05 00:00:00,,"[digital-print] IMPORT:2단접지카드 / 3단접지카드 / 미니● 몽블랑 240g→MAT_000109 (R3, seoljeong-import-map)"
PRD_000027,MAT_000113,USAGE.07,,N,9,2026-06-05 00:00:00,,"[digital-print] IMPORT:2단접지카드 / 3단접지카드 / 미니● 아코팩(웜화이트) 250g→MAT_000113 (R3, seoljeong-import-map)"
PRD_000027,MAT_000114,USAGE.07,,N,10,2026-06-05 00:00:00,,"[digital-print] IMPORT:2단접지카드 / 3단접지카드 / 미니● 리사이클러스 240g→MAT_000114 (R3, seoljeong-import-map)"
PRD_000027,MAT_000115,USAGE.07,,N,11,2026-06-05 00:00:00,,"[digital-print] IMPORT:2단접지카드 / 3단접지카드 / 미니● 매쉬멜로우 233g→MAT_000115 (R3, seoljeong-import-map)"
PRD_000027,MAT_000116,USAGE.07,,N,12,2026-06-05 00:00:00,,"[digital-print] IMPORT:2단접지카드 / 3단접지카드 / 미니● 린넨커버 216g→MAT_000116 (R3, seoljeong-import-map)"
