prd_cd,prd_nm,case,siz_cd,qty,matched_siz,ok,final_price,components,warnings,errors
PRD_000052,반칼자유형스티커,A6 1000장,SIZ_000057,1000,SIZ_000057,True,4500000,STK_KISSCUT_PRINT=None,,
PRD_000052,반칼자유형스티커,A5 500장,SIZ_000426,500,SIZ_000426,True,2000000,STK_KISSCUT_PRINT=None,,
PRD_000052,반칼자유형스티커,A4 100장,SIZ_000258,100,SIZ_000258,True,460000,STK_KISSCUT_PRINT=None,,
PRD_000052,반칼자유형스티커,90x190 300장,SIZ_000060,300,SIZ_000426,SKIP,,,이 상품에 등록되지 않은 사이즈 — 건너뜀,
PRD_000052,반칼자유형스티커,124x186 200장,SIZ_000059,200,SIZ_000426,SKIP,,,이 상품에 등록되지 않은 사이즈 — 건너뜀,
PRD_000064,소량자유형스티커,A6 1000장,SIZ_000057,1000,SIZ_000065,SKIP,,,이 상품에 등록되지 않은 사이즈 — 건너뜀,
PRD_000064,소량자유형스티커,A5 500장,SIZ_000426,500,SIZ_000065,SKIP,,,이 상품에 등록되지 않은 사이즈 — 건너뜀,
PRD_000064,소량자유형스티커,A4 100장,SIZ_000258,100,SIZ_000065,SKIP,,,이 상품에 등록되지 않은 사이즈 — 건너뜀,
PRD_000064,소량자유형스티커,90x190 300장,SIZ_000060,300,SIZ_000065,SKIP,,,이 상품에 등록되지 않은 사이즈 — 건너뜀,
PRD_000064,소량자유형스티커,124x186 200장,SIZ_000059,200,SIZ_000065,SKIP,,,이 상품에 등록되지 않은 사이즈 — 건너뜀,
PRD_000055,낱장자유형스티커,A6 1000장,SIZ_000057,1000,SIZ_000315,SKIP,,,이 상품에 등록되지 않은 사이즈 — 건너뜀,
PRD_000055,낱장자유형스티커,A5 500장,SIZ_000426,500,SIZ_000315,SKIP,,,이 상품에 등록되지 않은 사이즈 — 건너뜀,
PRD_000055,낱장자유형스티커,A4 100장,SIZ_000258,100,SIZ_000258,True,360000,STK_CUT_PRINT=None,,
PRD_000055,낱장자유형스티커,90x190 300장,SIZ_000060,300,SIZ_000315,SKIP,,,이 상품에 등록되지 않은 사이즈 — 건너뜀,
PRD_000055,낱장자유형스티커,124x186 200장,SIZ_000059,200,SIZ_000315,SKIP,,,이 상품에 등록되지 않은 사이즈 — 건너뜀,
PRD_000057,대형자유형스티커,A6 1000장,SIZ_000057,1000,SIZ_000199,SKIP,,,이 상품에 등록되지 않은 사이즈 — 건너뜀,
PRD_000057,대형자유형스티커,A5 500장,SIZ_000426,500,SIZ_000199,SKIP,,,이 상품에 등록되지 않은 사이즈 — 건너뜀,
PRD_000057,대형자유형스티커,A4 100장,SIZ_000258,100,SIZ_000199,SKIP,,,이 상품에 등록되지 않은 사이즈 — 건너뜀,
PRD_000057,대형자유형스티커,90x190 300장,SIZ_000060,300,SIZ_000199,SKIP,,,이 상품에 등록되지 않은 사이즈 — 건너뜀,
PRD_000057,대형자유형스티커,124x186 200장,SIZ_000059,200,SIZ_000199,SKIP,,,이 상품에 등록되지 않은 사이즈 — 건너뜀,
