comp_cd,comp_nm,comp_typ_cd,note,use_yn
COMP_ACRYL_CLEAR15T,투명아크릴1.5T 인쇄가공비,PRC_COMPONENT_TYPE.01,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.01,Y
COMP_ACRYL_CLEAR3T,투명아크릴3T 인쇄가공비,PRC_COMPONENT_TYPE.01,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.01,Y
COMP_ACRYL_MIRROR3T,미러아크릴3T 인쇄가공비,PRC_COMPONENT_TYPE.01,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.01,Y
COMP_COAT_GLOSSY,유광코팅비,PRC_COMPONENT_TYPE.02,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.02,Y
COMP_COAT_MATTE,무광코팅비,PRC_COMPONENT_TYPE.02,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.02,Y
COMP_ENV_MAKING,봉투제작 완제품가,PRC_COMPONENT_TYPE.06,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.06,Y
COMP_PP_CORNER_RIGHT,모서리 직각,PRC_COMPONENT_TYPE.04,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.04,Y
COMP_PP_CORNER_ROUND,모서리 둥근,PRC_COMPONENT_TYPE.04,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.04,Y
COMP_PP_CREASE_1L,오시 1줄,PRC_COMPONENT_TYPE.04,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.04,Y
COMP_PP_CREASE_2L,오시 2줄,PRC_COMPONENT_TYPE.04,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.04,Y
COMP_PP_CREASE_3L,오시 3줄,PRC_COMPONENT_TYPE.04,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.04,Y
COMP_PP_PERF_1L,미싱 1줄,PRC_COMPONENT_TYPE.04,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.04,Y
COMP_PP_PERF_2L,미싱 2줄,PRC_COMPONENT_TYPE.04,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.04,Y
COMP_PP_PERF_3L,미싱 3줄,PRC_COMPONENT_TYPE.04,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.04,Y
COMP_PP_VARIMG_1EA,가변이미지 1개,PRC_COMPONENT_TYPE.04,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.04,Y
COMP_PP_VARIMG_2EA,가변이미지 2개,PRC_COMPONENT_TYPE.04,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.04,Y
COMP_PP_VARIMG_3EA,가변이미지 3개,PRC_COMPONENT_TYPE.04,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.04,Y
COMP_PP_VARTEXT_1EA,가변텍스트 1개,PRC_COMPONENT_TYPE.04,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.04,Y
COMP_PP_VARTEXT_2EA,가변텍스트 2개,PRC_COMPONENT_TYPE.04,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.04,Y
COMP_PP_VARTEXT_3EA,가변텍스트 3개,PRC_COMPONENT_TYPE.04,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.04,Y
COMP_PRINT_DIGITAL_S1,디지털인쇄비(단면),PRC_COMPONENT_TYPE.01,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.01,Y
COMP_PRINT_DIGITAL_S2,디지털인쇄비(양면),PRC_COMPONENT_TYPE.01,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.01,Y
COMP_PRINT_SPOT_CLEAR_S1,별색인쇄비 클리어(단면),PRC_COMPONENT_TYPE.01,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.01,Y
