$ psql <URL> -c "
SELECT ps.prd_cd, p.prd_nm, ps.siz_cd, s.siz_nm, s.work_width, s.work_height,
       s.cut_width, s.cut_height, s.margin_top, s.margin_lft, ps.dflt_plt_yn,
       ps.item_siz_cd, ps.del_yn, ps.reg_dt, ps.upd_dt
FROM t_prd_product_plate_sizes ps
JOIN t_prd_products p ON p.prd_cd=ps.prd_cd
LEFT JOIN t_siz_sizes s ON s.siz_cd=ps.siz_cd
WHERE ps.prd_cd IN ('PRD_000068','PRD_000069','PRD_000070','PRD_000072','PRD_000077','PRD_000100')
ORDER BY ps.prd_cd, ps.siz_cd;
"

   prd_cd   |      prd_nm       |   siz_cd   |       siz_nm       | work_width | work_height | cut_width | cut_height | margin_top | margin_lft | dflt_plt_yn | item_siz_cd | del_yn |           reg_dt           |           upd_dt           
------------+-------------------+------------+--------------------+------------+-------------+-----------+------------+------------+------------+-------------+-------------+--------+----------------------------+----------------------------
 PRD_000068 | 중철책자          | SIZ_000499 | 316x467            |     316.00 |      467.00 |    306.00 |     457.00 |       5.00 |       5.00 | Y           |             | N      | 2026-07-03 17:25:30.598304 | 2026-08-24 22:48:19.749347
 PRD_000069 | 무선책자          | SIZ_000499 | 316x467            |     316.00 |      467.00 |    306.00 |     457.00 |       5.00 |       5.00 | Y           |             | N      | 2026-07-03 17:25:30.598304 | 
 PRD_000070 | PUR책자           | SIZ_000475 | 330x660            |     330.00 |      660.00 |           |            |       5.00 |       5.00 | N           |             | N      | 2026-08-25 00:02:37.504397 | 2026-08-25 00:03:28.537068
 PRD_000070 | PUR책자           | SIZ_000499 | 316x467            |     316.00 |      467.00 |    306.00 |     457.00 |       5.00 |       5.00 | Y           |             | N      | 2026-07-03 17:25:30.598304 | 2026-08-25 00:03:28.537068
 PRD_000070 | PUR책자           | SIZ_000535 | 330x540            |     330.00 |      540.00 |    320.00 |     530.00 |       5.00 |       5.00 | N           |             | Y      | 2026-08-25 00:02:40.694773 | 2026-08-25 00:03:28.537068
 PRD_000070 | PUR책자           | SIZ_000641 | 480x320            |     480.00 |      320.00 |    470.00 |     310.00 |       5.00 |       5.00 | N           |             | Y      | 2026-08-25 00:00:50.893893 | 2026-08-25 00:03:28.537068
 PRD_000072 | 하드커버책자      | SIZ_000499 | 316x467            |     316.00 |      467.00 |    306.00 |     457.00 |       5.00 |       5.00 | Y           |             | N      | 2026-07-03 17:25:30.598304 | 2026-08-24 22:48:04.632889
 PRD_000077 | 레더하드커버책자  | SIZ_000499 | 316x467            |     316.00 |      467.00 |    306.00 |     457.00 |       5.00 |       5.00 | Y           |             | N      | 2026-07-03 17:25:30.598304 | 2026-08-24 22:48:28.953696
 PRD_000100 | 포토북 [디자인명] | SIZ_000250 | A5세로 (148x210mm) |     150.00 |      214.00 |    148.00 |     210.00 |            |            | Y           |             | Y      | 2026-06-03 12:46:02.974607 | 2026-07-01 12:01:20.426276
 PRD_000100 | 포토북 [디자인명] | SIZ_000252 | A4세로 (210x297mm) |     213.00 |      303.00 |    210.00 |     297.00 |            |            | Y           |             | Y      | 2026-06-03 12:46:02.974607 | 2026-07-01 12:01:20.426276
 PRD_000100 | 포토북 [디자인명] | SIZ_000270 | 203x203mm          |     203.00 |      203.00 |    210.00 |     199.00 |       2.00 |       0.00 | Y           |             | Y      | 2026-06-03 12:46:02.974607 | 2026-07-01 12:01:20.426276
 PRD_000100 | 포토북 [디자인명] | SIZ_000272 | 460x235            |     460.00 |      235.00 |           |            |            |            | Y           |             | Y      | 2026-06-03 12:46:02.974607 | 2026-07-01 12:01:20.426276
 PRD_000100 | 포토북 [디자인명] | SIZ_000273 | 420x213            |     420.00 |      213.00 |           |            |            |            | Y           |             | Y      | 2026-06-03 12:46:02.974607 | 2026-07-01 12:01:20.426276
 PRD_000100 | 포토북 [디자인명] | SIZ_000275 | 254x254            |     254.00 |      254.00 |           |            |            |            | Y           |             | Y      | 2026-06-03 12:46:02.974607 | 2026-07-01 12:01:20.426276
 PRD_000100 | 포토북 [디자인명] | SIZ_000277 | 556x285            |     556.00 |      285.00 |           |            |            |            | Y           |             | Y      | 2026-06-03 12:46:02.974607 | 2026-07-01 12:01:20.426276
 PRD_000100 | 포토북 [디자인명] | SIZ_000278 | 352x248            |     352.00 |      248.00 |           |            |            |            | Y           |             | Y      | 2026-06-03 12:46:02.974607 | 2026-07-01 12:01:20.426276
 PRD_000100 | 포토북 [디자인명] | SIZ_000279 | 314x224            |     314.00 |      224.00 |           |            |            |            | Y           |             | Y      | 2026-06-03 12:46:02.974607 | 2026-07-01 12:01:20.426276
 PRD_000100 | 포토북 [디자인명] | SIZ_000280 | 472x334            |     472.00 |      334.00 |           |            |            |            | Y           |             | Y      | 2026-06-03 12:46:02.974607 | 2026-07-01 12:01:20.426276
 PRD_000100 | 포토북 [디자인명] | SIZ_000281 | 440x313            |     440.00 |      313.00 |           |            |            |            | Y           |             | Y      | 2026-06-03 12:46:02.974607 | 2026-07-01 12:01:20.426276
(19 rows)

