$ psql <URL> -c "
SELECT p.prd_nm, p.semi_role_cd, s.siz_cd, z.siz_nm,
       z.cut_width AS cw, z.cut_height AS ch, z.work_width AS ww, z.work_height AS wh,
       z.margin_top AS mt, z.margin_lft AS ml, z.impos_yn
FROM t_prd_product_sizes s
JOIN t_prd_products p ON p.prd_cd=s.prd_cd
JOIN t_siz_sizes z ON z.siz_cd=s.siz_cd
WHERE s.del_yn='N' AND p.prd_cd IN
  ('PRD_000288','PRD_000290','PRD_000292','PRD_000073','PRD_000078','PRD_000074',
   'PRD_000102','PRD_000105','PRD_000107','PRD_000104','PRD_000101',
   'PRD_000287','PRD_000289','PRD_000291')
ORDER BY p.semi_role_cd, p.prd_nm, s.siz_cd;
"

         prd_nm         | semi_role_cd |   siz_cd   |         siz_nm          |   cw   |   ch   |   ww   |   wh   |  mt  |  ml  | impos_yn 
------------------------+--------------+------------+-------------------------+--------+--------+--------+--------+------+------+----------
 무선책자-내지          | SEMI_ROLE.01 | SIZ_000250 | A5세로 (148x210mm)      | 148.00 | 210.00 | 150.00 | 214.00 |      |      | N
 무선책자-내지          | SEMI_ROLE.01 | SIZ_000252 | A4세로 (210x297mm)      | 210.00 | 297.00 | 213.00 | 303.00 |      |      | N
 중철책자-내지          | SEMI_ROLE.01 | SIZ_000250 | A5세로 (148x210mm)      | 148.00 | 210.00 | 150.00 | 214.00 |      |      | N
 중철책자-내지          | SEMI_ROLE.01 | SIZ_000252 | A4세로 (210x297mm)      | 210.00 | 297.00 | 213.00 | 303.00 |      |      | N
 포토북 [디자인명]-내지 | SEMI_ROLE.01 | SIZ_000250 | A5세로 (148x210mm)      | 148.00 | 210.00 | 150.00 | 214.00 |      |      | N
 포토북 [디자인명]-내지 | SEMI_ROLE.01 | SIZ_000252 | A4세로 (210x297mm)      | 210.00 | 297.00 | 213.00 | 303.00 |      |      | N
 포토북 [디자인명]-내지 | SEMI_ROLE.01 | SIZ_000269 | 8x8(200x200mm)          | 200.00 | 200.00 | 200.00 | 200.00 |      |      | N
 포토북 [디자인명]-내지 | SEMI_ROLE.01 | SIZ_000274 | 250x250mm               | 252.00 | 250.00 | 254.00 | 254.00 | 2.00 | 0.00 | N
 PUR책자-내지           | SEMI_ROLE.01 | SIZ_000250 | A5세로 (148x210mm)      | 148.00 | 210.00 | 150.00 | 214.00 |      |      | N
 PUR책자-내지           | SEMI_ROLE.01 | SIZ_000252 | A4세로 (210x297mm)      | 210.00 | 297.00 | 213.00 | 303.00 |      |      | N
 레더하드커버책자-표지  | SEMI_ROLE.02 | SIZ_000634 | 하드커버무선책자 표지A5 | 390.00 | 268.00 | 390.00 | 268.00 | 0.00 | 0.00 | N
 레더하드커버책자-표지  | SEMI_ROLE.02 | SIZ_000635 | 하드커버무선책자 표지A4 | 532.00 | 355.00 | 532.00 | 355.00 | 0.00 | 0.00 | N
 하드커버책자-표지      | SEMI_ROLE.02 | SIZ_000634 | 하드커버무선책자 표지A5 | 390.00 | 268.00 | 390.00 | 268.00 | 0.00 | 0.00 | N
 하드커버책자-표지      | SEMI_ROLE.02 | SIZ_000635 | 하드커버무선책자 표지A4 | 532.00 | 355.00 | 532.00 | 355.00 | 0.00 | 0.00 | N
 무선책자-표지          | SEMI_ROLE.02 | SIZ_000632 | 무선/PUR책자 표지A5     | 330.00 | 210.00 | 336.00 | 216.00 | 3.00 | 3.00 | N
 무선책자-표지          | SEMI_ROLE.02 | SIZ_000633 | 무선/PUR책자 표지A4     | 454.00 | 297.00 | 460.00 | 303.00 | 3.00 | 3.00 | N
 중철책자-표지          | SEMI_ROLE.02 | SIZ_000181 | 426x303mm               |        |        | 426.00 | 303.00 |      |      | N
 중철책자-표지          | SEMI_ROLE.02 | SIZ_000251 | 300x214mm               |        |        | 300.00 | 214.00 |      |      | N
 PUR책자-표지           | SEMI_ROLE.02 | SIZ_000632 | 무선/PUR책자 표지A5     | 330.00 | 210.00 | 336.00 | 216.00 | 3.00 | 3.00 | N
 PUR책자-표지           | SEMI_ROLE.02 | SIZ_000633 | 무선/PUR책자 표지A4     | 454.00 | 297.00 | 460.00 | 303.00 | 3.00 | 3.00 | N
(20 rows)

