mallProductNo,productName,productManagementCd,classType,saleStatusType,optionType,textOptionLabels,textOptionCount,huni_token,huni_item,huni_order,분류,조회오류
136009379,메쉬토트백,PRD_000278,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009378,타이벡보냉에코백,PRD_000277,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009376,타이벡보냉미니백,PRD_000275,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009374,타이벡보냉보틀백,PRD_000274,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009373,타이벡양면백팩,PRD_000273,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009372,캔버스 포켓숄더백,PRD_000272,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009370,캔버스숄더백,PRD_000271,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009369,캔버스에코백,PRD_000270,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009367,캔버스 포켓심플백,PRD_000269,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009366,캔버스심플백,PRD_000268,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009365,린넨 에코백,PRD_000267,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009364,린넨 토트백,PRD_000266,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009363,린넨 미니에코백,PRD_000265,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009361,레더숄더백,PRD_000264,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009360,레더원형필통,PRD_000260-DUP-136009360,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009359,레더볼륨필통,PRD_000259-DUP-136009359,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009358,레더삼각필통,PRD_000258-DUP-136009358,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009357,레더슬림필통,PRD_000257-DUP-136009357,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009355,레더플랫필통,PRD_000256-DUP-136009355,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009354,레더원형미니파우치,PRD_000255,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009352,레더볼륨미니파우치,PRD_000254,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009351,레더삼각미니파우치,PRD_000253,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009350,레더슬림미니파우치,PRD_000252-DUP-136009350,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009347,레더플랫미니파우치,PRD_000251-DUP-136009347,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009346,메쉬볼륨파우치,PRD_000250,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009345,메쉬슬림파우치,PRD_000249-DUP-136009345,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009344,타이벡플랫클러치,PRD_000248,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009342,타이벡스트링파우치,PRD_000247,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009340,타이벡삼각파우치,PRD_000246,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009339,타이벡슬림파우치,PRD_000245,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009337,타이벡플랫파우치,PRD_000244,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009336,린넨 스트링 파우치,PRD_000243,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009335,광목 스트링 라벨파우치,PRD_000242,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009332,캔버스 스트랩 라벨파우치,PRD_000241,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009331,캔버스 삼각 파우치,PRD_000240,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009330,캔버스 플랫 파우치,PRD_000239,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009329,레더 아이패드/노트북 파우치,PRD_000238,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009327,레더삼각클러치,PRD_000237-DUP-136009327,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009325,레더플랫클러치,PRD_000236,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009324,레더스트링원형파우치,PRD_000235,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009322,레더스트링파우치,PRD_000234-DUP-136009322,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009321,레더볼륨파우치,PRD_000233-DUP-136009321,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009319,레더삼각파우치,PRD_000232,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009318,레더슬림파우치,PRD_000231-DUP-136009318,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009317,레더플랫파우치,PRD_000230,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009316,아크릴카라비너,PRD_000166-DUP-136009316,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009315,아크릴미니파츠,PRD_000163-DUP-136009315,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009313,아크릴포카스탠드,PRD_000162-DUP-136009313,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009311,판아크릴,PRD_000161-DUP-136009311,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009310,아크릴자유형스탠드,PRD_000160-DUP-136009310,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009309,아크릴 포카키링,PRD_000158-DUP-136009309,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009307,아크릴네임택,PRD_000157-DUP-136009307,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009306,아크릴지비츠,PRD_000156-DUP-136009306,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009305,아크릴볼펜,PRD_000155-DUP-136009305,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009302,아크릴 머리끈,PRD_000154-DUP-136009302,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009301,아크릴명찰(골드실버),PRD_000153-DUP-136009301,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009300,아크릴명찰,PRD_000152-DUP-136009300,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009299,아크릴스마트톡,PRD_000150-DUP-136009299,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009297,아크릴집게,PRD_000149-DUP-136009297,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009295,아크릴뱃지,PRD_000148-DUP-136009295,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009294,아크릴마그넷,PRD_000147-DUP-136009294,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009293,아크릴키링,PRD_000146-DUP-136009293,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009291,타투스티커,PRD_000067,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009290,합판도무송스티커,PRD_000066,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009289,스티커팩,PRD_000065,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009287,반칼팬시스티커,PRD_000062,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009285,반칼띠지스티커,PRD_000061,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009284,반칼직사각스티커,PRD_000060,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009283,반칼정사각스티커,PRD_000059,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009282,반칼원형스티커,PRD_000058,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009279,대형 자유형 스티커,PRD_000057,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009278,낱장 자유형 투명스티커,PRD_000056,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009277,낱장 자유형 스티커,PRD_000055,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009276,반칼 자유형 홀로그램스티커,PRD_000054,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009274,반칼 자유형 투명스티커,PRD_000053,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009273,반칼 자유형 스티커,PRD_000052,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009272,이미지피켓,PRD_000229,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009270,말랑여권케이스,PRD_000225,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009269,말랑네임택,PRD_000224,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009268,말랑포카홀더,PRD_000223-DUP-136009268,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009265,말랑키링,PRD_000221,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009264,폰스트랩,PRD_000220,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009263,밴드톡,PRD_000219,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009262,극세사클리너,PRD_000212,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009260,후드티셔츠,PRD_000209,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009259,반팔티셔츠,PRD_000206,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009257,양말,PRD_000205,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
