prd_cd,dsc_tbl_cd,comp_cd,apply_bgn_ymd
PRD_000146,DSC_ACR_QTY,ACRYLIC_CLEAR3T_PRINT,2026-09-02
PRD_000146,DSC_ACR_QTY,COMP_ACRYL_CLEAR3T,2026-08-23
PRD_000147,DSC_ACR_QTY,"",2026-08-25
PRD_000148,DSC_ACR_QTY,"",2026-06-01
PRD_000149,DSC_ACR_QTY,"",2026-08-25
PRD_000150,DSC_ACR_QTY,"",2026-06-01
PRD_000151,DSC_ACR_QTY,"",2026-06-01
PRD_000152,DSC_ACR_QTY,"",2026-06-01
PRD_000153,DSC_ACR_QTY,"",2026-08-25
PRD_000154,DSC_ACR_QTY,"",2026-08-25
PRD_000155,DSC_ACR_QTY,"",2026-08-25
PRD_000156,DSC_ACR_QTY,"",2026-06-01
PRD_000157,DSC_ACR_QTY,"",2026-06-01
PRD_000158,DSC_ACR_QTY,"",2026-06-01
PRD_000159,DSC_ACR_QTY,"",2026-06-01
PRD_000160,DSC_ACR_QTY,"",2026-06-01
PRD_000161,DSC_ACR_QTY,"",2026-06-01
PRD_000162,DSC_ACR_QTY,"",2026-06-01
PRD_000163,DSC_ACR_QTY,"",2026-06-01
PRD_000164,DSC_ACR_QTY,"",2026-06-14
PRD_000164,DSC_ACR_QTY,"",2026-06-01
PRD_000165,DSC_ACR_QTY,"",2026-06-01
PRD_000166,DSC_ACRCARA_QTY,"",2026-06-01
PRD_000168,DSC_ACR_QTY,"",2026-06-01
PRD_000169,DSC_ACR_QTY,"",2026-06-01
PRD_000170,DSC_ACR_QTY,"",2026-06-01
PRD_000171,DSC_ACR_QTY,"",2026-06-01
PRD_000172,DSC_STAT_QTY,"",2026-06-01
PRD_000173,DSC_STAT_QTY,"",2026-08-25
PRD_000174,DSC_STAT_QTY,"",2026-08-25
PRD_000175,DSC_STAT_QTY,"",2026-08-25
PRD_000176,DSC_STAT_QTY,"",2026-06-01
PRD_000177,DSC_STAT_QTY,"",2026-06-01
PRD_000178,DSC_STAT_QTY,"",2026-06-01
PRD_000179,DSC_STAT_QTY,"",2026-06-01
PRD_000181,DSC_STAT_QTY,"",2026-06-01
PRD_000183,DSC_GOODSB_QTY,"",2026-06-01
PRD_000184,DSC_GOODSB_QTY,"",2026-06-01
PRD_000185,DSC_GOODSB_QTY,"",2026-06-01
PRD_000186,DSC_GOODSA_QTY,"",2026-06-01
PRD_000187,DSC_GOODSA_QTY,"",2026-06-01
PRD_000188,DSC_GOODSA_QTY,"",2026-06-01
PRD_000189,DSC_GOODSA_QTY,"",2026-06-01
PRD_000190,DSC_GOODSA_QTY,"",2026-06-01
PRD_000191,DSC_GOODSA_QTY,"",2026-06-01
PRD_000192,DSC_GOODSA_QTY,"",2026-06-01
PRD_000193,DSC_GOODSB_QTY,"",2026-06-01
PRD_000194,DSC_GOODSA_QTY,"",2026-06-01
PRD_000195,DSC_GOODSA_QTY,"",2026-06-01
PRD_000196,DSC_GOODSA_QTY,"",2026-06-01
PRD_000197,DSC_GOODSA_QTY,"",2026-06-01
PRD_000198,DSC_GOODSA_QTY,"",2026-06-01
