comp_cd,siz_width,siz_height,min_qty,unit_price,apply_ymd,note
POSTER_PLACARD_PRINT,900.00,900.00,1,8000.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,900.00,1000.00,1,8000.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,900.00,1200.00,1,8640.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,900.00,1400.00,1,10080.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,900.00,1600.00,1,11520.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,900.00,1800.00,1,12960.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,900.00,2000.00,1,14400.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,900.00,2200.00,1,15840.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,900.00,2400.00,1,17280.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,900.00,2600.00,1,18720.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,900.00,2800.00,1,20160.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,900.00,3000.00,1,21600.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,900.00,3500.00,1,25200.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,900.00,4000.00,1,28800.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,900.00,4500.00,1,32400.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,900.00,5000.00,1,36000.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1000.00,900.00,1,8000.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1000.00,1000.00,1,8000.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1000.00,1200.00,1,9600.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1000.00,1400.00,1,11200.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1000.00,1600.00,1,12800.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1000.00,1800.00,1,14400.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1000.00,2000.00,1,16000.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1000.00,2200.00,1,17600.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1000.00,2400.00,1,19200.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1000.00,2600.00,1,20800.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1000.00,2800.00,1,22400.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1000.00,3000.00,1,24000.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1000.00,3500.00,1,28000.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1000.00,4000.00,1,32000.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1000.00,4500.00,1,36000.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1000.00,5000.00,1,40000.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1200.00,900.00,1,8640.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1200.00,1000.00,1,9600.00,2026-09-02,권위 포스터사인 r287~r303
