prd_cd,prd_nm,frm_cd,use_yn
PRD_000148,아크릴뱃지,PRF_ACRYL_BADGE,Y
PRD_000166,아크릴카라비너,PRF_ACRYL_CARABINER,Y
PRD_000149,아크릴집게,PRF_ACRYL_CLIP,Y
PRD_000154,아크릴 머리끈,PRF_ACRYL_HAIRBAND,Y
PRD_000146,아크릴키링,PRF_ACRYL_KEYRING,Y
PRD_000147,아크릴마그넷,PRF_ACRYL_MAGNET,Y
PRD_000152,아크릴명찰,PRF_ACRYL_NAMETAG,Y
PRD_000153,아크릴명찰(골드실버),PRF_ACRYL_NAMETAG_GS,Y
PRD_000150,아크릴스마트톡,PRF_ACRYL_SMARTTOK,Y
PRD_000151,맥세이프 스마트톡,PRF_CLR_ACRYL,Y
PRD_000157,아크릴네임택,PRF_CLR_ACRYL,Y
PRD_000158,아크릴 포카키링,PRF_CLR_ACRYL,Y
PRD_000159,아크릴코스터,PRF_CLR_ACRYL,Y
PRD_000161,판아크릴,PRF_CLR_ACRYL,Y
PRD_000162,아크릴포카스탠드,PRF_CLR_ACRYL,Y
PRD_000164,아크릴코롯토,PRF_COROTTO_ACRYL,Y
PRD_000165,아크릴포카코롯토,PRF_COROTTO_ACRYL_MTX,N
PRD_000142,유광아크릴스티커,PRF_POSTER_ACRYLSTK_GLOSS,Y
PRD_000143,미러아크릴스티커,PRF_POSTER_ACRYLSTK_MIRROR,Y
PRD_000122,접착투명포스터,PRF_POSTER_ADH_CLEAR,Y
PRD_000121,접착방수포스터,PRF_POSTER_ADH_WP,Y
PRD_000123,아트패브릭포스터,PRF_POSTER_ARTFABRIC,Y
PRD_000119,아트페이퍼포스터,PRF_POSTER_ARTPAPER,Y
PRD_000118,아트프린트포스터,PRF_POSTER_ARTPRINT,Y
PRD_000139,메쉬현수막,PRF_POSTER_BANNER_M,Y
PRD_000138,일반현수막,PRF_POSTER_BANNER_N,Y
PRD_000125,캔버스패브릭포스터,PRF_POSTER_CANVAS,Y
PRD_000133,캔버스 행잉포스터,PRF_POSTER_CANVAS_HANGING,Y
PRD_000129,폼보드,PRF_POSTER_FOAMBOARD,Y
PRD_000130,포맥스보드,PRF_POSTER_FOMEXBOARD,Y
PRD_000131,프레임리스우드액자,PRF_POSTER_FRAMELESS,Y
PRD_000135,족자포스터,PRF_POSTER_JOKJA,Y
PRD_000126,레더아트프린트,PRF_POSTER_LEATHER_AP,Y
PRD_000132,레더아트액자,PRF_POSTER_LEATHER_FRAME,Y
PRD_000124,린넨패브릭포스터,PRF_POSTER_LINEN,Y
PRD_000134,린넨우드봉족자,PRF_POSTER_LINEN_WOODBONG,Y
PRD_000128,메쉬프린트,PRF_POSTER_MESH,Y
PRD_000137,메쉬배너,PRF_POSTER_MESH_BANNER,Y
PRD_000145,미니배너,PRF_POSTER_MINI_BANNER,Y
PRD_000144,미니보드스탠딩,PRF_POSTER_MINI_STANDBOARD,Y
PRD_000136,PET배너,PRF_POSTER_PET_BANNER,Y
PRD_000141,홀로그램 시트커팅,PRF_POSTER_SHEETCUT_HOLO,Y
PRD_000140,무광시트커팅,PRF_POSTER_SHEETCUT_MATTE,Y
PRD_000127,타이벡프린트,PRF_POSTER_TYVEK,Y
PRD_000120,방수포스터,PRF_POSTER_WATERPROOF,Y
PRD_000052,반칼 자유형 스티커,PRF_STK_FIXED,Y
PRD_000053,반칼 자유형 투명스티커,PRF_STK_FIXED,Y
PRD_000054,반칼 자유형 홀로그램스티커,PRF_STK_FIXED,Y
PRD_000055,낱장 자유형 스티커,PRF_STK_FIXED,Y
PRD_000056,낱장 자유형 투명스티커,PRF_STK_FIXED,Y
PRD_000057,대형 자유형 스티커,PRF_STK_FIXED,Y
PRD_000058,반칼원형스티커,PRF_STK_FIXED,Y
PRD_000059,반칼정사각스티커,PRF_STK_FIXED,Y
PRD_000060,반칼직사각스티커,PRF_STK_FIXED,Y
PRD_000061,반칼띠지스티커,PRF_STK_FIXED,Y
PRD_000062,반칼팬시스티커,PRF_STK_FIXED,Y
PRD_000063,반칼팬시투명스티커,PRF_STK_FIXED,Y
PRD_000064,소량자유형스티커,PRF_STK_FIXED,N
PRD_000067,타투스티커,PRF_STK_TATTOO,Y
PRD_000156,아크릴지비츠,PRF_ZIBITZ_ACRYL,Y
PRD_000171,지비츠★,PRF_ZIBITZ_ACRYL,Y
