comp_cd,comp_nm,use_yn,del_yn,price_rows,frm_refs
COMP_ACRYL_PENDING_TBD,단가/구성 확인필요 (실무진),Y,Y,0,6
COMP_ACRYL_SMARTTOK,스마트톡 바디,Y,N,2,0
COMP_ACRYL_ZIBITZ,아크릴지비츠 가공(투명/스핀) 완제품가,Y,N,2,0
COMP_BANNER_ADDON,일반 현수막 부자재,Y,N,4,0
COMP_BANNER_MESH_ADDON,포스터_메쉬현수막_부자재,Y,N,2,2
COMP_BANNER_MESH_OPTION,포스터_메쉬현수막_가공가,Y,N,4,2
COMP_BANNER_OPTION,일반현수막 가공옵션,Y,N,6,0
COMP_BIND_CAL_DESK130,제본비 탁상캘린더(130),Y,Y,6,0
COMP_BIND_CAL_DESK220,제본비 탁상캘린더(220),Y,Y,6,0
COMP_BIND_CAL_DESKMINI,제본비 탁상캘린더(미니),Y,Y,6,0
COMP_BIND_CAL_WALL,제본비 벽걸이캘린더,Y,N,24,1
COMP_BIND_CAL_WALL_OPT,제본비 벽걸이캘린더(가공 옵션축),Y,N,14,1
COMP_BIND_HC_MUSEON,제본비 하드커버무선,Y,Y,6,0
COMP_BIND_HC_TWINRING,제본비 하드커버트윈링,Y,N,6,1
COMP_BIND_JUNGCHEOL,제본비 중철,Y,N,8,1
COMP_BIND_MUSEON,제본비 무선,Y,N,8,2
COMP_BIND_PUR,제본비 PUR,Y,N,8,2
COMP_BIND_SSABARI,제본비 싸바리바인더,Y,N,18,1
COMP_BIND_TWINRING,제본비,Y,N,32,1
COMP_COAT_GLOSSY,유광코팅비,Y,N,138,5
COMP_COAT_MATTE,무광코팅비,Y,N,230,6
COMP_COVER_LEATHER,레더 하드커버 표지 소재비,Y,N,2,1
COMP_CUT_FULL_DIECUT,커팅 완제품가 완칼(모양엽서·라벨택),Y,N,72,3
COMP_CUT_FULL_PERF_1H6,커팅 완제품가 완칼+타공1구,Y,N,9,0
COMP_CUT_FULL_PERF_2H6,커팅 완제품가 완칼+타공2구,Y,N,9,0
COMP_CUT_PERF_1H6,타공비 (6mm),Y,N,18,5
COMP_CUT_PERF_CAL,캘린더 타공가공비 (타공+끈·합가),Y,N,5,2
COMP_EMBOSS_PROC_LARGE_STD,형압 가공비(대형),Y,N,1664,2
COMP_EMBOSS_PROC_SMALL_STD,형압 가공비(소형),Y,N,570,1
COMP_EMBOSS_SETUP_LARGE,형압 동판셋업비(대형),Y,N,128,2
COMP_EMBOSS_SETUP_SMALL,형압 동판셋업비(소형),Y,N,2,1
COMP_ENV_MAKING,봉투제작(합판),Y,N,60,1
COMP_FOIL_PROC_LARGE_SPECIAL,박 가공비(대형·특수박),Y,N,3328,4
COMP_FOIL_PROC_LARGE_STD,박 가공비(대형·일반박),Y,N,3328,4
COMP_FOIL_PROC_SMALL_SPECIAL,박 가공비(소형·특수박),Y,N,540,3
COMP_FOIL_PROC_SMALL_STD,박 가공비(소형·일반박),Y,N,1620,3
COMP_FOIL_SETUP_LARGE,박·형압 동판셋업비(대형),Y,N,512,4
COMP_FOIL_SETUP_SMALL,박·형압 동판셋업비(소형),Y,N,8,3
COMP_FOLD_CARD_2H,접지비 카드 2단,N,N,48,1
COMP_FOLD_CARD_3H,접지비 카드 3단,N,N,48,0
COMP_FOLD_CARD_6CR,접지비 카드 6크리즈,Y,N,96,1
COMP_FOLD_LEAF_3FOLD,접지비 리플렛 3단,Y,N,144,2
COMP_FOLD_LEAF_4ACC,접지비 리플렛 4단아코디언,Y,N,48,2
COMP_FOLD_LEAF_4GATE,접지비 리플렛 4단게이트,Y,N,48,2
COMP_FOLD_LEAF_HALF,접지비 리플렛 반접지,Y,N,144,2
COMP_GANGPAN_PRINT,합판도무송 완제품가(형상·소재별),Y,N,1080,1
COMP_GOODS_FIX_186,사각손거울,Y,N,3,1
COMP_GOODS_FIX_187,블랙사각손거울,Y,N,3,1
COMP_GOODS_FIXED_SIZ,굿즈 사이즈별 완제품가,Y,N,83,1
COMP_GOODS_SHAKER_COROTTO,아크릴쉐이커코롯토 인쇄면별 완제품가,Y,N,3,1
COMP_HC_MUSEON_COVERBIND,하드커버무선 표지+제본 합산(권당),Y,N,6,1
COMP_NAMECARD_CLEAR_S1,투명명함 완제품가 단면(용지포함),Y,N,1,1
COMP_NAMECARD_COAT,코팅명함 완제품가(용지포함),Y,N,4,1
COMP_NAMECARD_COAT_S1,코팅명함 완제품가 단면(용지포함),N,Y,0,0
COMP_NAMECARD_COAT_S2,코팅명함 완제품가 양면(용지포함),N,Y,0,0
COMP_NAMECARD_FOIL,오리지널박명함 완제품가(종이+동판+박),Y,N,36,1
COMP_NAMECARD_FOIL_S1_HOLO,오리지널박명함 완제품가 단면·홀로그램/트윙클(종이+동판+박),N,Y,0,0
COMP_NAMECARD_FOIL_S1_STD,오리지널박명함 완제품가 단면·일반박(종이+동판+박),N,Y,0,0
COMP_NAMECARD_FOIL_S2_HOLO,오리지널박명함 완제품가 양면·홀로그램/트윙클(종이+동판+박),N,Y,0,0
COMP_NAMECARD_FOIL_S2_STD,오리지널박명함 완제품가 양면·일반박(종이+동판+박),N,Y,0,0
COMP_NAMECARD_FOIL_SETUP_S1_STD,박·형압 동판셋업비 단면,Y,N,1,1
COMP_NAMECARD_FOIL_SETUP_S2_STD,박·형압 동판셋업비 양면,Y,N,1,1
COMP_NAMECARD_MINISHAPE,미니모양명함 완제품가(용지포함),Y,N,2,1
COMP_NAMECARD_MINISHAPE_S1,미니모양명함 완제품가 단면(용지포함),N,Y,0,0
COMP_NAMECARD_MINISHAPE_S2,미니모양명함 완제품가 양면(용지포함),N,Y,0,0
COMP_NAMECARD_PEARL,펄명함(스타드림) 완제품가(용지포함),Y,N,8,2
COMP_NAMECARD_PEARL_S1,펄명함(스타드림) 완제품가 단면(용지포함),N,Y,0,0
COMP_NAMECARD_PEARL_S2,펄명함(스타드림) 완제품가 양면(용지포함),N,Y,0,0
COMP_NAMECARD_PREMIUM,프리미엄명함A 완제품가(용지포함),Y,N,28,3
COMP_NAMECARD_PREMIUM_S1_MGA,프리미엄명함A 완제품가 단면(용지포함),N,Y,0,0
COMP_NAMECARD_PREMIUM_S1_MGB,프리미엄명함B 완제품가 단면(용지포함),N,Y,0,0
COMP_NAMECARD_PREMIUM_S2_MGA,프리미엄명함A 완제품가 양면(용지포함),N,Y,0,0
COMP_NAMECARD_PREMIUM_S2_MGB,프리미엄명함B 완제품가 양면(용지포함),N,Y,0,0
COMP_NAMECARD_SHAPE,모양명함 완제품가(용지포함),Y,N,2,1
COMP_NAMECARD_SHAPE_S1,모양명함 완제품가 단면(용지포함),N,Y,0,0
COMP_NAMECARD_SHAPE_S2,모양명함 완제품가 양면(용지포함),N,Y,0,0
COMP_NAMECARD_SPOT,명함 별색인쇄비,Y,N,2,1
COMP_NAMECARD_STD,스탠다드명함 완제품가(용지포함),Y,N,10,2
COMP_NAMECARD_STD_S1,스탠다드명함 완제품가 단면(용지포함),N,Y,0,0
COMP_NAMECARD_STD_S2,스탠다드명함 완제품가 양면(용지포함),N,Y,0,0
COMP_NAMECARD_WHITE,화이트인쇄명함 완제품가(용지포함),Y,N,2,1
COMP_NAMECARD_WHITE_S1W_CL,화이트인쇄명함 완제품가 단면·코팅(용지포함),N,Y,0,0
COMP_NAMECARD_WHITE_S1W_NOCL,화이트인쇄명함 완제품가 단면·무코팅(용지포함),N,Y,0,0
COMP_NAMECARD_WHITE_S2W_CL,화이트인쇄명함 완제품가 양면·코팅(용지포함),N,Y,0,0
COMP_NAMECARD_WHITE_S2W_NOCL,화이트인쇄명함 완제품가 양면·무코팅(용지포함),N,Y,0,0
COMP_PAPER,용지비(종이별 절가),Y,N,90,14
COMP_PCB,엽서북(내지) 사이즈/양단면/페이지수별 단가,Y,N,480,1
COMP_PCB_S1_20P,엽서북 완제품가 사이즈/양단면/페이지수별 단가,N,Y,0,0
COMP_PCB_S1_30P,엽서북 완제품가 단면·30p,N,Y,117,0
COMP_PCB_S2_20P,엽서북 완제품가 양면·20p,N,Y,117,0
COMP_PCB_S2_30P,엽서북 완제품가 양면·30p,N,Y,117,0
COMP_PHOTOBOOK_BASE,포토북 완제품가 기본24P(사이즈·표지타입별),Y,N,11,1
COMP_PHOTOBOOK_PAGE,포토북 추가2P당(사이즈별),Y,N,4,1
COMP_PHOTOCARD_BULK,포토카드 완제품가 대량,Y,N,50,1
COMP_PHOTOCARD_CLEAR_SET,포토카드 완제품가 투명세트,Y,N,1,2
COMP_PHOTOCARD_SET,포토카드 완제품가 일반세트,Y,N,1,1
COMP_POPT_BNR_GAKMOK_STR_900_4,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POPT_BNR_GAKMOK_STR_900_4],N,Y,0,0
COMP_POPT_BNR_GAKMOK_STR_900_4_GT,현수막 각목(900mm 초과)+끈(4개) 추가가격,Y,N,1,0
COMP_POPT_BNR_GAKMOK_STR_900_4_LE,현수막 각목(900mm이하)+끈(4개) 추가가격,Y,N,1,0
COMP_POSTER_ACRYLSTK_GLOSS,유광아크릴스티커 완제품가,Y,N,4,0
COMP_POSTER_ACRYLSTK_MIRROR,미러아크릴스티커 완제품가,Y,N,4,0
COMP_POSTER_ADH_CLEAR_PVC,실사 완제품가 (접착투명포스터),Y,N,52,0
COMP_POSTER_ADH_WATERPROOF_PVC,접착방수포스터 완제품가[레거시],N,Y,52,0
COMP_POSTER_ARTFABRIC_GRAPHIC,아트패브릭포스터 완제품가[레거시],N,Y,52,0
COMP_POSTER_ARTPAPER_MATTE,실사 완제품가 (아트페이퍼포스터),Y,N,39,0
COMP_POSTER_ARTPRINT_PHOTO,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터),Y,N,52,1
COMP_POSTER_BANNER_MESH,메쉬현수막 출력,Y,N,48,0
COMP_POSTER_BANNER_NORMAL,일반현수막 출력,Y,N,80,0
COMP_POSTER_CANVAS_FABRIC,실사 완제품가 (캔버스패브릭포스터·레더아트프린트·메쉬프린트·타이벡프린트),Y,N,52,0
COMP_POSTER_CANVAS_HANGING,캔버스 행잉포스터 완제품가,Y,N,3,0
COMP_POSTER_FOAMBOARD_BLACK,폼보드(블랙) 완제품가,N,Y,2,0
COMP_POSTER_FOAMBOARD_BOARD,폼보드(보드칼라×사이즈) 완제품가,Y,N,4,0
COMP_POSTER_FOAMBOARD_WHITE,폼보드(화이트) 완제품가,N,Y,3,0
COMP_POSTER_FOMEXBOARD_BOARD,포맥스보드(두께×사이즈) 완제품가,Y,N,4,0
COMP_POSTER_FOMEXBOARD_WHITE3MM,포맥스보드(화이트3mm) 완제품가,N,Y,2,0
COMP_POSTER_FOMEXBOARD_WHITE5MM,포맥스보드(화이트5mm) 완제품가,N,Y,2,0
COMP_POSTER_FRAMELESS_WOOD,프레임리스우드액자 완제품가,Y,N,2,0
COMP_POSTER_JOKJA,족자포스터 완제품가,Y,N,5,0
COMP_POSTER_LEATHER_ARTPRINT,레더아트프린트 완제품가[레거시],N,Y,52,0
COMP_POSTER_LEATHER_FRAME,레더아트액자 완제품가,Y,N,6,0
COMP_POSTER_LINEN_FABRIC,실사 완제품가 (린넨패브릭포스터),Y,N,52,0
COMP_POSTER_LINEN_WOODBONG,린넨우드봉족자 출력 가공,Y,N,3,0
COMP_POSTER_MESH_BANNER,메쉬배너 출력가공,Y,N,1,0
COMP_POSTER_MESH_PRINT,메쉬프린트 완제품가[레거시],N,Y,52,0
COMP_POSTER_MINI_BANNER,미니배너 완제품가,Y,N,10,0
COMP_POSTER_MINI_STANDBOARD,미니보드스탠딩 완제품가,Y,N,15,0
COMP_POSTEROPT_BANNER_MESH_ADD_QBANG_4,메쉬현수막 큐방(4개) 추가가격,Y,Y,1,0
COMP_POSTEROPT_BANNER_MESH_ADD_STRING_4,메쉬현수막 끈(4개) 추가가격,Y,Y,1,0
COMP_POSTEROPT_BANNER_MESH_PROC_OPT,포스터 추가옵션 추가가격(별도 add-on 통가격),N,Y,0,0
COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH,메쉬현수막 타공 추가가격,Y,Y,3,0
COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH_4,메쉬현수막 타공(4개) 추가가격,N,Y,0,0
COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH_6,메쉬현수막 타공(6개) 추가가격,N,Y,0,0
COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH_8,메쉬현수막 타공(8개) 추가가격,N,Y,0,0
COMP_POSTEROPT_BANNER_NORMAL_ADD_QBANG_4,일반현수막 큐방(4개) 추가가격,Y,Y,1,0
COMP_POSTEROPT_BANNER_NORMAL_ADD_STRING_4,일반현수막 끈(4개) 추가가격,Y,Y,1,0
COMP_POSTEROPT_BANNER_NORMAL_PROC_BONGSEW,일반현수막 봉미싱 추가가격,Y,Y,1,0
COMP_POSTEROPT_BANNER_NORMAL_PROC_CUTEDGE,일반현수막 열재단 추가가격,Y,Y,1,0
COMP_POSTEROPT_BANNER_NORMAL_PROC_DTAPE,일반현수막 양면테잎 추가가격,Y,Y,1,0
COMP_POSTEROPT_BANNER_NORMAL_PROC_PUNCH,일반현수막 타공 추가가격,Y,Y,3,0
COMP_POSTEROPT_BANNER_NORMAL_PROC_PUNCH_4,일반현수막 타공(4개) 추가가격,N,Y,0,0
COMP_POSTEROPT_BANNER_NORMAL_PROC_PUNCH_6,일반현수막 타공(6개) 추가가격,N,Y,1,0
COMP_POSTEROPT_BANNER_NORMAL_PROC_PUNCH_8,일반현수막 타공(8개) 추가가격,N,Y,1,0
COMP_POSTEROPT_CANVAS_HANGING_WOODHANGER,캔버스행잉포스터 우드행거+면끈 추가가격,Y,N,3,0
COMP_POSTEROPT_CANVAS_HANGING_WOODHANGER_0,캔버스행잉포스터 우드행거 완제품가,Y,N,3,0
COMP_POSTEROPT_JOKJA_CEILHOOK,족자포스터 천정형고리 추가가격,N,Y,1,0
COMP_POSTEROPT_LINEN_FINISH,린넨 마감가공비,Y,N,7,0
COMP_POSTEROPT_LINEN_WOODBONG_WOODBONG,린넨우드봉족자 우드봉+면끈,Y,N,3,0
COMP_POSTEROPT_PET_BANNER_STAND_IN,PET배너 실내용배너거치대 추가가격,N,Y,1,0
COMP_POSTEROPT_PET_BANNER_STAND_OUT_S1,PET배너 실외용배너거치대(단면용) 추가가격,N,Y,1,0
COMP_POSTEROPT_PET_BANNER_STAND_OUT_S2,PET배너 실외용배너거치대(양면용) 추가가격,N,Y,1,0
COMP_POSTEROPT_PET_BANNER_STAND_SEL,PET배너 거치대(실내/실외) 선택 추가가격,Y,Y,2,0
COMP_POSTER_PET_BANNER,PET배너 출력가공,Y,N,1,0
COMP_POSTER_SHEETCUT_HOLO,홀로그램 시트커팅 완제품가,Y,N,3,0
COMP_POSTER_SHEETCUT_MATTE,무광시트커팅 완제품가,Y,N,6,0
COMP_POSTER_TYVEK_PRINT,타이벡프린트 완제품가[레거시],N,Y,52,0
COMP_POSTER_WATERPROOF_PET,방수포스터 완제품가[레거시],N,Y,52,0
COMP_PP_CORNER_RIGHT,귀돌이,Y,N,18,11
COMP_PP_CORNER_ROUND,귀돌이비 둥근,Y,Y,9,0
COMP_PP_CREASE_1L,오시비,Y,N,30,4
COMP_PP_CREASE_2L,오시비 2줄,Y,Y,10,0
COMP_PP_CREASE_3L,오시비 3줄,Y,Y,10,0
COMP_PP_PERF_1L,미싱비,Y,N,30,3
COMP_PP_PERF_2L,미싱비 2줄,N,Y,10,0
COMP_PP_PERF_3L,미싱비 3줄,N,Y,10,0
COMP_PP_VARIMG_1EA,가변이미지,Y,N,72,7
COMP_PP_VARIMG_2EA,가변이미지 2개,Y,Y,23,0
COMP_PP_VARIMG_3EA,가변이미지 3개,Y,Y,23,0
COMP_PP_VARTEXT_1EA,가변텍스트,Y,N,72,7
COMP_PP_VARTEXT_2EA,가변텍스트 2개,Y,Y,23,0
COMP_PP_VARTEXT_3EA,가변텍스트 3개,Y,Y,23,0
COMP_PRINT_DIGITAL_S1,디지털인쇄,Y,N,1049,14
COMP_PRINT_DIGITAL_S2,디지털인쇄비,Y,Y,212,0
COMP_PRINT_SPOT_CLEAR_S1,별색인쇄비 클리어(단면),N,Y,53,0
COMP_PRINT_SPOT_CLEAR_S2,별색인쇄비 클리어(양면),N,Y,53,0
COMP_PRINT_SPOT_GOLD_S1,별색인쇄비 금색(단면),N,Y,53,0
COMP_PRINT_SPOT_GOLD_S2,별색인쇄비 금색(양면),N,Y,53,0
COMP_PRINT_SPOT_PINK_S1,별색인쇄비 핑크(단면),N,Y,53,0
COMP_PRINT_SPOT_PINK_S2,별색인쇄비 핑크(양면),N,Y,53,0
COMP_PRINT_SPOT_SILVER_S1,별색인쇄비 은색(단면),N,Y,53,0
COMP_PRINT_SPOT_SILVER_S2,별색인쇄비 은색(양면),N,Y,53,0
COMP_PRINT_SPOT_WHITE_S1,별색인쇄비,Y,N,530,2
COMP_PRINT_SPOT_WHITE_S2,별색인쇄비 화이트(양면),N,Y,53,0
COMP_STK_PACK,스티커 완제품가 팩(54장1세트),Y,N,1,1
COMP_STK_PRINT,스티커 완제품가(소재·규격),Y,N,5064,1
COMP_STK_TATTOO,타투스티커 완제품가(3장세트),Y,N,333,0
COMP_STN_DIARY_HARD,만년다이어리(하드커버) 완제품가,Y,N,1,1
COMP_STN_DIARY_LHARD,만년다이어리(레더하드커버) 완제품가,Y,N,1,1
COMP_STN_DIARY_LSOFT,만년다이어리(레더소프트커버) 완제품가,Y,N,1,1
COMP_STN_DIARY_SOFT,만년다이어리(소프트커버) 완제품가,Y,N,1,1
COMP_STN_JUNGCHEOL,중철노트 완제품가,Y,N,1,1
COMP_STN_MEMOPAD,메모패드 완제품가,Y,N,2,1
COMP_STN_MONTHLY,먼슬리플래너 완제품가,Y,N,1,1
COMP_STN_SPRINGNOTE,스프링노트 완제품가,Y,N,1,1
COMP_STN_SPRINGNOTEBK,스프링수첩 완제품가,Y,N,1,1
COMP_TTEOKME,떡메모지 완제품가(권당장수),Y,N,116,1
CUT_FULL_DIECUT,커팅(완칼) 후가공,N,Y,0,0
GOODS_STAMP,만년스탬프,Y,N,7,1
PINBUTTON_,핀버튼,Y,N,2,1
POSTER_ACRYLICSTICKER_FINAL,포스터_아크릴스티커_제작가,Y,N,16,3
POSTER_CLEARPVC_PRINT,포스터_투명PVC_출력가,Y,N,52,2
POSTER_FOAMEX_PRINT,포스터_포맥스_출력가,Y,N,6,2
POSTER_FORMBOARD_PRINT,포스터_폼보드_출력가,Y,N,6,2
POSTER_GRAPHIC_PRINT,포스터_그래픽천_출력가,Y,N,52,2
POSTER_HANGINGCANVAS_ADDON,포스터_캔버스행잉_부자재,Y,N,3,1
POSTER_HANGINGCANVAS_PRINT,포스터_캔버스행잉_제작가,Y,N,3,2
POSTER_HANGINGLINEN_ADDON,포스터_린넨우드봉_부자재,Y,N,3,2
POSTER_HANGINGLINEN_PRINT,포스터_린넨우드봉_제작가,Y,N,3,2
POSTER_HANGINGSCROLL_PRINT,포스터_족자_출력가,Y,N,5,2
POSTER_LEATHERPANEL_PRINT,포스터_레더아트액자_출력가,Y,N,6,2
POSTER_LEATHER_PRINT,포스터_레더_출력가,Y,N,52,2
POSTER_LINEN_FINISHING,포스터_패브릭포스터_가공가,Y,N,7,3
POSTER_LINEN_PRINT,포스터_린넨_출력가,Y,N,52,2
POSTER_MESHBANNER_PRINT,포스터_메쉬배너_제작가,Y,N,1,2
POSTER_MESHPLACARD_PRINT,포스터_메쉬현수막_출력가,Y,N,48,2
POSTER_MESH_PRINT,포스터_메쉬_출력가,Y,N,52,2
POSTER_MINIBANNER_FINAL,포스터_미니배너_제작가,Y,N,10,2
POSTER_MINIBOARD_FINAL,포스터_미니스탠딩보드_제작가,Y,N,15,2
POSTER_OXFORD_PRINT,포스터_캔버스옥스포드_출력가,Y,N,52,2
POSTER_PAPER_PRINT,포스터_매트지_출력가,Y,N,39,2
POSTER_PETBANNER_PRINT,포스터_PET배너_제작가,Y,N,1,2
POSTER_PET_PRINT,포스터_PET_출력가,Y,N,52,2
POSTER_PHOTOPAPER_PRINT,포스터_인화지_출력가,Y,N,52,2
POSTER_PLACARD_ADDON,포스터_현수막_부자재,Y,N,4,2
POSTER_PLACARD_FINISHING,포스터_현수막_가공가,Y,N,6,2
POSTER_PLACARD_PRINT,포스터_일반현수막_출력가,Y,N,80,2
POSTER_PVC_PRINT,포스터_PVC_출력가,Y,N,52,2
POSTER_SHEETCUT_FINAL,포스터_시트커팅_제작가,Y,N,9,3
POSTER_TYVEK_PRINT,포스터_타이벡_출력가,Y,N,52,2
POSTER_WOODPANEL_PRINT,포스터_나무판넬_출력가,Y,N,3,2
STK_CUT_CLEAR_PRINT,스티커_완칼투명_제작가,Y,N,30,1
STK_CUT_LARGE_PRINT,스티커_완칼대형_제작가,Y,N,6,1
STK_CUT_PRINT,스티커_완칼_제작가,Y,N,30,1
STK_KISSCUT_PRINT,스티커_반칼_제작가,Y,N,1728,1
STK_TATTOO_PRINT,스티커_타투_제작가,Y,N,1,1
STK_TATTOO_SETUP,스티커_타투_기본가,Y,N,1,1
