comp_cd,comp_nm,use_yn,del_yn,price_rows,frm_refs
ACC_PPCASE,투명케이스,Y,N,3,1
ACC_WOODHANGER,우드행거 우드봉,Y,N,6,2
ACRYLIC_CARABINER_FINAL,아크릴_카라비너_제작가,Y,N,4,1
ACRYLIC_CLEAR15T_PRINT,아크릴_투명1.5T_출력가,Y,N,90,1
ACRYLIC_CLEAR3T_PRINT,아크릴_투명3T_출력가,Y,N,196,8
ACRYLIC_CLEAR8T_PRINT,아크릴_투명8T_출력가,Y,N,36,2
ACRYLIC_MIRROR3T_PRINT,아크릴_미러3T_출력가,Y,N,81,0
ACRYLIC_TOTAL_FINISHING,아크릴_종합_부자재,Y,N,24,9
CARDMIRROR_BUNDLE,카드거울,Y,N,1,1
CLR_ACRYL_1.5T,투명아크릴1.5T 인쇄가공비,Y,N,81,0
COMP_ACC_ENV_CLR_BDL,카드봉투(사이즈x묶음수),Y,N,2,1
COMP_ACC_ENV_ETC,캘린더봉투(사이즈×묶음수),Y,N,2,1
COMP_ACC_ENV_OPP_ADH,OPP접착봉투(사이즈×묶음수),Y,N,11,1
COMP_ACC_ENV_OPP_NADH,OPP비접착봉투(사이즈×묶음수),Y,N,11,1
COMP_ACC_ENV_TRACING,트레싱지봉투(사이즈×묶음수),Y,N,8,1
COMP_ACC_PART_MAT,부자재 완제품가(자재),Y,N,23,1
COMP_ACC_WOOD_SIZ,우드봉·행거 완제품가(길이),Y,Y,6,0
COMP_ACRYL_BADGE,아크릴뱃지 가공,Y,N,2,0
COMP_ACRYL_BALLPEN,아크릴볼펜 본체,Y,N,3,1
COMP_ACRYL_BLACK_HAIR_BAND,아크릴 머리끈,Y,N,1,0
COMP_ACRYL_CARABINER,아크릴카라비너 본체(3T+3T접합),Y,N,4,0
COMP_ACRYL_CLEAR3T,투명아크릴 인쇄가공비,Y,N,277,0
COMP_ACRYL_CLIP,집게 부속,Y,N,1,0
COMP_ACRYL_COROTTO,아크릴코롯토(투명8T) 인쇄가공비,Y,N,36,0
COMP_ACRYL_FINISH,아크릴 후가공 부속(통합),Y,N,17,0
COMP_ACRYL_FREESTAND,아크릴자유형스탠드 본체,Y,N,5,1
COMP_ACRYL_KEYRING,키링 열쇠고리,Y,N,4,0
COMP_ACRYL_KEYRING_BALLCHAIN,키링 볼체인,N,Y,0,0
COMP_ACRYL_MAGNET,아크릴마그넷 가공,Y,N,1,0
COMP_ACRYL_MINIPART_TBD,미니파츠 단가 미정 · 실무진 확인필요 (120x50 가격표 격자밖),Y,N,1,0
COMP_ACRYL_MIRROR3T,미러아크릴3T 인쇄가공비,Y,N,81,0
COMP_ACRYL_NAMETAG_GS,아크릴명찰(골드실버) 본체,Y,N,3,1
COMP_ACRYL_NAMETAG_GS_OPTION,아크릴명찰(골드실버) 가공옵션,Y,N,2,0
COMP_ACRYL_NAMETAG_PIN,아크릴명찰 가공,Y,N,2,0
