frm_cd,frm_nm,use_yn,comp_cnt,prd_cnt
CARDMIRROR_,카드거울x묶음수,Y,1,1
FORM_ACC_PPCASE,[공식]투명케이스,Y,1,1
FORM_GOODS_STAMP,[공식]굿즈_만년스탬프,Y,1,1
FORM_POSTER_ACRYLICSTICKER,[공식]포스터_아크릴스티커,Y,1,2
FORM_POSTER_CLEARPVC_PRINT,[공식]포스터_접착투명포스터,Y,1,1
FORM_POSTER_FOAMEX,[공식]포스터_포맥스보드,Y,1,1
FORM_POSTER_FORMBOARD,[공식]포스터_폼보드,Y,1,1
FORM_POSTER_GRAPHIC_PRINT,[공식]포스터_아트패브릭포스터,Y,1,1
FORM_POSTER_HANGINGCANVAS,[공식]포스터_캔버스행잉포스터,Y,2,1
FORM_POSTER_HANGINGLINEN,[공식]포스터_린넨우드봉족자,Y,2,1
FORM_POSTER_HANGINGSCROLL,[공식]포스터_족자포스터,Y,1,1
FORM_POSTER_LEATHER,[공식]포스터_레더아트프린트,Y,1,1
FORM_POSTER_LEATHERPANEL,[공식]포스터_레더아트액자,Y,1,1
FORM_POSTER_LINEN,[공식]포스터_린넨패브릭포스터,Y,2,1
FORM_POSTER_MESH,[공식]포스터_메쉬프린트,Y,1,1
FORM_POSTER_MESHBANNER,[공식]포스터_메쉬배너,Y,1,1
FORM_POSTER_MESHPLACARD,[공식]포스터_메쉬현수막,Y,3,1
FORM_POSTER_MINIBANNER,[공식]포스터_미니배너,Y,1,1
FORM_POSTER_MINIBOARD,[공식]포스터_미니스탠딩보드,Y,1,1
FORM_POSTER_OXFORD,[공식]포스터_캔버스패브릭포스터,Y,2,1
FORM_POSTER_PAPER_PRINT,[공식]포스터_아트페이퍼포스터,Y,1,1
FORM_POSTER_PETBANNER,[공식]포스터_PET배너,Y,1,1
FORM_POSTER_PET_PRINT,[공식]포스터_방수포스터,Y,1,1
FORM_POSTER_PHOTOPAPER_PRINT,[공식]포스터_아트프린트포스터,Y,1,1
FORM_POSTER_PLACARD,[공식]포스터_일반현수막,Y,3,1
FORM_POSTER_PVC_PRINT,[공식]포스터_접착방수포스터,Y,1,1
FORM_POSTER_SHEETCUT,[공식]포스터_시트커팅,Y,1,2
FORM_POSTER_TYVEK,[공식]타이벡프린트,Y,1,1
FORM_POSTER_WOODPANEL,[공식]포스터_프레임리스우드액자,Y,1,1
PINBOTTON_,핀버튼x묶음수,Y,1,1
PRF_ACC_ENV_CLR_BDL,[공식]카드봉투,Y,1,1
PRF_ACC_ENV_ETC,[공식]캘린더봉투,Y,1,1
PRF_ACC_ENV_OPP_ADH,[공식]OPP접착봉투,Y,1,1
PRF_ACC_ENV_OPP_NADH,[공식]OPP비접착봉투,Y,1,1
PRF_ACC_ENV_TRACING,[공식]트레싱지봉투,Y,1,1
PRF_ACC_PART_MAT,부자재 자재별 고정가,Y,1,1
PRF_ACC_WOOD_SIZ,[공식]우드행거·우드봉,Y,1,2
PRF_ACRYL_3DBLOCK_TBD,아크릴입체블럭 (★단가 확인필요),Y,1,1
PRF_ACRYL_3DCOROTTO_TBD,아크릴입체코롯토 (★사이즈/자재/단가 미설정),Y,1,1
PRF_ACRYL_BADGE,아크릴뱃지 공식,Y,2,1
PRF_ACRYL_BALLPEN,아크릴볼펜 공식,Y,1,1
PRF_ACRYL_CARABINER,아크릴카라비너 공식,Y,1,1
PRF_ACRYL_CLIP,아크릴집게 공식,Y,2,1
PRF_ACRYL_FREESTAND,아크릴자유형스탠드 공식,Y,1,1
