comp_cd,comp_nm,use_yn,prc_typ_cd,use_dims,price_rows
POSTER_HANGINGLINEN_PRINT,포스터_린넨우드봉_제작가,Y,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]",3
POSTER_HANGINGSCROLL_PRINT,포스터_족자_출력가,Y,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]",5
POSTER_LEATHERPANEL_PRINT,포스터_레더아트액자_출력가,Y,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]",6
POSTER_LEATHER_PRINT,포스터_레더_출력가,Y,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]",52
POSTER_LINEN_FINISHING,포스터_린넨_가공가,Y,PRICE_TYPE.01,"[""opt_cd""  ""min_qty""]",5
POSTER_LINEN_PRINT,포스터_린넨_출력가,Y,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]",52
POSTER_MESHBANNER_PRINT,포스터_메쉬배너_제작가,Y,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]",1
POSTER_MESHPLACARD_PRINT,포스터_메쉬현수막_출력가,Y,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]",48
POSTER_MESH_PRINT,포스터_메쉬_출력가,Y,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]",52
POSTER_MINIBANNER_FINAL,포스터_미니배너_제작가,Y,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]",10
POSTER_MINIBOARD_FINAL,포스터_미니스탠딩보드_제작가,Y,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]",15
POSTER_OXFORD_PRINT,포스터_캔버스옥스포드_출력가,Y,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]",52
POSTER_PAPER_PRINT,포스터_매트지_출력가,Y,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]",39
POSTER_PETBANNER_PRINT,포스터_PET배너_제작가,Y,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]",1
POSTER_PET_PRINT,포스터_PET_출력가,Y,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]",52
POSTER_PHOTOPAPER_PRINT,포스터_인화지_출력가,Y,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]",52
POSTER_PLACARD_ADDON,포스터_현수막_부자재,Y,PRICE_TYPE.01,"[""opt_cd""  ""min_qty""]",4
POSTER_PLACARD_FINISHING,포스터_현수막_가공가,Y,PRICE_TYPE.01,"[""opt_cd""  ""min_qty""]",6
POSTER_PLACARD_PRINT,포스터_일반현수막_출력가,Y,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]",80
POSTER_PVC_PRINT,포스터_PVC_출력가,Y,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]",52
POSTER_SHEETCUT_FINAL,포스터_시트커팅_제작가,Y,PRICE_TYPE.01,"[""siz_cd""  ""mat_cd""  ""min_qty""]",9
POSTER_TYVEK_PRINT,포스터_타이벡_출력가,Y,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]",52
POSTER_WOODPANEL_PRINT,포스터_나무판넬_출력가,Y,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]",3
STK_CUT_CLEAR_PRINT,스티커_완칼투명_제작가,Y,PRICE_TYPE.01,"[""siz_cd""  ""mat_cd""  ""min_qty""]",30
STK_CUT_LARGE_PRINT,스티커_완칼대형_제작가,Y,PRICE_TYPE.01,"[""siz_cd""  ""mat_cd""  ""min_qty""]",6
STK_CUT_PRINT,스티커_완칼_제작가,Y,PRICE_TYPE.01,"[""siz_cd""  ""mat_cd""  ""min_qty""]",30
STK_KISSCUT_PRINT,스티커_반칼_제작가,Y,PRICE_TYPE.01,"[""siz_cd""  ""mat_cd""  ""min_qty""]",1728
STK_TATTOO_PRINT,스티커_타투_제작가,Y,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]",1
STK_TATTOO_SETUP,스티커_타투_기본가,Y,PRICE_TYPE.03,"[""min_qty""]",1
