frm_cd,frm_nm,comp_cd,comp_nm,disp_seq,addtn_yn
PRF_ACRYL_BADGE,아크릴뱃지 공식,ACRYLIC_CLEAR3T_PRINT,아크릴_투명3T_출력가,,""
PRF_ACRYL_BADGE,아크릴뱃지 공식,ACRYLIC_TOTAL_FINISHING,아크릴_종합_부자재,,""
PRF_ACRYL_CARABINER,아크릴카라비너 공식,ACRYLIC_CARABINER_FINAL,아크릴_카라비너_제작가,,""
PRF_ACRYL_CLIP,아크릴집게 공식,ACRYLIC_CLEAR3T_PRINT,아크릴_투명3T_출력가,,""
PRF_ACRYL_CLIP,아크릴집게 공식,ACRYLIC_TOTAL_FINISHING,아크릴_종합_부자재,,""
PRF_ACRYL_HAIRBAND,아크릴머리끈 공식,ACRYLIC_CLEAR3T_PRINT,아크릴_투명3T_출력가,,""
PRF_ACRYL_HAIRBAND,아크릴머리끈 공식,ACRYLIC_TOTAL_FINISHING,아크릴_종합_부자재,,""
PRF_ACRYL_KEYRING,아크릴키링 공식,ACRYLIC_CLEAR3T_PRINT,아크릴_투명3T_출력가,1,""
PRF_ACRYL_KEYRING,아크릴키링 공식,ACRYLIC_TOTAL_FINISHING,아크릴_종합_부자재,,""
PRF_ACRYL_MAGNET,아크릴마그넷 공식,ACRYLIC_CLEAR3T_PRINT,아크릴_투명3T_출력가,,""
PRF_ACRYL_MAGNET,아크릴마그넷 공식,ACRYLIC_TOTAL_FINISHING,아크릴_종합_부자재,,""
PRF_ACRYL_NAMETAG,아크릴명찰 공식,ACRYLIC_CLEAR3T_PRINT,아크릴_투명3T_출력가,,""
PRF_ACRYL_NAMETAG,아크릴명찰 공식,ACRYLIC_TOTAL_FINISHING,아크릴_종합_부자재,,""
PRF_ACRYL_NAMETAG_GS,아크릴명찰(골드실버) 공식,COMP_ACRYL_NAMETAG_GS,아크릴명찰(골드실버) 본체,1,N
PRF_ACRYL_NAMETAG_GS,아크릴명찰(골드실버) 공식,ACRYLIC_TOTAL_FINISHING,아크릴_종합_부자재,,""
PRF_ACRYL_SMARTTOK,아크릴스마트톡 공식,ACRYLIC_CLEAR3T_PRINT,아크릴_투명3T_출력가,,""
PRF_ACRYL_SMARTTOK,아크릴스마트톡 공식,ACRYLIC_TOTAL_FINISHING,아크릴_종합_부자재,,""
PRF_CLR_ACRYL,투명 아크릴 공식,ACRYLIC_CLEAR3T_PRINT,아크릴_투명3T_출력가,,""
PRF_COROTTO_ACRYL,아크릴코롯토 공식,ACRYLIC_CLEAR8T_PRINT,아크릴_투명8T_출력가,,""
PRF_COROTTO_ACRYL_MTX,아크릴 코롯토 계열 공통 (가로x세로 매트릭스),ACRYLIC_CLEAR8T_PRINT,아크릴_투명8T_출력가,,""
PRF_POSTER_ACRYLSTK_GLOSS,유광아크릴스티커 완제품가(면적/규격 단가),POSTER_ACRYLICSTICKER_FINAL,포스터_아크릴스티커_제작가,,""
PRF_POSTER_ACRYLSTK_MIRROR,미러아크릴스티커 완제품가(면적/규격 단가),POSTER_ACRYLICSTICKER_FINAL,포스터_아크릴스티커_제작가,,""
PRF_POSTER_ADH_CLEAR,접착투명포스터 완제품가(면적/규격 단가),POSTER_CLEARPVC_PRINT,포스터_투명PVC_출력가,,""
PRF_POSTER_ADH_WP,접착방수포스터 완제품가(면적/규격 단가),POSTER_PVC_PRINT,포스터_PVC_출력가,,""
PRF_POSTER_ARTFABRIC,아트패브릭포스터 완제품가(면적/규격 단가),POSTER_GRAPHIC_PRINT,포스터_그래픽천_출력가,,""
PRF_POSTER_ARTPAPER,아트페이퍼포스터 완제품가(면적/규격 단가),POSTER_PAPER_PRINT,포스터_매트지_출력가,,""
PRF_POSTER_ARTPRINT,아트프린트포스터 완제품가(면적/규격 단가),POSTER_PHOTOPAPER_PRINT,포스터_인화지_출력가,,""
PRF_POSTER_BANNER_M,메쉬현수막 완제품가(면적/규격 단가),COMP_BANNER_MESH_ADDON,메쉬현수막 부자재,,""
PRF_POSTER_BANNER_M,메쉬현수막 완제품가(면적/규격 단가),COMP_BANNER_MESH_OPTION,메쉬현수막 가공옵션,,""
PRF_POSTER_BANNER_M,메쉬현수막 완제품가(면적/규격 단가),POSTER_MESHPLACARD_PRINT,포스터_메쉬현수막_출력가,,""
PRF_POSTER_BANNER_N,일반현수막 완제품가(면적/규격 단가),POSTER_PLACARD_ADDON,포스터_현수막_부자재,,""
PRF_POSTER_BANNER_N,일반현수막 완제품가(면적/규격 단가),POSTER_PLACARD_FINISHING,포스터_현수막_가공가,,""
PRF_POSTER_BANNER_N,일반현수막 완제품가(면적/규격 단가),POSTER_PLACARD_PRINT,포스터_일반현수막_출력가,,""
PRF_POSTER_CANVAS,캔버스패브릭포스터 완제품가(면적/규격 단가),POSTER_OXFORD_PRINT,포스터_캔버스옥스포드_출력가,,""
PRF_POSTER_CANVAS_HANGING,캔버스 행잉포스터 완제품가(면적/규격 단가),POSTER_HANGINGCANVAS_ADDON,포스터_캔버스행잉_부자재,,""
PRF_POSTER_CANVAS_HANGING,캔버스 행잉포스터 완제품가(면적/규격 단가),POSTER_HANGINGCANVAS_PRINT,포스터_캔버스행잉_제작가,,""
PRF_POSTER_FIXED,포스터사인 소재/사이즈/수량별 완제품가(포함항목 통가격),COMP_POSTER_ARTPRINT_PHOTO,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터),1,Y
PRF_POSTER_FOAMBOARD,폼보드 완제품가(면적/규격 단가),POSTER_FORMBOARD_PRINT,포스터_폼보드_출력가,,""
PRF_POSTER_FOMEXBOARD,포맥스보드 완제품가(면적/규격 단가),POSTER_FOAMEX_PRINT,포스터_포맥스_출력가,,""
PRF_POSTER_FRAMELESS,프레임리스우드액자 완제품가(면적/규격 단가),POSTER_WOODPANEL_PRINT,포스터_나무판넬_출력가,,""
PRF_POSTER_JOKJA,족자포스터 완제품가(면적/규격 단가),POSTER_HANGINGSCROLL_PRINT,포스터_족자_출력가,,""
PRF_POSTER_LEATHER_AP,레더아트프린트 완제품가(면적/규격 단가),POSTER_LEATHER_PRINT,포스터_레더_출력가,,""
PRF_POSTER_LEATHER_FRAME,레더아트액자 완제품가(면적/규격 단가),POSTER_LEATHERPANEL_PRINT,포스터_레더아트액자_출력가,,""
PRF_POSTER_LINEN,린넨패브릭포스터 완제품가(면적/규격 단가),POSTER_LINEN_FINISHING,포스터_린넨_가공가,,""
PRF_POSTER_LINEN,린넨패브릭포스터 완제품가(면적/규격 단가),POSTER_LINEN_PRINT,포스터_린넨_출력가,,""
