cat_cd,cat_nm,upr_cat_cd,cat_lvl,disp_seq,use_yn,reg_dt,upd_dt
CAT_000293,상품악세사리,,3,,Y,2026-06-03 12:46:02.974607,
CAT_000294,명함,,3,,Y,2026-06-03 12:46:02.974607,
CAT_000295,상품권,,3,,Y,2026-06-03 12:46:02.974607,
CAT_000296,배경지,,3,,Y,2026-06-03 12:46:02.974607,
CAT_000297,레드프린팅 책자 가이드,,3,,Y,2026-06-03 12:46:02.974607,
CAT_000298,실사,,3,,Y,2026-06-03 12:46:02.974607,
CAT_000299,단품형,,3,,Y,2026-06-03 12:46:02.974607,
CAT_000300,플래너,,3,,Y,2026-06-03 12:46:02.974607,
CAT_000301,소품,,3,,Y,2026-06-03 12:46:02.974607,
CAT_000302,데스크/사무용품,,3,,Y,2026-06-03 12:46:02.974607,
CAT_000303,디지털악세서리,,3,,Y,2026-06-03 12:46:02.974607,
CAT_000304,말랑(PVC고주파),,3,,Y,2026-06-03 12:46:02.974607,
CAT_000305,레더파우치,,3,,Y,2026-06-03 12:46:02.974607,
CAT_000306,에코백부자재,,3,,Y,2026-06-03 12:46:02.974607,
