prd_cd,cat_cd,main_cat_yn,disp_seq,note,reg_dt,upd_dt
PRD_000031,CAT_000294,N,1,,2026-06-03 12:46:02.974607,2026-06-14 04:57:12.27004
PRD_000032,CAT_000294,N,1,,2026-06-03 12:46:02.974607,2026-06-14 04:57:12.27004
PRD_000033,CAT_000294,N,1,,2026-06-03 12:46:02.974607,2026-06-14 04:57:12.27004
PRD_000034,CAT_000294,N,1,,2026-06-03 12:46:02.974607,2026-06-14 04:57:12.27004
PRD_000035,CAT_000294,N,1,,2026-06-03 12:46:02.974607,2026-06-14 04:57:12.27004
PRD_000036,CAT_000294,N,1,,2026-06-03 12:46:02.974607,2026-06-14 04:57:12.27004
PRD_000037,CAT_000294,N,1,,2026-06-03 12:46:02.974607,2026-06-14 04:57:12.27004
PRD_000038,CAT_000294,N,1,,2026-06-03 12:46:02.974607,2026-06-14 04:57:12.27004
PRD_000039,CAT_000294,N,1,,2026-06-03 12:46:02.974607,2026-06-14 04:57:12.27004
PRD_000118,CAT_000298,N,1, | 정정 2026-06-14: 고아 298(실사) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:01.490467
PRD_000119,CAT_000298,N,1, | 정정 2026-06-14: 고아 298(실사) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:01.490467
PRD_000146,CAT_000299,N,1, | 정정 2026-06-14: 고아 299(단품형) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:03.284375
PRD_000147,CAT_000299,N,1, | 정정 2026-06-14: 고아 299(단품형) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:03.284375
PRD_000148,CAT_000299,N,1, | 정정 2026-06-14: 고아 299(단품형) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:03.284375
PRD_000001,CAT_000293,N,1, | 정정 2026-06-14: 고아 293 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-14 00:23:57.367324
PRD_000002,CAT_000293,N,2, | 정정 2026-06-14: 고아 293 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-14 00:23:57.367324
PRD_000003,CAT_000293,N,1, | 정정 2026-06-14: 고아 293 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-14 00:23:57.367324
PRD_000040,CAT_000294,N,1,,2026-06-03 12:46:02.974607,2026-06-14 04:57:12.27004
PRD_000041,CAT_000295,N,1,,2026-06-03 12:46:02.974607,2026-06-14 04:57:12.27004
PRD_000042,CAT_000295,N,1,,2026-06-03 12:46:02.974607,2026-06-14 04:57:12.27004
PRD_000043,CAT_000296,N,1, | 정정 2026-06-14: 고아 296 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:19:45.620232
PRD_000183,CAT_000301,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000184,CAT_000301,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000185,CAT_000301,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000186,CAT_000301,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000187,CAT_000301,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000210,CAT_000302,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000044,CAT_000296,N,1, | 정정 2026-06-14: 고아 296 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:19:45.620232
PRD_000045,CAT_000296,N,1, | 정정 2026-06-14: 고아 296 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:19:45.620232
