pcode	사이트카테고리(EUC-KR원본)	사이트표시명
1	퓨	인화지
3	퓨	점착소재(합성지)
4	퓨	PET
5	퓨	조명용필름(Back light)
6	퓨	그래픽천
7	퓨	캔버스천
8	퓨	아크릴판넬
9	퓨	알루미늄판넬
10	퓨	나무판넬
11	퓨	보드
12	퓨	실내용배너
13	퓨	실외용배너
14	퓨	현수막
15	퓨	족자
18	퓨	미니배너
19	퓨	미니스탠딩
22	關	디지털출력
23	關	소량전단지·포스터
24	關	리플렛·팜플렛
25	關	도장쿠폰
26	關	명함(디지털)
27	關	카드명함
28	關	특수지출력
29	關	합판(규격)도무송스티커
30	關	합판(규격)도무송스티커
31	關	대봉투·소봉투
32	關	상품권·쿠폰
33	關	엽서
34	關	카드·초대장
35	책  ,캘	탁상형캘린더 제작
36	책  ,캘	무선제본
37	책  ,캘	PUR제본
38	책  ,캘	트윈링제본
39	책  ,캘	중철제본
40	책  ,캘	하드커버무선
41	책  ,캘	하드커버트윈링
44	책  ,캘	싸바리바인더
45	책  ,캘	벽걸이캘린더 제작
47	關	박명함
50	關	코팅엽서
52	關	지그재그엽서
53	關	엽서북
55	關	떡메모지
56	關	반칼(디자인)스티커
57	關	모양명함
59	키  ,	배경지(76x100)+투명봉투
60	키  ,	배경지(76x120)+투명봉투
61	키  ,	배경지(86x120)+투명봉투
62	키  ,	배경지(62x180)+투명봉투
63	키  ,	헤더택(110)+투명봉투
64	키  ,	헤더택(140)+투명봉투
65	키  ,	헤더택(160)+투명봉투
66	키  ,	라벨·텍
68	책  ,캘	엽서(가로형)캘린더 제작
69	책  ,캘	엽서(세로형)캘린더 제작
70	책  ,캘	벽걸이캘린더 제작
71	關	투명엽서
72	굿즈	투명아크릴키링
73	굿즈	린넨 패브릭포스터
74	키  ,	배경지(94x94)+투명봉투
75	굿즈	아크릴뱃지
76	굿즈	모양스마트톡
78	굿즈	아크릴마그넷
80	關	합판(규격)도무송스티커
81	關	스티커팩
82	關	타투스티커
83	關	낱장(자유형)스티커
84	關	반칼(자유형)스티커
85	關	반칼(디자인)스티커
86	關	반칼(규격)스티커
87	關	대형(자유형)스티커
88	책  ,캘	탁상형(미니)캘린더 제작
90	키  ,	헤더택(80)+투명봉투
91	키  ,	배경지(74x74)+투명케이스
92	키  ,	배경지(74x109)+투명케이스
93	굿즈	아크릴집게
94	굿즈	아크릴자석명찰
95	-	아크릴볼펜
96	-	아크릴테스트
97	-	아크릴 자유형 스탠드
98	-	아크릴 미니파츠
99	-	판아크릴
100	-	아크릴 포카 스탠드
101	-	아크릴 네임택(포카키링)
102	關	포토카드
