이전사이트상품,사이트URL,엑셀prd_nm,prd_cd,prd_typ,상품군,종이류여부,판형대상,매칭상태,비고
,,2단접지카드,PRD_000027,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
,,3단접지카드,PRD_000029,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
,,https://www.redprinting.co.kr/ko/guide2/view/4/116,,,책자,N/A,N,엑셀-only,엑셀 비상품 주석행
,,LED투명키캡키링,PRD_000203,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,OPP비접착봉투,PRD_000002,PRD_TYPE.03,상품악세사리,Y,Y,완전매칭,기성상품(제조없음)
,,OPP접착봉투,PRD_000001,PRD_TYPE.03,상품악세사리,Y,Y,완전매칭,기성상품(제조없음)
,,PET배너,PRD_000136,PRD_TYPE.01,실사,N,N,완전매칭,
,,PUR책자,PRD_000070,PRD_TYPE.01,책자,Y,Y,완전매칭,
,,광목 스트링 라벨파우치,PRD_000242,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,규조토코스터,PRD_000192,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,극세사클리너,PRD_000212,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,극세사타월,PRD_000207,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,금은별색엽서,PRD_000022,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
낱장(자유형)스티커,product/list.asp?pcode=83,낱장 자유형 스티커,PRD_000055,PRD_TYPE.01,스티커,Y,Y,완전매칭,
,,낱장 자유형 투명스티커,PRD_000056,PRD_TYPE.01,스티커,Y,Y,완전매칭,
,,"노랑색배경은 신규상품으로 MES에도 없어 등록해야하는 상품입니다
그레이배경의 상품은 품절이거나 준비중인 상품입니다.
그레이칼라의 글씨는 사용자에는 보여지지 않은(파일사양의 구분을 위한) 글씨입니다
*오렌지글씨는 저만의 commemt이니 개발시 무시해주세요
제목부분 (필수/빨강)는 모든 상품에 반드시 설정해야하는 부분 (옵션/오렌지)은 상품에 따라 있을수도 없을 수도 있습니다
모든 항목은 Figma를 참고해주세요",,,문구,N/A,N,엑셀-only,엑셀 비상품 주석행
대형(자유형)스티커,product/list.asp?pcode=87,대형 자유형 스티커,PRD_000057,PRD_TYPE.01,스티커,Y,Y,완전매칭,
