family,entity,required,state,prds_in_family,prds_with_rows,total_rows,source_cell,note
digital-print,t_prd_products,Y,LOADED,36,36,36,always (상품 코어),
digital-print,t_prd_product_categories,Y,LOADED,36,36,36,always (상품 코어),
digital-print,t_prd_product_sizes,Y,PARTIAL,36,33,92,사이즈(필수)|파일사양_작업사이즈|파일사양_재단사이즈,33/36 상품만 행 보유
digital-print,t_prd_product_materials,Y,PARTIAL,36,35,248,종이(필수),35/36 상품만 행 보유
digital-print,t_prd_product_print_options,Y,PARTIAL,36,32,53,인쇄(옵션)|별색인쇄(옵션)_화이트|별색인쇄(옵션)_클리어|별색인쇄(옵션)_핑크|별색인쇄(옵션)_금색|별색인쇄(옵션)_은색,32/36 상품만 행 보유
digital-print,t_prd_product_processes,Y,PARTIAL,36,23,122,코팅(옵션)|커팅(옵션)|접지(옵션)|후가공(옵션)_모서리|후가공(옵션)_오시|후가공(옵션)_미싱|후가공(옵션)_가변(텍스트)|후가공(옵션)_가변(이미지)|박(앞면) / 박(뒷면) / 형압 (옵션)_박/형압 가공|박(앞면) / 박(뒷면) / 형압 (옵션)_크기|박(앞면) / 박(뒷면) / 형압 (옵션)_박칼라,23/36 상품만 행 보유
digital-print,t_prd_product_plate_sizes,Y,LOADED,36,36,45,파일사양_출력용지규격,
digital-print,t_prd_product_bundle_qtys,N,N/A,36,0,0,,엑셀이 이 엔티티 요구 안 함
digital-print,t_prd_product_page_rules,N,N/A,36,0,0,,엑셀이 이 엔티티 요구 안 함
digital-print,t_prd_product_sets,N,N/A,36,0,0,,엑셀이 이 엔티티 요구 안 함
digital-print,t_prd_product_addons,Y,PARTIAL,36,1,1,추가상품(옵션)_추가상품,1/36 상품만 행 보유
digital-print,t_prd_product_option_groups,Y,MISSING,36,0,0,별색인쇄(옵션)_화이트|별색인쇄(옵션)_클리어|별색인쇄(옵션)_핑크|별색인쇄(옵션)_금색|별색인쇄(옵션)_은색|코팅(옵션)|후가공(옵션)_모서리|후가공(옵션)_오시|후가공(옵션)_미싱|후가공(옵션)_가변(텍스트)|후가공(옵션)_가변(이미지),필요한데 라이브 0행
digital-print,t_prd_product_options,Y,MISSING,36,0,0,별색인쇄(옵션)_화이트|별색인쇄(옵션)_클리어|별색인쇄(옵션)_핑크|별색인쇄(옵션)_금색|별색인쇄(옵션)_은색|코팅(옵션)|후가공(옵션)_모서리|후가공(옵션)_오시|후가공(옵션)_미싱|후가공(옵션)_가변(텍스트)|후가공(옵션)_가변(이미지),필요한데 라이브 0행
digital-print,t_prd_product_option_items,Y,MISSING,36,0,0,별색인쇄(옵션)_화이트|별색인쇄(옵션)_클리어|별색인쇄(옵션)_핑크|별색인쇄(옵션)_금색|별색인쇄(옵션)_은색|코팅(옵션)|후가공(옵션)_모서리|후가공(옵션)_오시|후가공(옵션)_미싱|후가공(옵션)_가변(텍스트)|후가공(옵션)_가변(이미지),필요한데 라이브 0행
digital-print,t_prd_templates,Y,PARTIAL,36,2,2,주문방법(필수)_편집기,2/36 상품만 행 보유
digital-print,t_prd_product_constraints,Y,PARTIAL,36,1,1,별색인쇄(옵션)_화이트|별색인쇄(옵션)_클리어|별색인쇄(옵션)_핑크|별색인쇄(옵션)_금색|별색인쇄(옵션)_은색|커팅(옵션),1/36 상품만 행 보유
digital-print,t_prd_product_price_formulas,Y,PARTIAL,36,26,26,가격공식,26/36 상품만 행 보유
digital-print,t_prc_component_prices,Y,PARTIAL,36,26,19402,가격공식,26/36 상품만 행 보유
digital-print,t_prd_product_discount_tables,N,N/A,36,0,0,,엑셀이 이 엔티티 요구 안 함
sticker,t_prd_products,Y,LOADED,16,16,16,always (상품 코어),
sticker,t_prd_product_categories,Y,LOADED,16,16,16,always (상품 코어),
sticker,t_prd_product_sizes,Y,LOADED,16,16,76,사이즈(필수)|파일사양_작업사이즈|파일사양_재단사이즈,
sticker,t_prd_product_materials,Y,LOADED,16,16,50,종이(필수),
sticker,t_prd_product_print_options,Y,LOADED,16,16,16,인쇄(옵션)|별색인쇄(옵션)_화이트,
sticker,t_prd_product_processes,Y,PARTIAL,16,14,17,커팅(옵션)|조각수(옵션),14/16 상품만 행 보유
sticker,t_prd_product_plate_sizes,Y,LOADED,16,16,65,파일사양_출력용지규격,
sticker,t_prd_product_bundle_qtys,N,DB-ONLY,16,1,5,,엑셀 master 미요구이나 DB 5행 존재(외부 권위 적재/과적재 후보 — gap-board 참조)
sticker,t_prd_product_page_rules,N,N/A,16,0,0,,엑셀이 이 엔티티 요구 안 함
