family,entity,prds_in_family,prds_with_rows,total_rows
acrylic,t_prd_products,25,25,25
booklet,t_prd_products,10,10,10
calendar,t_prd_products,5,5,5
design-calendar,t_prd_products,5,5,5
digital-print,t_prd_products,36,36,36
goods-pouch,t_prd_products,98,98,98
photobook,t_prd_products,1,1,1
product-accessory,t_prd_products,15,15,15
silsa,t_prd_products,28,28,28
stationery,t_prd_products,11,11,11
sticker,t_prd_products,16,16,16
acrylic,t_prd_product_categories,25,25,25
booklet,t_prd_product_categories,10,10,11
calendar,t_prd_product_categories,5,5,5
design-calendar,t_prd_product_categories,5,5,5
digital-print,t_prd_product_categories,36,36,36
goods-pouch,t_prd_product_categories,98,98,98
photobook,t_prd_product_categories,1,1,1
product-accessory,t_prd_product_categories,15,15,16
silsa,t_prd_product_categories,28,28,28
stationery,t_prd_product_categories,11,11,12
sticker,t_prd_product_categories,16,16,16
acrylic,t_prd_product_sizes,25,23,77
booklet,t_prd_product_sizes,10,10,24
calendar,t_prd_product_sizes,5,5,14
design-calendar,t_prd_product_sizes,5,5,14
digital-print,t_prd_product_sizes,36,33,92
goods-pouch,t_prd_product_sizes,98,11,26
photobook,t_prd_product_sizes,1,1,4
product-accessory,t_prd_product_sizes,15,7,38
silsa,t_prd_product_sizes,28,28,84
stationery,t_prd_product_sizes,11,11,13
sticker,t_prd_product_sizes,16,16,76
acrylic,t_prd_product_materials,25,23,34
booklet,t_prd_product_materials,10,9,116
calendar,t_prd_product_materials,5,5,56
design-calendar,t_prd_product_materials,5,5,56
digital-print,t_prd_product_materials,36,35,248
goods-pouch,t_prd_product_materials,98,61,130
photobook,t_prd_product_materials,1,1,7
product-accessory,t_prd_product_materials,15,8,29
silsa,t_prd_product_materials,28,23,27
stationery,t_prd_product_materials,11,11,21
sticker,t_prd_product_materials,16,16,50
acrylic,t_prd_product_print_options,25,21,63
booklet,t_prd_product_print_options,10,10,18
calendar,t_prd_product_print_options,5,5,7
design-calendar,t_prd_product_print_options,5,5,7
digital-print,t_prd_product_print_options,36,32,53
goods-pouch,t_prd_product_print_options,98,0,0
photobook,t_prd_product_print_options,1,1,2
product-accessory,t_prd_product_print_options,15,0,0
silsa,t_prd_product_print_options,28,0,0
stationery,t_prd_product_print_options,11,7,8
sticker,t_prd_product_print_options,16,16,16
acrylic,t_prd_product_processes,25,14,16
booklet,t_prd_product_processes,10,9,49
calendar,t_prd_product_processes,5,5,6
design-calendar,t_prd_product_processes,5,5,6
digital-print,t_prd_product_processes,36,23,122
goods-pouch,t_prd_product_processes,98,6,6
photobook,t_prd_product_processes,1,1,1
product-accessory,t_prd_product_processes,15,0,0
silsa,t_prd_product_processes,28,17,28
stationery,t_prd_product_processes,11,9,16
sticker,t_prd_product_processes,16,14,17
acrylic,t_prd_product_plate_sizes,25,16,51
booklet,t_prd_product_plate_sizes,10,10,32
calendar,t_prd_product_plate_sizes,5,5,5
design-calendar,t_prd_product_plate_sizes,5,5,5
digital-print,t_prd_product_plate_sizes,36,36,45
goods-pouch,t_prd_product_plate_sizes,98,85,122
photobook,t_prd_product_plate_sizes,1,1,11
product-accessory,t_prd_product_plate_sizes,15,0,0
silsa,t_prd_product_plate_sizes,28,28,84
stationery,t_prd_product_plate_sizes,11,8,11
sticker,t_prd_product_plate_sizes,16,16,65
acrylic,t_prd_product_bundle_qtys,25,2,6
booklet,t_prd_product_bundle_qtys,10,1,2
calendar,t_prd_product_bundle_qtys,5,0,0
design-calendar,t_prd_product_bundle_qtys,5,0,0
digital-print,t_prd_product_bundle_qtys,36,0,0
goods-pouch,t_prd_product_bundle_qtys,98,1,2
photobook,t_prd_product_bundle_qtys,1,0,0
product-accessory,t_prd_product_bundle_qtys,15,7,11
silsa,t_prd_product_bundle_qtys,28,0,0
stationery,t_prd_product_bundle_qtys,11,1,2
sticker,t_prd_product_bundle_qtys,16,1,5
acrylic,t_prd_product_page_rules,25,0,0
booklet,t_prd_product_page_rules,10,9,9
calendar,t_prd_product_page_rules,5,0,0
design-calendar,t_prd_product_page_rules,5,0,0
digital-print,t_prd_product_page_rules,36,0,0
goods-pouch,t_prd_product_page_rules,98,0,0
photobook,t_prd_product_page_rules,1,1,1
product-accessory,t_prd_product_page_rules,15,0,0
silsa,t_prd_product_page_rules,28,0,0
stationery,t_prd_product_page_rules,11,2,2
sticker,t_prd_product_page_rules,16,0,0
acrylic,t_prd_product_sets,25,0,0
booklet,t_prd_product_sets,10,6,21
calendar,t_prd_product_sets,5,0,0
design-calendar,t_prd_product_sets,5,0,0
digital-print,t_prd_product_sets,36,0,0
goods-pouch,t_prd_product_sets,98,0,0
photobook,t_prd_product_sets,1,1,7
product-accessory,t_prd_product_sets,15,0,0
silsa,t_prd_product_sets,28,0,0
stationery,t_prd_product_sets,11,1,1
sticker,t_prd_product_sets,16,0,0
acrylic,t_prd_product_addons,25,0,0
booklet,t_prd_product_addons,10,0,0
calendar,t_prd_product_addons,5,0,0
design-calendar,t_prd_product_addons,5,0,0
digital-print,t_prd_product_addons,36,1,1
goods-pouch,t_prd_product_addons,98,0,0
photobook,t_prd_product_addons,1,0,0
product-accessory,t_prd_product_addons,15,0,0
silsa,t_prd_product_addons,28,0,0
stationery,t_prd_product_addons,11,0,0
sticker,t_prd_product_addons,16,0,0
acrylic,t_prd_product_option_groups,25,0,0
booklet,t_prd_product_option_groups,10,0,0
calendar,t_prd_product_option_groups,5,0,0
design-calendar,t_prd_product_option_groups,5,0,0
digital-print,t_prd_product_option_groups,36,0,0
goods-pouch,t_prd_product_option_groups,98,0,0
photobook,t_prd_product_option_groups,1,0,0
product-accessory,t_prd_product_option_groups,15,1,1
silsa,t_prd_product_option_groups,28,1,1
stationery,t_prd_product_option_groups,11,0,0
sticker,t_prd_product_option_groups,16,0,0
acrylic,t_prd_product_options,25,0,0
booklet,t_prd_product_options,10,0,0
calendar,t_prd_product_options,5,0,0
design-calendar,t_prd_product_options,5,0,0
digital-print,t_prd_product_options,36,0,0
goods-pouch,t_prd_product_options,98,0,0
photobook,t_prd_product_options,1,0,0
product-accessory,t_prd_product_options,15,1,2
silsa,t_prd_product_options,28,1,3
stationery,t_prd_product_options,11,0,0
sticker,t_prd_product_options,16,0,0
acrylic,t_prd_product_option_items,25,0,0
booklet,t_prd_product_option_items,10,0,0
calendar,t_prd_product_option_items,5,0,0
design-calendar,t_prd_product_option_items,5,0,0
digital-print,t_prd_product_option_items,36,0,0
goods-pouch,t_prd_product_option_items,98,0,0
photobook,t_prd_product_option_items,1,0,0
product-accessory,t_prd_product_option_items,15,0,0
silsa,t_prd_product_option_items,28,0,0
stationery,t_prd_product_option_items,11,0,0
sticker,t_prd_product_option_items,16,0,0
acrylic,t_prd_product_constraints,25,0,0
booklet,t_prd_product_constraints,10,0,0
calendar,t_prd_product_constraints,5,0,0
design-calendar,t_prd_product_constraints,5,0,0
digital-print,t_prd_product_constraints,36,1,1
goods-pouch,t_prd_product_constraints,98,0,0
photobook,t_prd_product_constraints,1,0,0
product-accessory,t_prd_product_constraints,15,1,3
silsa,t_prd_product_constraints,28,0,0
stationery,t_prd_product_constraints,11,0,0
sticker,t_prd_product_constraints,16,0,0
acrylic,t_prd_product_price_formulas,25,0,0
booklet,t_prd_product_price_formulas,10,6,6
calendar,t_prd_product_price_formulas,5,0,0
design-calendar,t_prd_product_price_formulas,5,0,0
digital-print,t_prd_product_price_formulas,36,26,26
goods-pouch,t_prd_product_price_formulas,98,0,0
photobook,t_prd_product_price_formulas,1,0,0
product-accessory,t_prd_product_price_formulas,15,0,0
silsa,t_prd_product_price_formulas,28,28,28
stationery,t_prd_product_price_formulas,11,1,1
sticker,t_prd_product_price_formulas,16,4,4
acrylic,t_prd_product_discount_tables,25,11,11
booklet,t_prd_product_discount_tables,10,0,0
calendar,t_prd_product_discount_tables,5,0,0
design-calendar,t_prd_product_discount_tables,5,0,0
digital-print,t_prd_product_discount_tables,36,0,0
goods-pouch,t_prd_product_discount_tables,98,81,81
photobook,t_prd_product_discount_tables,1,0,0
product-accessory,t_prd_product_discount_tables,15,0,0
silsa,t_prd_product_discount_tables,28,0,0
stationery,t_prd_product_discount_tables,11,6,6
sticker,t_prd_product_discount_tables,16,0,0
acrylic,t_prc_component_prices,25,0,0
booklet,t_prc_component_prices,10,6,378
calendar,t_prc_component_prices,5,0,0
design-calendar,t_prc_component_prices,5,0,0
digital-print,t_prc_component_prices,36,26,19402
goods-pouch,t_prc_component_prices,98,0,0
photobook,t_prc_component_prices,1,0,0
product-accessory,t_prc_component_prices,15,0,0
silsa,t_prc_component_prices,28,28,28
stationery,t_prc_component_prices,11,1,112
sticker,t_prc_component_prices,16,4,1144
acrylic,t_prd_templates,25,1,1
booklet,t_prd_templates,10,1,1
calendar,t_prd_templates,5,0,0
design-calendar,t_prd_templates,5,0,0
digital-print,t_prd_templates,36,2,2
goods-pouch,t_prd_templates,98,96,96
photobook,t_prd_templates,1,1,1
product-accessory,t_prd_templates,15,0,0
silsa,t_prd_templates,28,3,3
stationery,t_prd_templates,11,6,6
sticker,t_prd_templates,16,8,8
