prd_cd,siz_cd,dflt_yn,del_yn
PRD_000186,SIZ_000384,Y,N
PRD_000186,SIZ_000386,Y,N
PRD_000186,SIZ_000388,Y,N
PRD_000187,SIZ_000384,Y,N
PRD_000187,SIZ_000386,Y,N
PRD_000187,SIZ_000388,Y,N
PRD_000200,SIZ_000548,N,N
PRD_000200,SIZ_000549,N,N
PRD_000201,SIZ_000550,N,N
PRD_000201,SIZ_000551,N,N
PRD_000202,SIZ_000406,Y,N
PRD_000215,SIZ_000413,Y,N
PRD_000215,SIZ_000415,Y,N
PRD_000220,SIZ_000428,N,N
PRD_000230,SIZ_000433,Y,N
PRD_000230,SIZ_000434,N,N
PRD_000231,SIZ_000435,Y,N
PRD_000231,SIZ_000436,N,N
PRD_000232,SIZ_000437,Y,N
PRD_000232,SIZ_000438,N,N
PRD_000280,SIZ_000492,Y,N
PRD_000280,SIZ_000494,Y,N
PRD_000280,SIZ_000496,Y,N
