prd_cd,product_nm,spec_option,min_qty,unit_price,source_block,recovery
PRD_000131,프레임리스우드액자,A3,1,16000,B13,L1-clean
PRD_000131,프레임리스우드액자,A2,1,23000,B13,L1-clean
PRD_000131,프레임리스우드액자,A1,1,35000,B13,L1-clean
PRD_000132,레더아트액자,5x5,1,9000,B15,L1-clean
PRD_000132,레더아트액자,5x7,1,10000,B15,L1-clean
PRD_000132,레더아트액자,8x8,1,11000,B15,L1-clean
PRD_000132,레더아트액자,8x10,1,13000,B15,L1-clean
PRD_000132,레더아트액자,A4,1,16000,B15,L1-clean
PRD_000132,레더아트액자,A3,1,21000,B15,L1-clean
PRD_000135,족자포스터,A3,1,13000,B17,L1-clean
PRD_000135,족자포스터,A2,1,15000,B17,L1-clean
PRD_000135,족자포스터,A1,1,22000,B17,L1-clean
PRD_000135,족자포스터,300*600,1,15000,B17,L1-clean
PRD_000135,족자포스터,900*1200,1,32000,B17,L1-clean
PRD_000133,캔버스행잉포스터,A4,1,6000,B19,L1-clean
PRD_000133,캔버스행잉포스터,A3,1,10500,B19,L1-clean
PRD_000133,캔버스행잉포스터,A2,1,20000,B19,L1-clean
PRD_000134,린넨우드봉족자,A4,1,6000,B21,L1-clean
PRD_000134,린넨우드봉족자,A3,1,8200,B21,L1-clean
PRD_000134,린넨우드봉족자,A2,1,16000,B21,L1-clean
PRD_000136,PET배너,600x1800 mm,1,22000,B23,L1-clean
PRD_000137,메쉬배너,600x1800 mm,1,38000,B25,L1-clean
PRD_000144,미니보드스탠딩,A5,4,3500,B29,L1-clean
PRD_000144,미니보드스탠딩,A4,4,4500,B29,L1-clean
PRD_000144,미니보드스탠딩,A3,4,6500,B29,L1-clean
PRD_000144,미니보드스탠딩,A5,19,3400,B29,L1-clean
PRD_000144,미니보드스탠딩,A4,19,4300,B29,L1-clean
PRD_000144,미니보드스탠딩,A3,19,6200,B29,L1-clean
PRD_000144,미니보드스탠딩,A5,49,3300,B29,L1-clean
PRD_000144,미니보드스탠딩,A4,49,4200,B29,L1-clean
PRD_000144,미니보드스탠딩,A3,49,6100,B29,L1-clean
PRD_000144,미니보드스탠딩,A5,99,3100,B29,L1-clean
PRD_000144,미니보드스탠딩,A4,99,4000,B29,L1-clean
PRD_000144,미니보드스탠딩,A3,99,5900,B29,L1-clean
PRD_000144,미니보드스탠딩,A5,10000,2900,B29,L1-clean
PRD_000144,미니보드스탠딩,A4,10000,3800,B29,L1-clean
PRD_000144,미니보드스탠딩,A3,10000,5500,B29,L1-clean
PRD_000145,미니배너,150x300 mm,4,6500,B31,L1-clean
PRD_000145,미니배너,180x420 mm,4,6500,B31,L1-clean
PRD_000145,미니배너,150x300 mm,19,4900,B31,L1-clean
PRD_000145,미니배너,180x420 mm,19,4900,B31,L1-clean
PRD_000145,미니배너,150x300 mm,49,4200,B31,L1-clean
PRD_000145,미니배너,180x420 mm,49,4200,B31,L1-clean
PRD_000145,미니배너,150x300 mm,99,3500,B31,L1-clean
PRD_000145,미니배너,180x420 mm,99,3500,B31,L1-clean
PRD_000145,미니배너,150x300 mm,10000,2800,B31,L1-clean
PRD_000145,미니배너,180x420 mm,10000,2800,B31,L1-clean
PRD_000129,폼보드,A3/화이트,1,7000,B11(concat),L1-concat-recover
PRD_000129,폼보드,A3/검정(추가),1,8500,B11(concat),L1-concat-recover
PRD_000129,폼보드,A2/화이트,1,12000,B11(concat),L1-concat-recover
PRD_000129,폼보드,A2/검정(추가),1,14000,B11(concat),L1-concat-recover
PRD_000129,폼보드,A1/화이트,1,20000,B11(concat),L1-concat-recover
PRD_000129,폼보드,A1/검정(추가),1,24000,B11(concat),L1-concat-recover
PRD_000130,포맥스보드,A3/화이트,1,8500,B11(concat),L1-concat-recover
PRD_000130,포맥스보드,A3/검정(추가),1,10000,B11(concat),L1-concat-recover
PRD_000130,포맥스보드,A2/화이트,1,13000,B11(concat),L1-concat-recover
PRD_000130,포맥스보드,A2/검정(추가),1,16000,B11(concat),L1-concat-recover
PRD_000130,포맥스보드,A1/화이트,1,23000,B11(concat),L1-concat-recover
PRD_000130,포맥스보드,A1/검정(추가),1,30000,B11(concat),L1-concat-recover
PRD_000140,무광시트커팅,A4,1,6000,B27(raw r288),L1-raw-recover
PRD_000140,무광시트커팅,A3,1,11000,B27(raw r288),L1-raw-recover
PRD_000140,무광시트커팅,A2,1,32000,B27(raw r288),L1-raw-recover
PRD_000141,홀로그램 시트커팅,A4,1,8000,B27(raw r289),L1-raw-recover
PRD_000141,홀로그램 시트커팅,A3,1,16000,B27(raw r289),L1-raw-recover
PRD_000141,홀로그램 시트커팅,A2,1,32000,B27(raw r289),L1-raw-recover
PRD_000142,유광아크릴스티커,290 x 90 mm,1,9000,B27(raw r295),L1-raw-recover
PRD_000142,유광아크릴스티커,290 x 190 mm,1,14000,B27(raw r295),L1-raw-recover
PRD_000142,유광아크릴스티커,390 x 290 mm,1,32000,B27(raw r295),L1-raw-recover
PRD_000142,유광아크릴스티커,590 x 390 mm,1,37000,B27(raw r295),L1-raw-recover
PRD_000143,미러아크릴스티커,290 x 90 mm,1,11000,B27(raw r296),L1-raw-recover
PRD_000143,미러아크릴스티커,290 x 190 mm,1,18000,B27(raw r296),L1-raw-recover
PRD_000143,미러아크릴스티커,390 x 290 mm,1,29000,B27(raw r296),L1-raw-recover
PRD_000143,미러아크릴스티커,590 x 390 mm,1,50000,B27(raw r296),L1-raw-recover
