group,width_mm,height_mm,wxh,match_status,existing_siz_cd,products
POSTER,1200,1000,1200x1000,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;메쉬현수막;방수포스터;아트패브릭포스터;아트프린트포스터;일반현수막;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,1200,1200,1200x1200,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;메쉬현수막;방수포스터;아트패브릭포스터;아트프린트포스터;일반현수막;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,1200,1400,1200x1400,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;메쉬현수막;방수포스터;아트패브릭포스터;아트프린트포스터;일반현수막;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,1200,1600,1200x1600,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;메쉬현수막;방수포스터;아트패브릭포스터;아트프린트포스터;일반현수막;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,1200,1800,1200x1800,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;메쉬현수막;방수포스터;아트패브릭포스터;아트프린트포스터;일반현수막;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,1200,2000,1200x2000,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;메쉬현수막;방수포스터;아트패브릭포스터;아트프린트포스터;일반현수막;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,1200,2200,1200x2200,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;메쉬현수막;방수포스터;아트패브릭포스터;아트프린트포스터;일반현수막;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,1200,2400,1200x2400,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;메쉬현수막;방수포스터;아트패브릭포스터;아트프린트포스터;일반현수막;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,1200,2600,1200x2600,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;메쉬현수막;방수포스터;아트패브릭포스터;아트프린트포스터;일반현수막;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,1200,2800,1200x2800,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;메쉬현수막;방수포스터;아트패브릭포스터;아트프린트포스터;일반현수막;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,1200,3000,1200x3000,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;메쉬현수막;방수포스터;아트패브릭포스터;아트프린트포스터;일반현수막;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,1200,3500,1200x3500,NONE,,메쉬현수막;일반현수막
POSTER,1200,4000,1200x4000,NONE,,메쉬현수막;일반현수막
POSTER,1200,4500,1200x4500,NONE,,메쉬현수막;일반현수막
POSTER,1200,5000,1200x5000,NONE,,메쉬현수막;일반현수막
POSTER,1500,900,1500x900,NONE,,일반현수막
POSTER,1500,1000,1500x1000,EXACT,SIZ_000403,일반현수막
POSTER,1500,1200,1500x1200,NONE,,일반현수막
POSTER,1500,1400,1500x1400,NONE,,일반현수막
POSTER,1500,1600,1500x1600,NONE,,일반현수막
POSTER,1500,1800,1500x1800,NONE,,일반현수막
POSTER,1500,2000,1500x2000,NONE,,일반현수막
POSTER,1500,2200,1500x2200,NONE,,일반현수막
POSTER,1500,2400,1500x2400,NONE,,일반현수막
POSTER,1500,2600,1500x2600,NONE,,일반현수막
POSTER,1500,2800,1500x2800,NONE,,일반현수막
POSTER,1500,3000,1500x3000,NONE,,일반현수막
POSTER,1500,3500,1500x3500,NONE,,일반현수막
POSTER,1500,4000,1500x4000,NONE,,일반현수막
POSTER,1500,4500,1500x4500,NONE,,일반현수막
POSTER,1500,5000,1500x5000,NONE,,일반현수막
POSTER,1750,900,1750x900,NONE,,일반현수막
POSTER,1750,1000,1750x1000,NONE,,일반현수막
POSTER,1750,1200,1750x1200,NONE,,일반현수막
POSTER,1750,1400,1750x1400,NONE,,일반현수막
POSTER,1750,1600,1750x1600,NONE,,일반현수막
POSTER,1750,1800,1750x1800,NONE,,일반현수막
POSTER,1750,2000,1750x2000,NONE,,일반현수막
POSTER,1750,2200,1750x2200,NONE,,일반현수막
POSTER,1750,2400,1750x2400,NONE,,일반현수막
POSTER,1750,2600,1750x2600,NONE,,일반현수막
POSTER,1750,2800,1750x2800,NONE,,일반현수막
POSTER,1750,3000,1750x3000,NONE,,일반현수막
POSTER,1750,3500,1750x3500,NONE,,일반현수막
POSTER,1750,4000,1750x4000,NONE,,일반현수막
POSTER,1750,4500,1750x4500,NONE,,일반현수막
POSTER,1750,5000,1750x5000,NONE,,일반현수막
