group,width_mm,height_mm,wxh,match_status,existing_siz_cd,products
ACRYL,70,20,70x20,NONE,,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,70,30,70x30,REVERSED,SIZ_000332,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,70,40,70x40,NONE,,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,70,50,70x50,EXACT,SIZ_000062,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,70,60,70x60,EXACT,SIZ_000344,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,70,70,70x70,EXACT,SIZ_000211,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,70,80,70x80,NONE,,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,70,90,70x90,REVERSED,SIZ_000247,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,70,100,70x100,EXACT,SIZ_000102,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,70,120,70x120,EXACT,SIZ_000266,투명아크릴3T
ACRYL,70,140,70x140,NONE,,투명아크릴3T
ACRYL,70,160,70x160,NONE,,투명아크릴3T
ACRYL,70,180,70x180,NONE,,투명아크릴3T
ACRYL,70,200,70x200,EXACT,SIZ_000078,투명아크릴3T
ACRYL,80,20,80x20,NONE,,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,80,30,80x30,EXACT,SIZ_000350,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,80,40,80x40,REVERSED,SIZ_000047,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,80,50,80x50,EXACT,SIZ_000497,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,80,60,80x60,REVERSED,SIZ_000371,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,80,70,80x70,NONE,,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,80,80,80x80,EXACT,SIZ_000043,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,80,90,80x90,REVERSED,SIZ_000249,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,80,100,80x100,EXACT,SIZ_000079,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,80,120,80x120,EXACT,SIZ_000080,투명아크릴3T
