source_sheet,gubun,product_id,mes_item_cd,product_name,classification
굿즈파우치(가격포함),패브릭파우치,14689,,광목 스트링 라벨파우치,FABRIC
굿즈파우치(가격포함),패브릭파우치,14686,,린넨 스트링 파우치,FABRIC
굿즈파우치(가격포함),타이벡파우치,14681,,타이벡 플랫 파우치,FABRIC
굿즈파우치(가격포함),타이벡파우치,14682,,타이벡 슬림 파우치,FABRIC
굿즈파우치(가격포함),타이벡파우치,14683,,타이벡 삼각 파우치,FABRIC
굿즈파우치(가격포함),타이벡파우치,14684,,타이벡 스트링 파우치,FABRIC
굿즈파우치(가격포함),타이벡파우치,14685,,타이벡 플랫 클러치,FABRIC
굿즈파우치(가격포함),메쉬파우치,14687,,메쉬슬림파우치,FABRIC
굿즈파우치(가격포함),메쉬파우치,14688,,메쉬볼륨파우치,FABRIC
굿즈파우치(가격포함),미니파우치,14690,,레더 플랫 미니파우치,FABRIC
굿즈파우치(가격포함),미니파우치,14691,,레더 슬림 미니파우치,FABRIC
굿즈파우치(가격포함),미니파우치,14692,,레더 삼각 미니파우치,FABRIC
굿즈파우치(가격포함),미니파우치,14693,,레더 볼륨 미니파우치,FABRIC
굿즈파우치(가격포함),미니파우치,14694,,레더 원형 미니파우치,FABRIC
굿즈파우치(가격포함),필통,14695,,레더 플랫 필통,FABRIC
굿즈파우치(가격포함),필통,14696,,레더 슬림 필통,FABRIC
굿즈파우치(가격포함),필통,14697,,레더 삼각 필통,FABRIC
굿즈파우치(가격포함),필통,14698,,레더 볼륨 필통,FABRIC
굿즈파우치(가격포함),필통,14699,,레더 원형 필통,FABRIC
굿즈파우치(가격포함),필통,14790,,캔버스 플랫 필통,FABRIC
굿즈파우치(가격포함),필통,14792,,캔버스 삼각 필통,FABRIC
굿즈파우치(가격포함),레더에코백,14703,,레더토트백,FABRIC
굿즈파우치(가격포함),레더에코백,14704,,레더숄더백,FABRIC
굿즈파우치(가격포함),패브릭에코백,14700,,린넨 미니에코백,FABRIC
굿즈파우치(가격포함),패브릭에코백,14702,,린넨 토트백,FABRIC
굿즈파우치(가격포함),패브릭에코백,14701,,린넨 에코백,FABRIC
굿즈파우치(가격포함),패브릭에코백,14843,,캔버스심플백,FABRIC
굿즈파우치(가격포함),패브릭에코백,14844,,캔버스 포켓심플백,FABRIC
굿즈파우치(가격포함),패브릭에코백,14706,,캔버스에코백,FABRIC
굿즈파우치(가격포함),패브릭에코백,14849,,캔버스숄더백,FABRIC
굿즈파우치(가격포함),패브릭에코백,14845,,캔버스 포켓숄더백,FABRIC
굿즈파우치(가격포함),타이벡에코백,14712,,타이벡 양면 백팩,FABRIC
굿즈파우치(가격포함),타이벡에코백,14711,,타이벡보냉보틀백,FABRIC
굿즈파우치(가격포함),타이벡에코백,14710,,타이벡 보냉 미니백,FABRIC
굿즈파우치(가격포함),타이벡에코백,14708,,타이벡 에코백,FABRIC
굿즈파우치(가격포함),타이벡에코백,14709,,타이벡 보냉에코백,FABRIC
굿즈파우치(가격포함),메쉬에코백,14714,,메쉬 토트백,FABRIC
굿즈파우치(가격포함),메쉬에코백,14713,,메쉬 에코백,FABRIC
굿즈파우치(가격포함),에코백부자재,14715,,레더라벨제작,ACCESSORY_EXCLUDED
굿즈파우치(가격포함),폰케이스,,,슬림하드 폰케이스,OTHER
굿즈파우치(가격포함),폰케이스,,,블랙젤리,OTHER
굿즈파우치(가격포함),폰케이스,,,임팩트 젤하드,OTHER
굿즈파우치(가격포함),폰케이스,,,에어팟케이스★,OTHER
굿즈파우치(가격포함),폰케이스,,,버즈케이스★,OTHER
