source_sheet,gubun,product_id,mes_item_cd,product_name,classification
굿즈파우치(가격포함),소품,14637,,틴거울,OTHER
굿즈파우치(가격포함),소품,14638,,컴팩트거울,OTHER
굿즈파우치(가격포함),소품,14639,,카드거울,OTHER
굿즈파우치(가격포함),소품,14640,,사각손거울,OTHER
굿즈파우치(가격포함),소품,14641,,블랙사각손거울,OTHER
굿즈파우치(가격포함),라이프,14643,,레더코스터,OTHER
굿즈파우치(가격포함),라이프,14644,,코르크코스터,OTHER
굿즈파우치(가격포함),라이프,14645,,우드코스터,OTHER
굿즈파우치(가격포함),라이프,14774,,린넨패브릭코스터,OTHER
굿즈파우치(가격포함),라이프,14646,,규조토코스터,OTHER
굿즈파우치(가격포함),라이프,14642,,머그컵,OTHER
굿즈파우치(가격포함),라이프,14647,,워터북보틀,OTHER
굿즈파우치(가격포함),라이프,14649,,벨벳쿠션,OTHER
굿즈파우치(가격포함),여행/아웃도어,14651,,레더여권케이스,OTHER
굿즈파우치(가격포함),여행/아웃도어,14653,,미니매트,OTHER
굿즈파우치(가격포함),여행/아웃도어,14654,,피크닉매트,OTHER
굿즈파우치(가격포함),여행/아웃도어,,,투명부채,OTHER
굿즈파우치(가격포함),기념품/액세서리,14655,,핀버튼,OTHER
굿즈파우치(가격포함),기념품/액세서리,14656,,레더스트랩키링,OTHER
굿즈파우치(가격포함),기념품/액세서리,,,키캡키링,OTHER
굿즈파우치(가격포함),기념품/액세서리,,,LED투명키캡키링,OTHER
굿즈파우치(가격포함),기념품/액세서리,,,미니CD앨범,OTHER
굿즈파우치(가격포함),패션,14660,,양말,OTHER
굿즈파우치(가격포함),패션,14661,,반팔티셔츠,OTHER
굿즈파우치(가격포함),패션,,,극세사타월,OTHER
굿즈파우치(가격포함),패션,,,슬로건,OTHER
굿즈파우치(가격포함),패션,14662,,후드티셔츠,OTHER
굿즈파우치(가격포함),데스크/사무용품,14622,,초슬림마우스패드,OTHER
굿즈파우치(가격포함),데스크/사무용품,14770,,장패드,OTHER
굿즈파우치(가격포함),데스크/사무용품,14648,,극세사클리너,OTHER
굿즈파우치(가격포함),데스크/사무용품,14623,,틴케이스,OTHER
굿즈파우치(가격포함),데스크/사무용품,14620,,자석북마크,OTHER
굿즈파우치(가격포함),데스크/사무용품,14617,,클립보드,OTHER
굿즈파우치(가격포함),데스크/사무용품,14618,,투명클립보드,OTHER
굿즈파우치(가격포함),데스크/사무용품,14619,,만년스탬프,OTHER
굿즈파우치(가격포함),데스크/사무용품,,,타이벡북커버,OTHER
굿즈파우치(가격포함),디지털악세서리,14666,,밴드톡,OTHER
굿즈파우치(가격포함),디지털악세서리,14667,,폰스트랩,OTHER
굿즈파우치(가격포함),말랑(PVC고주파),22522,,말랑키링,OTHER
굿즈파우치(가격포함),말랑(PVC고주파),,,말랑증사홀더,OTHER
굿즈파우치(가격포함),말랑(PVC고주파),22607,,말랑포카홀더,OTHER
굿즈파우치(가격포함),말랑(PVC고주파),22614,,말랑네임택,OTHER
굿즈파우치(가격포함),말랑(PVC고주파),22621,,말랑여권케이스,OTHER
굿즈파우치(가격포함),말랑(PVC고주파),,,아크릴쉐이커코롯토,OTHER
굿즈파우치(가격포함),말랑(PVC고주파),,,미니우치와키링,OTHER
굿즈파우치(가격포함),말랑(PVC고주파),,,하트 이미지피켓,OTHER
굿즈파우치(가격포함),말랑(PVC고주파),,,이미지피켓,OTHER
굿즈파우치(가격포함),레더파우치,14671,,레더 플랫 파우치,FABRIC
굿즈파우치(가격포함),레더파우치,14672,,레더 슬림 파우치,FABRIC
굿즈파우치(가격포함),레더파우치,14673,,레더 삼각 파우치,FABRIC
굿즈파우치(가격포함),레더파우치,14674,,레더 볼륨 파우치,FABRIC
굿즈파우치(가격포함),레더파우치,14675,,레더 스트링 파우치,FABRIC
굿즈파우치(가격포함),레더파우치,14676,,레더 스트링 원형파우치,FABRIC
굿즈파우치(가격포함),레더파우치,14677,,레더 플랫 클러치,FABRIC
굿즈파우치(가격포함),레더파우치,14678,,레더 삼각 클러치,FABRIC
굿즈파우치(가격포함),레더파우치,14679,,레더 아이패드/노트북 파우치,FABRIC
굿즈파우치(가격포함),패브릭파우치,14786,,캔버스 플랫 파우치,FABRIC
굿즈파우치(가격포함),패브릭파우치,14788,,캔버스 삼각 파우치,FABRIC
굿즈파우치(가격포함),패브릭파우치,14680,,캔버스 스트랩 라벨파우치,FABRIC
