상품,사이즈,엔진판수,권위판수,현재가,교정가,갭,%,방향
투명엽서,98x98,12,8,21000,31500,10500,50.0,▲저청구
투명엽서,100x150,9,6,29400,42000,12600,42.9,▲저청구
투명엽서,135x135,6,4,39000,58500,19500,50.0,▲저청구
코팅엽서,73x98,18,15,9644,11022,1378,14.3,▲저청구
코팅엽서,98x98,12,12,10778,10778,0,0.0,일치
코팅엽서,100x150,9,8,15089,16167,1078,7.1,▲저청구
코팅엽서,135x135,6,6,18555,18555,0,0.0,일치
코팅엽서,95x210,6,6,18555,18555,0,0.0,일치
코팅엽서,110x170,4,4,24833,24833,0,0.0,일치
코팅엽서,148x210,4,4,24833,24833,0,0.0,일치
스탠다드엽서,73x98,18,15,9594,10965,1371,14.3,▲저청구
스탠다드엽서,98x98,12,12,10706,10706,0,-0.0,일치
스탠다드엽서,100x150,9,8,14989,16060,1071,7.1,▲저청구
스탠다드엽서,135x135,6,6,18413,18413,0,0.0,일치
스탠다드엽서,148x210,4,6,24619,16413,-8206,-33.3,▼과청구
프리미엄엽서,73x98,18,15,9594,10965,1371,14.3,▲저청구
프리미엄엽서,98x98,12,12,10706,10706,0,-0.0,일치
프리미엄엽서,100x150,9,8,14989,16060,1071,7.1,▲저청구
프리미엄엽서,135x135,6,6,18413,18413,0,0.0,일치
프리미엄엽서,95x210,6,6,18413,18413,0,0.0,일치
프리미엄엽서,110x170,4,4,24619,24619,0,0.0,일치
프리미엄엽서,148x210,4,4,24619,24619,0,0.0,일치
2단접지카드,100x150,9,8,23389,25060,1671,7.1,▲저청구
2단접지카드,150x100,9,8,23389,25060,1671,7.1,▲저청구
2단접지카드,135x135,6,8,35413,26560,-8853,-25.0,▼과청구
2단접지카드,110x170,4,8,47119,23559,-23560,-50.0,▼과청구
2단접지카드,170x110,2,10,64238,12847,-51391,-80.0,▼과청구
