paper_name,pyung,mat_cd,mat_match_kind,matched_mat_nm,price_g4,price_g3,status_g4,status_g3
백색모조지 100g,100,MAT_000072,reuse(live-bound),백색모조지 100g,30.73,,already_loaded,
백색모조지 120g,120,MAT_000073,reuse(live-bound),백색모조지 120g,36.875,,already_loaded,
백색모조지 220g,220,MAT_000074,reuse(live-bound),백색모조지 220g,70.64,,already_loaded,
아트지 100g,100,MAT_000076,reuse(live-bound),아트지 100g,30.565,,already_loaded,
아트지 120g,120,MAT_000077,reuse(live-bound),아트지 120g,36.675,,already_loaded,
아트지 150g,150,MAT_000078,reuse(live-bound),아트지 150g,46.65,,already_loaded,
아트지 180g,180,MAT_000079,reuse(live-bound),아트지 180g,55.98,,already_loaded,
아트지 200g,200,MAT_000080,reuse(live-bound),아트지 200g,62.195,,already_loaded,
아트지 250g,250,MAT_000081,reuse(live-bound),아트지 250g,77.745,,already_loaded,
아트지 300g,300,MAT_000082,reuse(live-bound),아트지 300g,93.3,,already_loaded,
스노우지 100g,100,MAT_000086,reuse(live-bound),스노우지 100g,30.565,,already_loaded,
스노우지 120g,120,MAT_000087,reuse(live-bound),스노우지 120g,36.675,,already_loaded,
스노우지 150g,150,MAT_000088,reuse(live-bound),스노우지 150g,46.65,,already_loaded,
스노우지 180g,180,MAT_000089,reuse(live-bound),스노우지 180g,55.98,,already_loaded,
스노우지 200g,200,MAT_000090,reuse(live-bound),스노우지 200g,62.195,,already_loaded,
스노우지 250g,250,MAT_000091,reuse(live-bound),스노우지 250g,77.745,,already_loaded,
스노우지 300g,300,MAT_000092,reuse(live-bound),스노우지 300g,93.3,,already_loaded,
앙상블 100g,100,MAT_000095,reuse(live-bound),앙상블 100g,54.865,,already_loaded,
앙상블 130g,130,MAT_000096,reuse(live-bound),앙상블 130g,71.33,,already_loaded,
앙상블 160g,160,MAT_000097,reuse(live-bound),앙상블 160g,87.795,,already_loaded,
앙상블 190g,190,MAT_000098,reuse(live-bound),앙상블 190g,104.24,,already_loaded,
앙상블 210g,210,MAT_000099,reuse(live-bound),앙상블 210g,115.23,,already_loaded,
랑데뷰 WH 240g,240,MAT_000101,reuse(live-bound),랑데뷰 WH 240g,71.33,,already_loaded,
랑데뷰 WH 310g,310,MAT_000102,reuse(live-bound),랑데뷰 WH 310g,87.795,,already_loaded,
몽블랑 100g,100,MAT_000104,reuse(live-bound),몽블랑 100g,59.25,,already_loaded,
몽블랑 130g,130,MAT_000105,reuse(live-bound),몽블랑 130g,77.025,,already_loaded,
몽블랑 160g,160,MAT_000106,reuse(live-bound),몽블랑 160g,94.8,,already_loaded,
몽블랑 190g,190,MAT_000107,reuse(live-bound),몽블랑 190g,112.575,,already_loaded,
몽블랑 210g,210,MAT_000108,reuse(live-bound),몽블랑 210g,124.425,,already_loaded,
몽블랑 240g,240,MAT_000109,reuse(live-bound),몽블랑 240g,142.2,,already_loaded,
아코팩(웜화이트) 250g,250,MAT_000113,reuse(live-bound),아코팩,126,,already_loaded,
리사이클러스 240g,240,MAT_000114,reuse(live-bound),리사이클러스,152.5,,already_loaded,
매쉬멜로우 233g,233,MAT_000115,reuse(live-bound),매쉬멜로우,167.75,,already_loaded,
린넨커버 216g,216,MAT_000116,reuse(live-bound),린넨커버,295,,already_loaded,
스타화이트(하이테크) 238g,238,MAT_000117,reuse(live-bound),스타화이트,337.5,,already_loaded,
클래식 크래스트 스티플 270g,270,MAT_000118,reuse(live-bound),클래식 크래스트,480,,already_loaded,
리브스디자인 250g,250,MAT_000119,reuse(live-bound),리브스디자인 250g,500,,already_loaded,
매직터치(백색) 250g,250,MAT_000120,reuse(live-bound),매직터치,226.864,,already_loaded,
켄도 250g,250,MAT_000121,reuse(live-bound),켄도,244,,already_loaded,
띤또레또 200g,200,MAT_000123,reuse(live-bound),띤또레또 200g,245,,already_loaded,
띤또레또 250g,250,MAT_000124,reuse(live-bound),띤또레또 250g,306,,already_loaded,
한지 170g,170,MAT_000125,reuse(live-bound),한지,330,,already_loaded,
스코트랜드 220g,220,MAT_000126,reuse(live-bound),스코트랜드,380,,already_loaded,
스타드림(다이아몬드) 240g,240,MAT_000127,reuse(live-bound),스타드림,407.5,,already_loaded,
스타드림(실버) 240g,240,MAT_000128,reuse(live-bound),면끈,425,,already_loaded,
스타드림(골드) 240g,240,MAT_000129,reuse(live-bound),아크릴키링고리,435,,already_loaded,
스타드림(로즈쿼츠) 240g,240,MAT_000130,reuse(live-bound),네오디움자석,524,,already_loaded,
아트지 150g (3절),150,MAT_000083,reuse(3절-dedicated),아트지 150g (3절),,89.54,,to_insert(confirm-3절)
스노우지 250g (3절),250,MAT_000093,reuse(3절-dedicated),스노우지 250g (3절),,149.22,,to_insert(confirm-3절)
몽블랑 130g (3절),130,MAT_000110,reuse(3절-dedicated),몽블랑 130g (3절),,147.84,,to_insert(confirm-3절)
몽블랑 190g (3절),190,MAT_000111,reuse(3절-dedicated),몽블랑 190g (3절),,216.08,,to_insert(confirm-3절)
몽블랑 240g (3절),240,MAT_000112,reuse(3절-dedicated),몽블랑 240g (3절),,272.9466667,,to_insert(confirm-3절)
뉴에코블랙 400g,400,MAT_000136,reuse(live-bound),뉴에코블랙,314,,already_loaded,
큐리어스스킨 화이트 270g,270,MAT_000137,reuse(live-bound),큐리어스스킨,880,,already_loaded,
큐리어스스킨 레드 270g,270,MAT_000138,reuse(live-bound),젤리볼펜(가칭),1242.5,,already_loaded,
큐리어스스킨 다크블루 270g,270,MAT_000139,reuse(live-bound),지비츠부속,1242.5,,already_loaded,
큐리어스스킨 바이올렛 270g,270,MAT_000140,reuse(live-bound),만년다이어리내지,1242.5,,already_loaded,
큐리어스스킨 블랙 270g,270,MAT_000141,reuse(live-bound),미니배너 거치대,1242.5,,already_loaded,
유니크라프트 260g,260,MAT_000142,reuse(live-bound),유니크라프트,100,,already_loaded,
투명 PET 260g,260,MAT_000144,reuse,투명 PET 260g,1100,,to_insert,
투명 PET 350g,350,MAT_000145,reuse,투명 PET 350g,1300,,to_insert,
반투명 PET 260g,260,MAT_000147,reuse,반투명 PET 260g,1100,,to_insert,
반투명 PET 350g,350,MAT_000148,reuse,반투명 PET 350g,1300,,to_insert,
아이보리,300,MAT_000149,reuse(live-bound),아이보리,153,,already_loaded,
백색모조지,220,MAT_000071,reuse,백색모조지,136,,to_insert,
뉴크라프트,250,MAT_000150,reuse,뉴크라프트,105,,already_loaded,
팬시크라프트,120,MAT_000151,reuse,팬시크라프트,72,,already_loaded,
유포스티커,80,MAT_000153,reuse,유포스티커,219,,to_insert,
비코팅스티커,90,MAT_000084,reuse,비코팅스티커,152,,to_insert,
무광코팅스티커,90,MAT_000155,reuse,무광코팅스티커,217,,to_insert,
