verdict,deunggeup,clr,plt_grade,side,min_qty,auth_value,live_value,comp_cd,src_ref,comp_price_id
match,칼라(4도),칼라,3절,양면,9,1900,1900,COMP_PRINT_DIGITAL_S1,E72,38787
match,칼라(4도),칼라,3절,양면,10,1600,1600,COMP_PRINT_DIGITAL_S1,E73,38788
match,칼라(4도),칼라,3절,양면,15,2430,2430,COMP_PRINT_DIGITAL_S1,E74,38790
match,칼라(4도),칼라,3절,양면,20,2300,2300,COMP_PRINT_DIGITAL_S1,E75,38793
match,칼라(4도),칼라,3절,양면,25,2200,2200,COMP_PRINT_DIGITAL_S1,E76,38795
match,칼라(4도),칼라,3절,양면,30,2030,2030,COMP_PRINT_DIGITAL_S1,E77,38796
match,칼라(4도),칼라,3절,양면,35,1890,1890,COMP_PRINT_DIGITAL_S1,E78,38799
match,칼라(4도),칼라,3절,양면,40,1760,1760,COMP_PRINT_DIGITAL_S1,E79,38801
match,칼라(4도),칼라,3절,양면,45,1620,1620,COMP_PRINT_DIGITAL_S1,E80,38802
match,칼라(4도),칼라,3절,양면,50,1490,1490,COMP_PRINT_DIGITAL_S1,E81,38805
match,칼라(4도),칼라,3절,양면,60,1350,1350,COMP_PRINT_DIGITAL_S1,E82,38807
match,칼라(4도),칼라,3절,양면,70,1200,1200,COMP_PRINT_DIGITAL_S1,E83,38809
match,칼라(4도),칼라,3절,양면,80,1080,1080,COMP_PRINT_DIGITAL_S1,E84,38810
match,칼라(4도),칼라,3절,양면,90,950,950,COMP_PRINT_DIGITAL_S1,E85,38812
match,칼라(4도),칼라,3절,양면,100,950,950,COMP_PRINT_DIGITAL_S1,E86,38814
match,칼라(4도),칼라,3절,양면,150,890,890,COMP_PRINT_DIGITAL_S1,E87,38817
match,칼라(4도),칼라,3절,양면,200,840,840,COMP_PRINT_DIGITAL_S1,E88,38819
match,칼라(4도),칼라,3절,양면,250,780,780,COMP_PRINT_DIGITAL_S1,E89,38821
match,칼라(4도),칼라,3절,양면,300,730,730,COMP_PRINT_DIGITAL_S1,E90,38822
match,칼라(4도),칼라,3절,양면,350,680,680,COMP_PRINT_DIGITAL_S1,E91,38825
match,칼라(4도),칼라,3절,양면,400,620,620,COMP_PRINT_DIGITAL_S1,E92,38826
match,칼라(4도),칼라,3절,양면,450,560,560,COMP_PRINT_DIGITAL_S1,E93,38828
match,칼라(4도),칼라,3절,양면,500,520,520,COMP_PRINT_DIGITAL_S1,E94,38831
match,칼라(4도),칼라,3절,양면,600,500,500,COMP_PRINT_DIGITAL_S1,E95,38832
match,칼라(4도),칼라,3절,양면,700,490,490,COMP_PRINT_DIGITAL_S1,E96,38834
match,칼라(4도),칼라,3절,양면,800,480,480,COMP_PRINT_DIGITAL_S1,E97,38837
match,칼라(4도),칼라,3절,양면,900,460,460,COMP_PRINT_DIGITAL_S1,E98,38839
match,칼라(4도),칼라,3절,양면,1000,450,450,COMP_PRINT_DIGITAL_S1,E99,38841
match,칼라(4도),칼라,3절,양면,1200,440,440,COMP_PRINT_DIGITAL_S1,E100,38843
match,칼라(4도),칼라,3절,양면,1400,440,440,COMP_PRINT_DIGITAL_S1,E101,38845
match,칼라(4도),칼라,3절,양면,1600,430,430,COMP_PRINT_DIGITAL_S1,E102,38846
match,칼라(4도),칼라,3절,양면,1800,420,420,COMP_PRINT_DIGITAL_S1,E103,38848
match,칼라(4도),칼라,3절,양면,2000,420,420,COMP_PRINT_DIGITAL_S1,E104,38851
match,칼라(4도),칼라,3절,양면,2500,420,420,COMP_PRINT_DIGITAL_S1,E105,38853
match,칼라(4도),칼라,3절,양면,3000,410,410,COMP_PRINT_DIGITAL_S1,E106,38854
match,칼라(4도),칼라,3절,양면,3500,410,410,COMP_PRINT_DIGITAL_S1,E107,38856
match,칼라(4도),칼라,3절,양면,4000,410,410,COMP_PRINT_DIGITAL_S1,E108,38858
match,칼라(4도),칼라,3절,양면,4500,400,400,COMP_PRINT_DIGITAL_S1,E109,38861
match,칼라(4도),칼라,3절,양면,5000,400,400,COMP_PRINT_DIGITAL_S1,E110,38863
match,칼라(4도),칼라,3절,양면,6000,400,400,COMP_PRINT_DIGITAL_S1,E111,38864
match,칼라(4도),칼라,3절,양면,7000,400,400,COMP_PRINT_DIGITAL_S1,E112,38866
match,칼라(4도),칼라,3절,양면,8000,400,400,COMP_PRINT_DIGITAL_S1,E113,38868
match,칼라(4도),칼라,3절,양면,9000,390,390,COMP_PRINT_DIGITAL_S1,E114,38870
match,칼라(4도),칼라,3절,양면,10000,390,390,COMP_PRINT_DIGITAL_S1,E115,38873
match,칼라(4도),칼라,3절,양면,1000000,390,390,COMP_PRINT_DIGITAL_S1,E116,38874
match,흑백(1도),흑백,3절,단면,1,3500,3500,COMP_PRINT_DIGITAL_S1,B64,40950
match,흑백(1도),흑백,3절,단면,2,2500,2500,COMP_PRINT_DIGITAL_S1,B65,40951
match,흑백(1도),흑백,3절,단면,3,2000,2000,COMP_PRINT_DIGITAL_S1,B66,40952
match,흑백(1도),흑백,3절,단면,4,1800,1800,COMP_PRINT_DIGITAL_S1,B67,40953
match,흑백(1도),흑백,3절,단면,5,1200,1200,COMP_PRINT_DIGITAL_S1,B68,40954
match,흑백(1도),흑백,3절,단면,6,900,900,COMP_PRINT_DIGITAL_S1,B69,40955
match,흑백(1도),흑백,3절,단면,7,800,800,COMP_PRINT_DIGITAL_S1,B70,40956
match,흑백(1도),흑백,3절,단면,8,700,700,COMP_PRINT_DIGITAL_S1,B71,40957
match,흑백(1도),흑백,3절,단면,9,600,600,COMP_PRINT_DIGITAL_S1,B72,40958
match,흑백(1도),흑백,3절,단면,10,500,500,COMP_PRINT_DIGITAL_S1,B73,40959
match,흑백(1도),흑백,3절,단면,15,610,610,COMP_PRINT_DIGITAL_S1,B74,40960
match,흑백(1도),흑백,3절,단면,20,540,540,COMP_PRINT_DIGITAL_S1,B75,40961
match,흑백(1도),흑백,3절,단면,25,470,470,COMP_PRINT_DIGITAL_S1,B76,40962
match,흑백(1도),흑백,3절,단면,30,410,410,COMP_PRINT_DIGITAL_S1,B77,40963
match,흑백(1도),흑백,3절,단면,35,380,380,COMP_PRINT_DIGITAL_S1,B78,40964
match,흑백(1도),흑백,3절,단면,40,340,340,COMP_PRINT_DIGITAL_S1,B79,40965
match,흑백(1도),흑백,3절,단면,45,340,340,COMP_PRINT_DIGITAL_S1,B80,40966
match,흑백(1도),흑백,3절,단면,50,340,340,COMP_PRINT_DIGITAL_S1,B81,40967
match,흑백(1도),흑백,3절,단면,60,270,270,COMP_PRINT_DIGITAL_S1,B82,40968
match,흑백(1도),흑백,3절,단면,70,270,270,COMP_PRINT_DIGITAL_S1,B83,40969
match,흑백(1도),흑백,3절,단면,80,270,270,COMP_PRINT_DIGITAL_S1,B84,40970
match,흑백(1도),흑백,3절,단면,90,270,270,COMP_PRINT_DIGITAL_S1,B85,40971
match,흑백(1도),흑백,3절,단면,100,270,270,COMP_PRINT_DIGITAL_S1,B86,40972
match,흑백(1도),흑백,3절,단면,150,190,190,COMP_PRINT_DIGITAL_S1,B87,40973
match,흑백(1도),흑백,3절,단면,200,180,180,COMP_PRINT_DIGITAL_S1,B88,40974
match,흑백(1도),흑백,3절,단면,250,160,160,COMP_PRINT_DIGITAL_S1,B89,40975
match,흑백(1도),흑백,3절,단면,300,150,150,COMP_PRINT_DIGITAL_S1,B90,40976
