opt_nm,prod,cut,work_sheet,plate_cd,siz_cd,live_work,basis,pansu_auth,engine_pansu,decision
75 x 110 mm,스티커팩,75 x 110,75x110,,SIZ_000068,75.00x110.00,OK,16,,LOAD_ENG0
220 x 145 mm,탁상형캘린더,220 x 145,224x149,SIZ_000499,SIZ_000069,224.00x149.00,OK,4,4,NOCHANGE
130 x 220 mm,탁상형캘린더,130 x 220,134x224,SIZ_000499,SIZ_000070,134.00x224.00,OK,4,4,NOCHANGE
90 x 100 mm,미니탁상형캘린더,90 x 100,94x104,SIZ_000499,SIZ_000527,92.00x104.00,MISMATCH,12,12,HOLD_BASIS
90 x 100 mm,미니탁상형캘린더,90 x 100,94x104,SIZ_000499,SIZ_000018,92.00x102.00,MISMATCH,12,12,HOLD_BASIS
148 x 60 mm,미니탁상형캘린더,148 x 60,152x64,SIZ_000499,SIZ_000071,152.00x64.00,OK,12,14,LOAD(14->12)
145 x 145 mm,엽서캘린더,145 x 145,149x149,SIZ_000499,SIZ_000072,149.00x149.00,OK,6,6,NOCHANGE
220 x 130 mm,엽서캘린더,220 x 130,224x134,SIZ_000499,SIZ_000073,224.00x134.00,OK,4,4,NOCHANGE
148 x 210 mm,엽서캘린더,148 x 210,152x214,SIZ_000499,SIZ_000007,150.00x212.00,MISMATCH,4,4,HOLD_BASIS
148 x 210 mm,엽서캘린더,148 x 210,152x214,SIZ_000499,SIZ_000426,148.00x210.00,MISMATCH,4,4,HOLD_BASIS
145 x 300 mm,엽서캘린더,145 x 300,149x304,SIZ_000499,SIZ_000074,149.00x304.00,OK,3,3,NOCHANGE
210 x 297 mm,벽결이캘린더,210 x 297,214x301,SIZ_000499,SIZ_000050,216.00x303.00,MISMATCH,2,2,HOLD_BASIS
210 x 297 mm,벽결이캘린더,210 x 297,214x301,SIZ_000499,SIZ_000172,210.00x297.00,MISMATCH,2,2,HOLD_BASIS
210 x 297 mm,벽결이캘린더,210 x 297,214x301,SIZ_000499,SIZ_000258,210.00x297.00,MISMATCH,2,2,HOLD_BASIS
210 x 420 mm,벽결이캘린더,210 x 420,214x424,SIZ_000499,SIZ_000075,214.00x424.00,OK,1,1,NOCHANGE
300 x 420 mm,벽결이캘린더,300 x 420,304x424,SIZ_000499,SIZ_000076,304.00x424.00,OK,1,1,NOCHANGE
300 x 625 mm,와이드벽걸이캘린더,300 x 625,304x629,SIZ_000475,SIZ_000077,304.00x629.00,OK,1,1,NOCHANGE
,,,,,,,NO_LIVE,,,HOLD_NOMATCH
,,,,,,,NO_LIVE,,,HOLD_NOMATCH
,,,,,,,NO_LIVE,,,HOLD_NOMATCH
,,,,,,,NO_LIVE,,,HOLD_NOMATCH
,,,,,,,NO_LIVE,,,HOLD_NOMATCH
,,,,,,,NO_LIVE,,,HOLD_NOMATCH
,,,,,,,NO_LIVE,,,HOLD_NOMATCH
,,,,,,,NO_LIVE,,,HOLD_NOMATCH
,,,,,,,NO_LIVE,,,HOLD_NOMATCH
