defect,key,auth_value,live_value,money_impact,repro
missing_cell,100*150/단면/20P/1,11000,없음(note 시그니처 미매칭),견적불가/매핑미상(권위 합가셀이 라이브 note 와 안 맞음·확인 필요),"권위 (100*150,단면/20P,1)=11000 → 라이브 미매칭"
missing_cell,100*150/단면/30P/1,11500,없음(note 시그니처 미매칭),견적불가/매핑미상(권위 합가셀이 라이브 note 와 안 맞음·확인 필요),"권위 (100*150,단면/30P,1)=11500 → 라이브 미매칭"
missing_cell,100*150/양면/20P/1,11500,없음(note 시그니처 미매칭),견적불가/매핑미상(권위 합가셀이 라이브 note 와 안 맞음·확인 필요),"권위 (100*150,양면/20P,1)=11500 → 라이브 미매칭"
missing_cell,100*150/양면/30P/1,12500,없음(note 시그니처 미매칭),견적불가/매핑미상(권위 합가셀이 라이브 note 와 안 맞음·확인 필요),"권위 (100*150,양면/30P,1)=12500 → 라이브 미매칭"
missing_cell,135*135/단면/20P/1,12000,없음(note 시그니처 미매칭),견적불가/매핑미상(권위 합가셀이 라이브 note 와 안 맞음·확인 필요),"권위 (135*135,단면/20P,1)=12000 → 라이브 미매칭"
missing_cell,135*135/단면/30P/1,12500,없음(note 시그니처 미매칭),견적불가/매핑미상(권위 합가셀이 라이브 note 와 안 맞음·확인 필요),"권위 (135*135,단면/30P,1)=12500 → 라이브 미매칭"
missing_cell,135*135/양면/20P/1,12500,없음(note 시그니처 미매칭),견적불가/매핑미상(권위 합가셀이 라이브 note 와 안 맞음·확인 필요),"권위 (135*135,양면/20P,1)=12500 → 라이브 미매칭"
missing_cell,135*135/양면/30P/1,13500,없음(note 시그니처 미매칭),견적불가/매핑미상(권위 합가셀이 라이브 note 와 안 맞음·확인 필요),"권위 (135*135,양면/30P,1)=13500 → 라이브 미매칭"
missing_cell,150*100/단면/20P/1,11000,없음(note 시그니처 미매칭),견적불가/매핑미상(권위 합가셀이 라이브 note 와 안 맞음·확인 필요),"권위 (150*100,단면/20P,1)=11000 → 라이브 미매칭"
missing_cell,150*100/단면/30P/1,11500,없음(note 시그니처 미매칭),견적불가/매핑미상(권위 합가셀이 라이브 note 와 안 맞음·확인 필요),"권위 (150*100,단면/30P,1)=11500 → 라이브 미매칭"
missing_cell,150*100/양면/20P/1,11500,없음(note 시그니처 미매칭),견적불가/매핑미상(권위 합가셀이 라이브 note 와 안 맞음·확인 필요),"권위 (150*100,양면/20P,1)=11500 → 라이브 미매칭"
missing_cell,150*100/양면/30P/1,12500,없음(note 시그니처 미매칭),견적불가/매핑미상(권위 합가셀이 라이브 note 와 안 맞음·확인 필요),"권위 (150*100,양면/30P,1)=12500 → 라이브 미매칭"
