qty,matte_single,matte_double,glossy_single,glossy_double
1,3000,6000,3000,6000
2,2500,5000,2500,5000
5,2000,4000,2000,4000
10,1500,3000,1500,3000
20,1200,2400,1200,2400
30,1200,2400,1200,2400
40,1050,2100,1050,2100
50,1050,2100,1050,2100
70,900,1800,900,1800
100,750,1500,750,1500
150,600,1200,600,1200
200,450,900,450,900
250,450,900,450,900
300,380,760,380,760
400,300,600,300,600
500,270,540,270,540
700,240,480,240,480
900,210,420,210,420
1000,200,400,200,400
1500,180,360,180,360
2500,170,340,170,340
5000,150,300,150,300
1000000,150,300,150,300
